component_id,group,criterion,status,evidence_ids_json,follow_up,proposed_owner_role,analyst_notes,improvement_option,effort_assumption,adoption_condition
RETIRED_BRIDGE,IAM,retirement,follow_up_required,"[""RETIRED_BRIDGE_close""]",Reconcile retirement records with observed consumers: RESEARCH,IAM platform maintainer,,Reconcile disposition evidence with all observed active consumers,2–4 staff hours per component,Dependency owners and retention requirements can be consulted
SIGNIN,IAM,ownership,documented,"[""SIGNIN_owner""]",,IAM platform maintainer,,Name a maintaining role and backup operator in the retained record,1–2 staff hours per component,Role holders can confirm responsibilities
SIGNIN,IAM,configuration,documented,"[""SIGNIN_r2""]",,IAM platform maintainer,,Retain the current description with an immutable revision reference,2–4 staff hours per component,Current configuration can be described without collecting secrets
SIGNIN,IAM,change_trace,documented,"[""SIGNIN_change_r2""]",,IAM platform maintainer,,"Link change rationale, reviewed revision and review outcome",1–3 staff hours per sampled change,Change owner and reviewer records are available
SIGNIN,IAM,recipe,documented,"[""SIGNIN_recipe""]",,IAM platform maintainer,,Have a second operator annotate the existing manual or automated recipe,2–6 staff hours per component,A disposable exercise environment and maintaining operator are available
SIGNIN,IAM,inputs,documented,"[""SIGNIN_input""]",,IAM platform maintainer,,Record retrievable input versions and their retention locations,2–4 staff hours per component,Inventory scope is agreed; artifacts can be retained appropriately
SIGNIN,IAM,dependencies,documented,[],,IAM platform maintainer,,Reconcile declared dependencies and resolve missing nodes or cycles,2–6 staff hours per component,Upstream owners can describe required reconstruction order
SIGNIN,IAM,rebuild,current_rebuild_not_demonstrated,"[""SIGNIN_OLD_record"", ""SIGNIN_REPAIR_record""]",Reconcile exercise reasons and current dependency closure; retain business-function checks.,IAM platform maintainer,,"Record a from-scratch exercise with exact versions, steps and behavior checks",4–12 staff hours per small component,Isolated resources and agreed behavior checks exist; costs excluded
SIGNIN,IAM,retirement,not_applicable,[],Reconcile retirement records with observed consumers: ,IAM platform maintainer,,Reconcile disposition evidence with all observed active consumers,2–4 staff hours per component,Dependency owners and retention requirements can be consulted
STUDENT,ESS,ownership,documented,"[""STUDENT_owner""]",,ESS platform maintainer,,Name a maintaining role and backup operator in the retained record,1–2 staff hours per component,Role holders can confirm responsibilities
STUDENT,ESS,configuration,documented,"[""STUDENT_config""]",,ESS platform maintainer,,Retain the current description with an immutable revision reference,2–4 staff hours per component,Current configuration can be described without collecting secrets
STUDENT,ESS,change_trace,documented,"[""STUDENT_change""]",,ESS platform maintainer,,"Link change rationale, reviewed revision and review outcome",1–3 staff hours per sampled change,Change owner and reviewer records are available
STUDENT,ESS,recipe,documented,"[""STUDENT_recipe""]",,ESS platform maintainer,,Have a second operator annotate the existing manual or automated recipe,2–6 staff hours per component,A disposable exercise environment and maintaining operator are available
STUDENT,ESS,inputs,documented,"[""STUDENT_input""]",,ESS platform maintainer,,Record retrievable input versions and their retention locations,2–4 staff hours per component,Inventory scope is agreed; artifacts can be retained appropriately
STUDENT,ESS,dependencies,documented,[],,ESS platform maintainer,,Reconcile declared dependencies and resolve missing nodes or cycles,2–6 staff hours per component,Upstream owners can describe required reconstruction order
STUDENT,ESS,rebuild,demonstrated_current_snapshot,"[""STUDENT_REBUILD_record""]",Reconcile exercise reasons and current dependency closure; retain business-function checks.,ESS platform maintainer,,"Record a from-scratch exercise with exact versions, steps and behavior checks",4–12 staff hours per small component,Isolated resources and agreed behavior checks exist; costs excluded
STUDENT,ESS,retirement,not_applicable,[],Reconcile retirement records with observed consumers: ,ESS platform maintainer,,Reconcile disposition evidence with all observed active consumers,2–4 staff hours per component,Dependency owners and retention requirements can be consulted
