provenance,lane,path,status,shape,label_offset,reason
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/output/sample_packet/uiowa_rfq_18649_intake_rehearsal__artifacts__assessment_matrix.csv,DISCLOSED,RECORDS,2,carries 33 record identifier(s) and 13 populated row(s) with assessment vocabulary; disclosure at byte 2
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/output/sample_packet/uiowa_rfq_18649_intake_rehearsal__artifacts__evidence_register.csv,DISCLOSED,RECORDS,2,carries 38 record identifier(s) and 19 populated row(s) with assessment vocabulary; disclosure at byte 2
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/output/sample_packet/uiowa_rfq_18649_intake_rehearsal__artifacts__intake_diagnostics.csv,DISCLOSED,RECORDS,2,carries 6 record identifier(s) and 4 populated row(s) with assessment vocabulary; disclosure at byte 2
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/output/sample_packet/uiowa_rfq_18649_intake_rehearsal__artifacts__source_register.csv,DISCLOSED,RECORDS,2,carries 12 record identifier(s) and 13 populated row(s) with assessment vocabulary; disclosure at byte 2
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/output/sample_packet/uiowa_rfq_18649_synthetic_collection__coverage_matrix.csv,UNDISCLOSED_PROVENANCE,RECORDS,,carries 0 record identifier(s) and 12 populated row(s) with assessment vocabulary; the file states nowhere whether its contents are synthetic or real
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/output/sample_packet/uiowa_rfq_18649_workshare__ACCEPTANCE_EXHIBIT.md,DISCLOSED,CONFIGURATION,669,reads as schema/vocabulary/weights rather than records; a fiction label is not expected here
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_adoption_readiness,uiowa_rfq_18649_adoption_readiness/README.md,DISCLOSED,DOCUMENTATION,2331,documentation explains the kit; it presents no records
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_adoption_readiness,uiowa_rfq_18649_adoption_readiness/fixtures/hostile_catalog.json,DISCLOSED,OTHER,71,neither record-shaped nor obviously configuration
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_adoption_readiness,uiowa_rfq_18649_adoption_readiness/fixtures/hostile_teams.json,DISCLOSED,CONFIGURATION,69,reads as schema/vocabulary/weights rather than records; a fiction label is not expected here
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_adoption_readiness,uiowa_rfq_18649_adoption_readiness/fixtures/synthetic_teams.json,DISCLOSED,PROSE_RESULT,61,prose that states assessment results about the engagement's subjects; disclosure at byte 61
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_adoption_readiness,uiowa_rfq_18649_adoption_readiness/model/indicators.json,NOT_EVIDENCE,OTHER,,neither record-shaped nor obviously configuration
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_adoption_readiness,uiowa_rfq_18649_adoption_readiness/model/option_catalog.json,NOT_EVIDENCE,OTHER,,neither record-shaped nor obviously configuration
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_adoption_readiness,uiowa_rfq_18649_adoption_readiness/out/capability_options.csv,UNDISCLOSED_PROVENANCE,RECORDS,,carries 0 record identifier(s) and 11 populated row(s) with assessment vocabulary; the file states nowhere whether its contents are synthetic or real
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_adoption_readiness,uiowa_rfq_18649_adoption_readiness/out/evidence_requests.csv,UNDISCLOSED_PROVENANCE,RECORDS,,carries 0 record identifier(s) and 14 populated row(s) with assessment vocabulary; the file states nowhere whether its contents are synthetic or real
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_adoption_readiness,uiowa_rfq_18649_adoption_readiness/out/interview_instrument.md,UNLABELED_CONFIG_SHAPED,CONFIGURATION,,reads as schema/vocabulary/weights rather than records; a fiction label is not expected here
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_adoption_readiness,uiowa_rfq_18649_adoption_readiness/out/readiness_assessment.json,DISCLOSED,CONFIGURATION,269,reads as schema/vocabulary/weights rather than records; a fiction label is not expected here
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_adoption_readiness,uiowa_rfq_18649_adoption_readiness/out/readiness_report.md,DISCLOSED,CONFIGURATION,293,reads as schema/vocabulary/weights rather than records; a fiction label is not expected here
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_adoption_readiness,uiowa_rfq_18649_adoption_readiness/out/readiness_worksheet.csv,DISCLOSED,RECORDS,164,carries 0 record identifier(s) and 18 populated row(s) with assessment vocabulary; disclosure at byte 164
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_decision_case,uiowa_rfq_18649_ai_decision_case/README.md,DISCLOSED,DOCUMENTATION,148,documentation explains the kit; it presents no records
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_decision_case,uiowa_rfq_18649_ai_decision_case/fixtures/beneficial.json,DISCLOSED,OTHER,46,neither record-shaped nor obviously configuration
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_decision_case,uiowa_rfq_18649_ai_decision_case/fixtures/malformed_case.json,DISCLOSED,OTHER,40,neither record-shaped nor obviously configuration
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_decision_case,uiowa_rfq_18649_ai_decision_case/fixtures/undecidable.json,DISCLOSED,OTHER,42,neither record-shaped nor obviously configuration
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_decision_case,uiowa_rfq_18649_ai_decision_case/fixtures/unfavourable.json,DISCLOSED,OTHER,49,neither record-shaped nor obviously configuration
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_decision_case,uiowa_rfq_18649_ai_decision_case/out/assumption_flow_demo.md,DISCLOSED,PROSE_RESULT,84,prose that states assessment results about the engagement's subjects; disclosure at byte 84
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_decision_case,uiowa_rfq_18649_ai_decision_case/out/beneficial/decision.json,NOT_EVIDENCE,OTHER,,neither record-shaped nor obviously configuration
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_decision_case,uiowa_rfq_18649_ai_decision_case/out/beneficial/explanation.md,DISCLOSED,PROSE_RESULT,84,prose that states assessment results about the engagement's subjects; disclosure at byte 84
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_decision_case,uiowa_rfq_18649_ai_decision_case/out/undecidable/decision.json,UNDISCLOSED_PROVENANCE,PROSE_RESULT,,prose that states assessment results about the engagement's subjects; the file states nowhere whether its contents are synthetic or real
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_decision_case,uiowa_rfq_18649_ai_decision_case/out/undecidable/explanation.md,DISCLOSED,PROSE_RESULT,65,prose that states assessment results about the engagement's subjects; disclosure at byte 65
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_decision_case,uiowa_rfq_18649_ai_decision_case/out/unfavourable/decision.json,NOT_EVIDENCE,OTHER,,neither record-shaped nor obviously configuration
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_decision_case,uiowa_rfq_18649_ai_decision_case/out/unfavourable/explanation.md,DISCLOSED,PROSE_RESULT,78,prose that states assessment results about the engagement's subjects; disclosure at byte 78
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_eval_kit,uiowa_rfq_18649_ai_eval_kit/README.md,DISCLOSED,DOCUMENTATION,259,documentation explains the kit; it presents no records
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_eval_kit,uiowa_rfq_18649_ai_eval_kit/data/runs_assisted.json,DISCLOSED,PROSE_RESULT,240,prose that states assessment results about the engagement's subjects; disclosure at byte 240
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_eval_kit,uiowa_rfq_18649_ai_eval_kit/data/runs_manual.json,DISCLOSED,OTHER,174,neither record-shaped nor obviously configuration
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_eval_kit,uiowa_rfq_18649_ai_eval_kit/data/tasks.json,DISCLOSED,RECORDS,110,carries 21 record identifier(s) and 0 populated row(s) with assessment vocabulary; disclosure at byte 110
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_eval_kit,uiowa_rfq_18649_ai_eval_kit/examples/digests.json,UNLABELED_CONFIG_SHAPED,CONFIGURATION,,reads as schema/vocabulary/weights rather than records; a fiction label is not expected here
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_eval_kit,uiowa_rfq_18649_ai_eval_kit/examples/report.md,DISCLOSED,RECORDS,122,carries 3 record identifier(s) and 0 populated row(s) with assessment vocabulary; disclosure at byte 122
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_eval_kit,uiowa_rfq_18649_ai_eval_kit/examples/results.csv,DISCLOSED,RECORDS,1184,carries 0 record identifier(s) and 24 populated row(s) with assessment vocabulary; disclosure at byte 1184
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_eval_kit,uiowa_rfq_18649_ai_eval_kit/examples/results.json,LABEL_BURIED,RECORDS,1769,"carries 3 record identifier(s) and 0 populated row(s) with assessment vocabulary; disclosure appears at byte 1769, past the first 1500 bytes a reader sees"
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_eval_kit,uiowa_rfq_18649_ai_eval_kit/examples/schema.json,NOT_EVIDENCE,OTHER,,neither record-shaped nor obviously configuration
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_integration,uiowa_rfq_18649_ai_integration/README.md,DISCLOSED,DOCUMENTATION,5777,documentation explains the kit; it presents no records
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_integration,uiowa_rfq_18649_ai_integration/data/workflows.json,DISCLOSED,OTHER,88,neither record-shaped nor obviously configuration
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_integration,uiowa_rfq_18649_ai_integration/out/integration_decision_worksheet.csv,DISCLOSED,DATA,184,carries identifiers or rows but no assessment vocabulary
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_integration,uiowa_rfq_18649_ai_integration/out/integration_decision_worksheet.md,DISCLOSED,CONFIGURATION,1918,reads as schema/vocabulary/weights rather than records; a fiction label is not expected here
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_integration,uiowa_rfq_18649_ai_integration/out/neutrality_check.json,NOT_EVIDENCE,OTHER,,neither record-shaped nor obviously configuration
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_integration,uiowa_rfq_18649_ai_integration/out/portability_blast_radius.md,UNLABELED_CONFIG_SHAPED,CONFIGURATION,,reads as schema/vocabulary/weights rather than records; a fiction label is not expected here
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_integration,uiowa_rfq_18649_ai_integration/out/portability_scores.json,UNLABELED_CONFIG_SHAPED,CONFIGURATION,,reads as schema/vocabulary/weights rather than records; a fiction label is not expected here
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_integration,uiowa_rfq_18649_ai_integration/out/reference_patterns.md,UNLABELED_CONFIG_SHAPED,CONFIGURATION,,reads as schema/vocabulary/weights rather than records; a fiction label is not expected here
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_integration,uiowa_rfq_18649_ai_integration/out/swap_receipt.json,DISCLOSED,CONFIGURATION,1649,reads as schema/vocabulary/weights rather than records; a fiction label is not expected here
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_integration,uiowa_rfq_18649_ai_integration/out/worksheet_evaluations.json,DISCLOSED,CONFIGURATION,532,reads as schema/vocabulary/weights rather than records; a fiction label is not expected here
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_opportunity_portfolio,uiowa_rfq_18649_ai_opportunity_portfolio/README.md,DISCLOSED,DOCUMENTATION,4658,documentation explains the kit; it presents no records
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_opportunity_portfolio,uiowa_rfq_18649_ai_opportunity_portfolio/candidates.json,DISCLOSED,PROSE_RESULT,120,prose that states assessment results about the engagement's subjects; disclosure at byte 120
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_opportunity_portfolio,uiowa_rfq_18649_ai_opportunity_portfolio/sample_output/assumption_register.csv,DISCLOSED,RECORDS,731,carries 0 record identifier(s) and 46 populated row(s) with assessment vocabulary; disclosure at byte 731
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_opportunity_portfolio,uiowa_rfq_18649_ai_opportunity_portfolio/sample_output/portfolio.json,LABEL_BURIED,PROSE_RESULT,19310,"prose that states assessment results about the engagement's subjects; disclosure appears at byte 19310, past the first 1500 bytes a reader sees"
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_opportunity_portfolio,uiowa_rfq_18649_ai_opportunity_portfolio/sample_output/portfolio_ranking.csv,UNDISCLOSED_PROVENANCE,RECORDS,,carries 0 record identifier(s) and 6 populated row(s) with assessment vocabulary; the file states nowhere whether its contents are synthetic or real
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_opportunity_portfolio,uiowa_rfq_18649_ai_opportunity_portfolio/sample_output/portfolio_report.md,DISCLOSED,PROSE_RESULT,217,prose that states assessment results about the engagement's subjects; disclosure at byte 217
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_policy_to_workflow,uiowa_rfq_18649_ai_policy_to_workflow/README.md,DISCLOSED,DOCUMENTATION,404,documentation explains the kit; it presents no records
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_policy_to_workflow,uiowa_rfq_18649_ai_policy_to_workflow/SOURCE_NOTES.md,DISCLOSED,OTHER,39,neither record-shaped nor obviously configuration
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_policy_to_workflow,uiowa_rfq_18649_ai_policy_to_workflow/WORKFLOW_EXAMPLES.md,DISCLOSED,RECORDS,2,carries 11 record identifier(s) and 0 populated row(s) with assessment vocabulary; disclosure at byte 2
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_policy_to_workflow,uiowa_rfq_18649_ai_policy_to_workflow/fixtures/evidence.json,DISCLOSED,RECORDS,130,carries 12 record identifier(s) and 0 populated row(s) with assessment vocabulary; disclosure at byte 130
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_policy_to_workflow,uiowa_rfq_18649_ai_policy_to_workflow/fixtures/policies.json,DISCLOSED,OTHER,229,neither record-shaped nor obviously configuration
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_policy_to_workflow,uiowa_rfq_18649_ai_policy_to_workflow/fixtures/questions.json,UNLABELED_CONFIG_SHAPED,CONFIGURATION,,reads as schema/vocabulary/weights rather than records; a fiction label is not expected here
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_policy_to_workflow,uiowa_rfq_18649_ai_policy_to_workflow/fixtures/tasks.json,NOT_EVIDENCE,OTHER,,neither record-shaped nor obviously configuration
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_policy_to_workflow,uiowa_rfq_18649_ai_policy_to_workflow/sample/findings.json,DISCLOSED,RECORDS,23,carries 12 record identifier(s) and 0 populated row(s) with assessment vocabulary; disclosure at byte 23
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_policy_to_workflow,uiowa_rfq_18649_ai_policy_to_workflow/sample/matrix.csv,NOT_EVIDENCE,DATA,,carries identifiers or rows but no assessment vocabulary
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_policy_to_workflow,uiowa_rfq_18649_ai_policy_to_workflow/sample/matrix.md,DISCLOSED,CONFIGURATION,56,reads as schema/vocabulary/weights rather than records; a fiction label is not expected here
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_policy_to_workflow,uiowa_rfq_18649_ai_policy_to_workflow/sample/open_questions.csv,UNDISCLOSED_PROVENANCE,RECORDS,,carries 0 record identifier(s) and 5 populated row(s) with assessment vocabulary; the file states nowhere whether its contents are synthetic or real
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_use_inventory,uiowa_rfq_18649_ai_use_inventory/README.md,DISCLOSED,DOCUMENTATION,594,documentation explains the kit; it presents no records
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_use_inventory,uiowa_rfq_18649_ai_use_inventory/fixtures/synthetic_ai_use.json,DISCLOSED,PROSE_RESULT,28,prose that states assessment results about the engagement's subjects; disclosure at byte 28
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_use_inventory,uiowa_rfq_18649_ai_use_inventory/fixtures/synthetic_ai_use_hostile.json,DISCLOSED,CONFIGURATION,28,reads as schema/vocabulary/weights rather than records; a fiction label is not expected here
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_use_inventory,uiowa_rfq_18649_ai_use_inventory/sample_output/ai_use_gaps.csv,UNDISCLOSED_PROVENANCE,RECORDS,,carries 0 record identifier(s) and 19 populated row(s) with assessment vocabulary; the file states nowhere whether its contents are synthetic or real
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_use_inventory,uiowa_rfq_18649_ai_use_inventory/sample_output/ai_use_inventory.csv,DISCLOSED,RECORDS,856,carries 10 record identifier(s) and 10 populated row(s) with assessment vocabulary; disclosure at byte 856
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_use_inventory,uiowa_rfq_18649_ai_use_inventory/sample_output/ai_use_inventory.json,LABEL_BURIED,RECORDS,2588,"carries 10 record identifier(s) and 0 populated row(s) with assessment vocabulary; disclosure appears at byte 2588, past the first 1500 bytes a reader sees"
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_ai_use_inventory,uiowa_rfq_18649_ai_use_inventory/sample_output/ai_use_inventory.md,DISCLOSED,PROSE_RESULT,22,prose that states assessment results about the engagement's subjects; disclosure at byte 22
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_base_fee_economics,uiowa_rfq_18649_base_fee_economics/README.md,DISCLOSED,DOCUMENTATION,3017,documentation explains the kit; it presents no records
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_base_fee_economics,uiowa_rfq_18649_base_fee_economics/fixtures/base_fee_model.json,DISCLOSED,OTHER,81,neither record-shaped nor obviously configuration
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_base_fee_economics,uiowa_rfq_18649_base_fee_economics/sample_output/base-fee-economics.json,DISCLOSED,OTHER,4155,neither record-shaped nor obviously configuration
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_base_fee_economics,uiowa_rfq_18649_base_fee_economics/sample_output/cost-workbook.md,DISCLOSED,OTHER,53,neither record-shaped nor obviously configuration
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_base_fee_economics,uiowa_rfq_18649_base_fee_economics/sample_output/package-costs.csv,UNDISCLOSED_PROVENANCE,RECORDS,,carries 0 record identifier(s) and 15 populated row(s) with assessment vocabulary; the file states nowhere whether its contents are synthetic or real
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_bid_pack,uiowa_rfq_18649_bid_pack/README.md,DISCLOSED,DOCUMENTATION,499,documentation explains the kit; it presents no records
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_bid_pack,uiowa_rfq_18649_bid_pack/fixtures/manifest.json,DISCLOSED,CONFIGURATION,59,reads as schema/vocabulary/weights rather than records; a fiction label is not expected here
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_bid_pack,uiowa_rfq_18649_bid_pack/fixtures/attachments/client_references.txt,DISCLOSED,OTHER,0,neither record-shaped nor obviously configuration
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_bid_pack,uiowa_rfq_18649_bid_pack/fixtures/attachments/fin_capacity_letter.txt,DISCLOSED,OTHER,0,neither record-shaped nor obviously configuration
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_bid_pack,uiowa_rfq_18649_bid_pack/fixtures/attachments/vendor_registration.txt,DISCLOSED,OTHER,0,neither record-shaped nor obviously configuration
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_bid_pack,uiowa_rfq_18649_bid_pack/fixtures/sections/cover.md,NOT_EVIDENCE,OTHER,,neither record-shaped nor obviously configuration
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_bid_pack,uiowa_rfq_18649_bid_pack/fixtures/sections/except.md,NOT_EVIDENCE,OTHER,,neither record-shaped nor obviously configuration
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_bid_pack,uiowa_rfq_18649_bid_pack/fixtures/sections/exec.md,NOT_EVIDENCE,OTHER,,neither record-shaped nor obviously configuration
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_bid_pack,uiowa_rfq_18649_bid_pack/fixtures/sections/price.md,NOT_EVIDENCE,OTHER,,neither record-shaped nor obviously configuration
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_bid_pack,uiowa_rfq_18649_bid_pack/fixtures/sections/qual.md,DISCLOSED,OTHER,39,neither record-shaped nor obviously configuration
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_bid_pack,uiowa_rfq_18649_bid_pack/fixtures/sections/scope.md,UNLABELED_CONFIG_SHAPED,CONFIGURATION,,reads as schema/vocabulary/weights rather than records; a fiction label is not expected here
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_bid_pack,uiowa_rfq_18649_bid_pack/fixtures/sections/staff.md,NOT_EVIDENCE,OTHER,,neither record-shaped nor obviously configuration
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_bid_pack,uiowa_rfq_18649_bid_pack/sample_output/00-INDEX.md,DISCLOSED,OTHER,29,neither record-shaped nor obviously configuration
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_bid_pack,uiowa_rfq_18649_bid_pack/sample_output/attachment_index.csv,DISCLOSED,DATA,297,carries identifiers or rows but no assessment vocabulary
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_bid_pack,uiowa_rfq_18649_bid_pack/sample_output/bid_pack.json,DISCLOSED,CONFIGURATION,904,reads as schema/vocabulary/weights rather than records; a fiction label is not expected here
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_bid_pack,uiowa_rfq_18649_bid_pack/sample_output/attachments/A01-financial-capacity-letter.txt,DISCLOSED,OTHER,0,neither record-shaped nor obviously configuration
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_bid_pack,uiowa_rfq_18649_bid_pack/sample_output/attachments/A02-certified-cost-rate-schedule.PLACEHOLDER.txt,DISCLOSED,OTHER,0,neither record-shaped nor obviously configuration
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_bid_pack,uiowa_rfq_18649_bid_pack/sample_output/attachments/A03-vendor-registration-and-taxpayer-identification.txt,DISCLOSED,OTHER,0,neither record-shaped nor obviously configuration
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_bid_pack,uiowa_rfq_18649_bid_pack/sample_output/attachments/A04-certificate-of-insurance.PLACEHOLDER.txt,DISCLOSED,OTHER,0,neither record-shaped nor obviously configuration
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_bid_pack,uiowa_rfq_18649_bid_pack/sample_output/attachments/A05-key-personnel-resumes.PLACEHOLDER.txt,DISCLOSED,OTHER,0,neither record-shaped nor obviously configuration
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_bid_pack,uiowa_rfq_18649_bid_pack/sample_output/attachments/A06-client-references.txt,DISCLOSED,OTHER,0,neither record-shaped nor obviously configuration
REAL - generated by label_scan.py from committed source; not synthetic,uiowa_rfq_18649_bid_pack,uiowa_rfq_18649_bid_pack/sample_output/documents/01-cover-letter.md,DISCLOSED,OTHER,5,neither record-shaped nor obviously configuration
