"id","category","requirement","required_limit_usd","required_limit_basis","applies_to","evidence_needed","proposed_evidence_owner_role","next_action","source_id","source_file","source_locator","source_url","source_sha256","evidence_document_status","actual_limit_usd","actual_terms_or_result","evidence_location","actual_entity","actual_period_or_effective_dates","assigned_owner","qualification"
"I07","Umbrella Liability","Minimum $1,000,000 per occurrence; applies to all underlying and primary liability coverages required above.","1000000","Per occurrence","Proposed UI-PSA Contractor","Declarations and underlying/primary coverage schedule and terms.","Contractor insurance lead / broker","Verify limit and the coverage schedule against the preceding required liability coverages.","PSA","University-of-Iowa-professional-services-agreement.docx","LIABILITY / Insurance Provisions; paragraph beginning: Umbrella Liability insurance","https://uiebid.ionwave.net/PublicDetail.aspx?bidID=7825&SourceType=1","b79b4c15d99e216c072fad499bcb1ca4988230058bb0c0bf80f608498f76cad4","NOT_LOCATED_IN_REVIEWED_CORPUS","UNVERIFIED","UNVERIFIED","NOT_LOCATED_IN_REVIEWED_CORPUS","UNVERIFIED","UNVERIFIED","UNASSIGNED","Source ordering matters; do not assert a separate umbrella aggregate."
"I08","Errors and Omissions / Professional Services Liability/ Cyber Liability","Combined source wording: minimum $1,000,000 per claim; include contingent bodily injury liability.","1000000","Per claim","Proposed UI-PSA Contractor","Actual policy structure, declarations and contingent bodily injury terms.","Contractor insurance lead / broker","Map actual policies to the combined source requirement without presuming three separate policies or limits.","PSA","University-of-Iowa-professional-services-agreement.docx","LIABILITY / Insurance Provisions; paragraph beginning: Errors and Omissions / Professional Services Liability/ Cyber Liability insurance","https://uiebid.ionwave.net/PublicDetail.aspx?bidID=7825&SourceType=1","b79b4c15d99e216c072fad499bcb1ca4988230058bb0c0bf80f608498f76cad4","NOT_LOCATED_IN_REVIEWED_CORPUS","UNVERIFIED","UNVERIFIED","NOT_LOCATED_IN_REVIEWED_CORPUS","UNVERIFIED","UNVERIFIED","UNASSIGNED","One source requirement; not three independently required $1 million policies or aggregate limits."
"I09","Additional insured endorsements","CGL, Automobile and Umbrella endorsed with State of Iowa; University of Iowa; Iowa Board of Regents, their agents, officers, and employees.","","Endorsement; three named coverage types","Proposed UI-PSA Contractor","Applicable endorsements for the specified three policies.","Contractor insurance lead / broker","Compare covered entities and policy applicability exactly.","PSA","University-of-Iowa-professional-services-agreement.docx","LIABILITY / Insurance Provisions; paragraph beginning: The Commercial General Liability, Commercial Automobile Liability, and Umbrella Liability policies required herein","https://uiebid.ionwave.net/PublicDetail.aspx?bidID=7825&SourceType=1","b79b4c15d99e216c072fad499bcb1ca4988230058bb0c0bf80f608498f76cad4","NOT_LOCATED_IN_REVIEWED_CORPUS","NOT_APPLICABLE_TO_THIS_ROW","UNVERIFIED","NOT_LOCATED_IN_REVIEWED_CORPUS","UNVERIFIED","UNVERIFIED","UNASSIGNED","Do not extend this paragraph to every coverage or infer TJLabs additional-insured status."
"I10","Waiver of subrogation or recovery","Contractor and its insurers providing required coverages waive all rights of subrogation or recovery against State of Iowa; University of Iowa; Iowa Board of Regents, their agents, officers, and employees.","","Waiver scope","Proposed UI-PSA Contractor","Actual waiver terms/endorsements and corresponding certificate statement.","Contractor insurance lead / broker","Verify the exact protected entities and waiver scope in the applicable evidence.","PSA","University-of-Iowa-professional-services-agreement.docx","LIABILITY / Insurance Provisions; paragraph beginning: Contractor and its insurers providing the required coverages","https://uiebid.ionwave.net/PublicDetail.aspx?bidID=7825&SourceType=1","b79b4c15d99e216c072fad499bcb1ca4988230058bb0c0bf80f608498f76cad4","NOT_LOCATED_IN_REVIEWED_CORPUS","NOT_APPLICABLE_TO_THIS_ROW","UNVERIFIED","NOT_LOCATED_IN_REVIEWED_CORPUS","UNVERIFIED","UNVERIFIED","UNASSIGNED","Keep recovery wording; generic certificate text alone may not establish actual terms."
"I11","Insurer qualification","Required policies issued by reputable companies authorized to engage in insurance business in Iowa with A.M. Best rating A-, VII or better.","","A-, VII or better; Iowa authorization","Proposed UI-PSA Contractor","Insurer identity and current rating/authorization evidence.","Contractor insurance lead / broker","Obtain and date insurer rating and Iowa authorization evidence.","PSA","University-of-Iowa-professional-services-agreement.docx","LIABILITY / Insurance Provisions; paragraph beginning: All required insurance policies shall be issued by reputable insurance companies","https://uiebid.ionwave.net/PublicDetail.aspx?bidID=7825&SourceType=1","b79b4c15d99e216c072fad499bcb1ca4988230058bb0c0bf80f608498f76cad4","NOT_LOCATED_IN_REVIEWED_CORPUS","NOT_APPLICABLE_TO_THIS_ROW","UNVERIFIED","NOT_LOCATED_IN_REVIEWED_CORPUS","UNVERIFIED","UNVERIFIED","UNASSIGNED","No insurer or actual rating has been independently verified."
"I12","Primary coverage","Required policies are primary coverage.","","Primary coverage","Proposed UI-PSA Contractor","Policy terms/endorsements establishing primary coverage.","Contractor insurance lead / broker","Record the source of the actual primary-coverage term.","PSA","University-of-Iowa-professional-services-agreement.docx","LIABILITY / Insurance Provisions; paragraph beginning: All required insurance policies shall be issued by reputable insurance companies","https://uiebid.ionwave.net/PublicDetail.aspx?bidID=7825&SourceType=1","b79b4c15d99e216c072fad499bcb1ca4988230058bb0c0bf80f608498f76cad4","NOT_LOCATED_IN_REVIEWED_CORPUS","NOT_APPLICABLE_TO_THIS_ROW","UNVERIFIED","NOT_LOCATED_IN_REVIEWED_CORPUS","UNVERIFIED","UNVERIFIED","UNASSIGNED","No noncontributory condition is added."
"I13","Notice","Certificates provide no less than thirty (30) days notice to University of Iowa of non-renewal, cancellation or material change.","","At least 30 days; all three notice events","Proposed UI-PSA Contractor","Certificate and applicable notice terms.","Contractor insurance lead / broker","Compare notice period, recipient and all three events; resolve any narrower wording.","PSA","University-of-Iowa-professional-services-agreement.docx","LIABILITY / Insurance Provisions; paragraph beginning: All required insurance policies shall be issued by reputable insurance companies","https://uiebid.ionwave.net/PublicDetail.aspx?bidID=7825&SourceType=1","b79b4c15d99e216c072fad499bcb1ca4988230058bb0c0bf80f608498f76cad4","NOT_LOCATED_IN_REVIEWED_CORPUS","NOT_APPLICABLE_TO_THIS_ROW","UNVERIFIED","NOT_LOCATED_IN_REVIEWED_CORPUS","UNVERIFIED","UNVERIFIED","UNASSIGNED","Following certificate paragraph mentions cancellation/non-renewal but does not delete material-change requirement."
"I14","Certificate project identifier","Certificates specify the project name.","","Project name","Proposed UI-PSA Contractor","Certificate bearing the actual project name.","Contractor insurance lead / broker","Check project name against this engagement.","PSA","University-of-Iowa-professional-services-agreement.docx","LIABILITY / Insurance Provisions; paragraph beginning: All required insurance policies shall be issued by reputable insurance companies","https://uiebid.ionwave.net/PublicDetail.aspx?bidID=7825&SourceType=1","b79b4c15d99e216c072fad499bcb1ca4988230058bb0c0bf80f608498f76cad4","NOT_LOCATED_IN_REVIEWED_CORPUS","NOT_APPLICABLE_TO_THIS_ROW","UNVERIFIED","NOT_LOCATED_IN_REVIEWED_CORPUS","UNVERIFIED","UNVERIFIED","UNASSIGNED","Project name and University Contract ID are distinct requirements."
"I15","Certificates on request","Certificates of Insurance should be provided upon request and show waiver of subrogation and thirty (30) days notice for cancelled or non-renewed policies.","","Upon request","Proposed UI-PSA Contractor","Current certificate matched to actual coverage evidence.","Contractor insurance lead / broker","Prepare the certificate evidence route and verify the requested certificate when available.","PSA","University-of-Iowa-professional-services-agreement.docx","LIABILITY / Insurance Provisions; paragraph beginning: Certificates of Insurance should be provided upon request","https://uiebid.ionwave.net/PublicDetail.aspx?bidID=7825&SourceType=1","b79b4c15d99e216c072fad499bcb1ca4988230058bb0c0bf80f608498f76cad4","NOT_LOCATED_IN_REVIEWED_CORPUS","NOT_APPLICABLE_TO_THIS_ROW","UNVERIFIED","NOT_LOCATED_IN_REVIEWED_CORPUS","UNVERIFIED","UNVERIFIED","UNASSIGNED","Not represented as an RFQ p.2 required attachment. Retain I13 material-change condition."
"I16","Certified policy copies","University reserves right to request and receive certified copies of any/all listed policies and/or endorsements.","","Upon University request","Proposed UI-PSA Contractor","Certified copies or an assigned route for obtaining them.","Contractor insurance lead / broker","Identify the owner and route for certified copies if requested.","PSA","University-of-Iowa-professional-services-agreement.docx","LIABILITY / Insurance Provisions; paragraph beginning: The University reserves the right to request and receive certified copies","https://uiebid.ionwave.net/PublicDetail.aspx?bidID=7825&SourceType=1","b79b4c15d99e216c072fad499bcb1ca4988230058bb0c0bf80f608498f76cad4","NOT_LOCATED_IN_REVIEWED_CORPUS","NOT_APPLICABLE_TO_THIS_ROW","UNVERIFIED","NOT_LOCATED_IN_REVIEWED_CORPUS","UNVERIFIED","UNVERIFIED","UNASSIGNED","A future collection route is not an existing certified copy."
"I17","University waiver or reduction","University may waive or reduce insurance requirements at its sole discretion.","","Only an actual University decision can establish a waiver/reduction","Proposed UI-PSA Contractor","University decision with exact affected requirements and scope, if obtained.","Supplier proposal lead / authorized signatory","Record any actual decision; otherwise retain the source requirements.","PSA","University-of-Iowa-professional-services-agreement.docx","LIABILITY / Insurance Provisions; paragraph beginning: The University reserves the right to waive or reduce","https://uiebid.ionwave.net/PublicDetail.aspx?bidID=7825&SourceType=1","b79b4c15d99e216c072fad499bcb1ca4988230058bb0c0bf80f608498f76cad4","NOT_LOCATED_IN_REVIEWED_CORPUS","NOT_APPLICABLE_TO_THIS_ROW","UNVERIFIED","NOT_LOCATED_IN_REVIEWED_CORPUS","UNVERIFIED","UNVERIFIED","UNASSIGNED","No waiver or reduction was located in the reviewed corpus and none is assumed."
"I18","University Contract ID","Certification forms include appropriate University Contract ID on face of each submitted certificate.","","Assigned University Contract ID","Proposed UI-PSA Contractor","Actual assigned ID and certificate showing it.","Contractor insurance lead / broker","Obtain actual assigned ID and check the face of each certificate.","PSA","University-of-Iowa-professional-services-agreement.docx","LIABILITY / Insurance Provisions; paragraph beginning: Certification forms must include the appropriate University Contract ID","https://uiebid.ionwave.net/PublicDetail.aspx?bidID=7825&SourceType=1","b79b4c15d99e216c072fad499bcb1ca4988230058bb0c0bf80f608498f76cad4","NOT_LOCATED_IN_REVIEWED_CORPUS","NOT_APPLICABLE_TO_THIS_ROW","UNVERIFIED","NOT_LOCATED_IN_REVIEWED_CORPUS","UNVERIFIED","UNVERIFIED","UNASSIGNED","Do not use RFQ 18649 as Contract ID without source evidence."
"A01","Agreement status","Selected Supplier signs UI-PSA; opening says agreement is not valid until University Purchasing Department signature and assigned purchase order number.","","Execution and assignment","Proposed UI-PSA Contractor","Executed agreement and actual assigned purchase order/contract information.","Supplier proposal lead / authorized signatory","Review final contracting documents and record execution evidence when obtained.","RFQ","University-of-Iowa-RFQ-18649-current.pdf","p.11 Attribute 16 / Professional Services Agreement; PSA opening paragraph beginning THIS AGREEMENT for Professional Services","https://uiebid.ionwave.net/PublicDetail.aspx?bidID=7825&SourceType=1","908d9104a56cd19fa4ff8496fe731c57262830302a11069234a11cda66745a44","NOT_LOCATED_IN_REVIEWED_CORPUS","NOT_APPLICABLE_TO_THIS_ROW","UNVERIFIED","NOT_LOCATED_IN_REVIEWED_CORPUS","UNVERIFIED","UNVERIFIED","UNASSIGNED","Supplied PSA is an uncompleted template. Its related source filename/hash is in the dossier source register."
"A02","Liability","To fullest extent allowed by law, indemnify and hold harmless University of Iowa, State of Iowa, Iowa Board of Regents, and their agents and employees for claims/losses including reasonable attorneys fees from Contractor/listed-party negligence or omissions in products/services.","","Indemnity condition; no liability cap established","Proposed UI-PSA Contractor","Authorized review of actual agreement and applicable proposed response.","Supplier proposal lead / authorized signatory","Review the actual indemnity undertaking independently of insured limits.","PSA","University-of-Iowa-professional-services-agreement.docx","LIABILITY / Contractor Liability; paragraph beginning Contractor Liability: To the fullest extent allowed by law","https://uiebid.ionwave.net/PublicDetail.aspx?bidID=7825&SourceType=1","b79b4c15d99e216c072fad499bcb1ca4988230058bb0c0bf80f608498f76cad4","NOT_LOCATED_IN_REVIEWED_CORPUS","NOT_APPLICABLE_TO_THIS_ROW","UNVERIFIED","NOT_LOCATED_IN_REVIEWED_CORPUS","UNVERIFIED","UNVERIFIED","UNASSIGNED","Listed parties include subcontractors. Protected indemnity wording differs from additional-insured wording."
"A03","Insurance maintenance remedy","Failure to procure/maintain required insurance is material breach; University may immediately terminate or procure/renew with reimbursement on demand or offset.","","Source remedy","Proposed UI-PSA Contractor","Actual maintenance evidence and authorized agreement review.","Supplier proposal lead / authorized signatory","Assign maintenance responsibility and review the stated contract consequence.","PSA","University-of-Iowa-professional-services-agreement.docx","LIABILITY / Insurance Provisions; paragraph beginning: Failure on the part of the Contractor to procure or maintain required insurance","https://uiebid.ionwave.net/PublicDetail.aspx?bidID=7825&SourceType=1","b79b4c15d99e216c072fad499bcb1ca4988230058bb0c0bf80f608498f76cad4","NOT_LOCATED_IN_REVIEWED_CORPUS","NOT_APPLICABLE_TO_THIS_ROW","UNVERIFIED","NOT_LOCATED_IN_REVIEWED_CORPUS","UNVERIFIED","UNVERIFIED","UNASSIGNED","This records a source condition, not a breach finding."
"A04","Response exceptions","Proposed exceptions accompany proposal; no exceptions under Attribute 15 certifies compliance; Attribute 23 certifies total compliance except expressly stated.","","Response representation","Bidding Supplier","Actual exception schedule, authorized response and any accepted University decision.","Supplier proposal lead / authorized signatory","Resolve exact mismatches before the authorized response; do not infer approved exceptions.","RFQ","University-of-Iowa-RFQ-18649-current.pdf","p.11 Attribute 15 / Exceptions to Terms and Conditions; p.12 Attribute 23 / Proposal Compliance","https://uiebid.ionwave.net/PublicDetail.aspx?bidID=7825&SourceType=1","908d9104a56cd19fa4ff8496fe731c57262830302a11069234a11cda66745a44","NOT_LOCATED_IN_REVIEWED_CORPUS","NOT_APPLICABLE_TO_THIS_ROW","UNVERIFIED","NOT_LOCATED_IN_REVIEWED_CORPUS","UNVERIFIED","UNVERIFIED","UNASSIGNED","No acknowledgement, exception acceptance or compliance certification is made by this index."
"A05","Agreement changes and conflicts","Assignment/modification only by prior written mutual agreement; PSA terms prevail over expressly conflicting Contractor agreement/proposal terms to the necessary extent.","","Agreement hierarchy and written modification","Proposed UI-PSA Contractor","Actual written mutual change or final agreement, if any.","Supplier proposal lead / authorized signatory","Compare final documents; preserve any actual mutually agreed changes and their scope.","PSA","University-of-Iowa-professional-services-agreement.docx","ASSIGNMENT OR MODIFICATION; CONFLICT OF TERMS","https://uiebid.ionwave.net/PublicDetail.aspx?bidID=7825&SourceType=1","b79b4c15d99e216c072fad499bcb1ca4988230058bb0c0bf80f608498f76cad4","NOT_LOCATED_IN_REVIEWED_CORPUS","NOT_APPLICABLE_TO_THIS_ROW","UNVERIFIED","NOT_LOCATED_IN_REVIEWED_CORPUS","UNVERIFIED","UNVERIFIED","UNASSIGNED","No change or precedence exception has been established from the template."
