experiment,seed,seat,opponent,cash,opponent_cash,margin,rounds,status,failure,unit_actions,ineffective_nonpass,startup_ms,max_call_ms,call_cpu_seconds,peak_rss_kib,game_wall_seconds,shop_order,trace_sha256
frozen-development,9500151,0,arlene,49495.0,81531.0,-32036.0,719,complete,,7148,105,61.273496998182964,102.0862080004008,0.7715856019999994,128044,7.261247303002165,PET_CAFE>BAKERY>YARN_STORE>ICE_CREAM_SHOP>PET_CAFE>ICE_CREAM_SHOP>YARN_STORE>BRUNCH_SPOT,759a8bdccdc26ff235847805750d8e63cd6e74587b1aa8d925f20e765354df68
frozen-development,9500151,1,arlene,49495.0,81531.0,-32036.0,719,complete,,7148,105,71.51526900270255,166.07877000205917,0.9342363910000037,137296,6.706361371998355,PET_CAFE>BAKERY>YARN_STORE>ICE_CREAM_SHOP>PET_CAFE>ICE_CREAM_SHOP>YARN_STORE>BRUNCH_SPOT,0759c9a2b27fb8530cfed15f1aa0d4bef4c9a84eb8b451af487e9412eb741bf4
frozen-development,9500151,0,apex,49287.0,76933.0,-27646.0,719,complete,,7148,105,57.395970998186385,116.16349399992032,0.7628812060000013,146732,7.445484250998561,PET_CAFE>BAKERY>YARN_STORE>ICE_CREAM_SHOP>PET_CAFE>ICE_CREAM_SHOP>YARN_STORE>BRUNCH_SPOT,1ac83e5f51899a135a1297a64a070bcb3ef3faece67bbd06929741cb0a04a9ac
frozen-development,9500151,1,apex,49287.0,76933.0,-27646.0,719,complete,,7148,105,85.97708100205637,167.61561699968297,0.9218328860000019,156132,7.157552036002016,PET_CAFE>BAKERY>YARN_STORE>ICE_CREAM_SHOP>PET_CAFE>ICE_CREAM_SHOP>YARN_STORE>BRUNCH_SPOT,502584f841ec2413a370d09944d146626ed5a22a14f55e76b9de409eb1a2fae8
service-diagnostic,9500109,0,arlene,95699.0,113284.0,-17585.0,719,complete,,7084,197,134.57671500145807,148.29393300169613,0.8715007700000005,30704,7.197766035002132,PIZZA_SHOP>PIZZA_SHOP>SMOOTHIE_SHOP>BRUNCH_SPOT>BAKERY>SMOOTHIE_SHOP>SMOOTHIE_SHOP>SMOOTHIE_SHOP,26993b1e45a428db8387affbd8edd3368d66e43bcb9f1458181672864c716c21
feed-rescue-development,9500109,0,arlene,95699.0,113284.0,-17585.0,719,complete,,7084,197,595.1869630007423,213.4442520000448,1.0590161949999979,30628,7.64101155499884,PIZZA_SHOP>PIZZA_SHOP>SMOOTHIE_SHOP>BRUNCH_SPOT>BAKERY>SMOOTHIE_SHOP>SMOOTHIE_SHOP>SMOOTHIE_SHOP,26993b1e45a428db8387affbd8edd3368d66e43bcb9f1458181672864c716c21
feed-rescue-development,9500109,1,arlene,95699.0,113284.0,-17585.0,719,complete,,7084,197,76.40606200220645,177.1660080012225,0.8657224649999976,30668,7.656933610000124,PIZZA_SHOP>PIZZA_SHOP>SMOOTHIE_SHOP>BRUNCH_SPOT>BAKERY>SMOOTHIE_SHOP>SMOOTHIE_SHOP>SMOOTHIE_SHOP,175cf917f24d88589a184bbe0ec61c28b2809885d8e0524a5a220ff8e58266c8
feed-rescue-development,9500109,0,apex,94896.0,108067.0,-13171.0,719,complete,,7084,195,61.88098799975705,108.13425299784285,0.9530030679999999,37628,8.452875917999336,PIZZA_SHOP>PIZZA_SHOP>SMOOTHIE_SHOP>BRUNCH_SPOT>BAKERY>SMOOTHIE_SHOP>SMOOTHIE_SHOP>SMOOTHIE_SHOP,b78539039507ae67e8088a841280e649475d1c8c2427c6adf0758a47a19b3ddc
feed-rescue-development,9500109,1,apex,94896.0,108067.0,-13171.0,719,complete,,7084,195,138.18360100049176,172.338344000309,0.858996246999998,48588,7.662022018997959,PIZZA_SHOP>PIZZA_SHOP>SMOOTHIE_SHOP>BRUNCH_SPOT>BAKERY>SMOOTHIE_SHOP>SMOOTHIE_SHOP>SMOOTHIE_SHOP,478658e02e916bc5c7d522e0d8385ca93b68d87758d04fa70775d65063cef7b8
feed-priority-development,9500109,0,arlene,95694.0,113284.0,-17590.0,719,complete,,7084,200,211.18111300165765,110.59640600069542,0.9752754439999991,30884,7.440908401000343,PIZZA_SHOP>PIZZA_SHOP>SMOOTHIE_SHOP>BRUNCH_SPOT>BAKERY>SMOOTHIE_SHOP>SMOOTHIE_SHOP>SMOOTHIE_SHOP,18e7d8b24dc0a4de08c23116605211946c826b8cf5910d0246bbda89a3119116
feed-priority-development,9500109,1,arlene,95694.0,113284.0,-17590.0,719,complete,,7084,200,71.13886300066952,105.97563799819909,0.7999629320000005,30992,6.392092726000556,PIZZA_SHOP>PIZZA_SHOP>SMOOTHIE_SHOP>BRUNCH_SPOT>BAKERY>SMOOTHIE_SHOP>SMOOTHIE_SHOP>SMOOTHIE_SHOP,cea41dcc63ef5c09386ae28052d3ec62ec00fe757cec1ca11a0aa7cf1c4cdb31
feed-priority-development,9500109,0,apex,94891.0,108067.0,-13176.0,719,complete,,7084,198,107.36949000056484,119.19405999651644,0.8002098339999995,37568,7.689330373999837,PIZZA_SHOP>PIZZA_SHOP>SMOOTHIE_SHOP>BRUNCH_SPOT>BAKERY>SMOOTHIE_SHOP>SMOOTHIE_SHOP>SMOOTHIE_SHOP,31f9c19d80f96f50bb5f4d982f1d7db9079f33f35b411096d7173e3b4ba1f18b
feed-priority-development,9500109,1,apex,94891.0,108067.0,-13176.0,719,complete,,7084,198,61.444438997568795,111.5253309981199,0.7706788239999981,48628,7.6046669550014485,PIZZA_SHOP>PIZZA_SHOP>SMOOTHIE_SHOP>BRUNCH_SPOT>BAKERY>SMOOTHIE_SHOP>SMOOTHIE_SHOP>SMOOTHIE_SHOP,419ea0f306583f857ddf157e8fe7d6daac455a0583a26159de10ff7d40db2bfd
harvest-rescue-development,9500109,0,arlene,72318.0,93161.0,-20843.0,719,complete,,7127,232,91.48628200273379,135.15606800137903,0.894436398000003,31144,6.845112016999337,PIZZA_SHOP>PIZZA_SHOP>BAKERY>BRUNCH_SPOT>PIZZA_SHOP>YARN_STORE>SMOOTHIE_SHOP>FARMERS_MARKET,df48b6333ae8abfa54b7fe2f3febb3e8b710346f59302f31e3e63250c8383ee3
harvest-rescue-development,9500109,1,arlene,72318.0,93161.0,-20843.0,719,complete,,7127,232,58.933476000675,285.7350079975731,1.2603537579999988,31140,6.9432147100014845,PIZZA_SHOP>PIZZA_SHOP>BAKERY>BRUNCH_SPOT>PIZZA_SHOP>YARN_STORE>SMOOTHIE_SHOP>FARMERS_MARKET,f9f11f20510390d85ef9f4a1b1591a9f72456d62ea0a3e2855cc5b7bd756e849
harvest-rescue-development,9500109,0,apex,70444.0,86859.0,-16415.0,719,complete,,7127,232,75.78186200044001,105.45787900264258,0.8305481059999997,37824,6.626865471000201,PIZZA_SHOP>PIZZA_SHOP>BAKERY>BRUNCH_SPOT>PIZZA_SHOP>YARN_STORE>SMOOTHIE_SHOP>FARMERS_MARKET,75a3138d8c26f730f9ec28e903308eb5be946863c659bc913a532a28dbf44ec1
harvest-rescue-development,9500109,1,apex,70444.0,86859.0,-16415.0,719,complete,,7127,232,54.451400003017625,100.61970100286999,0.7889362109999992,48904,6.921917583000322,PIZZA_SHOP>PIZZA_SHOP>BAKERY>BRUNCH_SPOT>PIZZA_SHOP>YARN_STORE>SMOOTHIE_SHOP>FARMERS_MARKET,2e09bfd78a98734907bfc9564f92a9d356e5220ddd5aacc441a88460843a28cc
animal-harvest-development,9500109,0,arlene,95699.0,113284.0,-17585.0,719,complete,,7084,197,82.6510219994816,182.6101189981273,0.9186197740000005,30972,6.303613206000591,PIZZA_SHOP>PIZZA_SHOP>SMOOTHIE_SHOP>BRUNCH_SPOT>BAKERY>SMOOTHIE_SHOP>SMOOTHIE_SHOP>SMOOTHIE_SHOP,f608d8dd6f0a4c8a40102a7b95a53c2bb375ecd3b7fe5045b0a2b62858f16d4b
animal-harvest-development,9500109,1,arlene,95699.0,113284.0,-17585.0,719,complete,,7084,197,53.70560500159627,103.60943500199937,0.8721605760000004,30968,7.16061462899961,PIZZA_SHOP>PIZZA_SHOP>SMOOTHIE_SHOP>BRUNCH_SPOT>BAKERY>SMOOTHIE_SHOP>SMOOTHIE_SHOP>SMOOTHIE_SHOP,de05fef6ca3d037fe586a949b74b56893e5fa7c7e98f0432b59c7a0a5a59c98f
animal-harvest-development,9500109,0,apex,94896.0,108067.0,-13171.0,719,complete,,7084,195,54.07319199730409,162.6581089985848,0.9155487459999994,37764,6.850950386997283,PIZZA_SHOP>PIZZA_SHOP>SMOOTHIE_SHOP>BRUNCH_SPOT>BAKERY>SMOOTHIE_SHOP>SMOOTHIE_SHOP>SMOOTHIE_SHOP,030d8092e78e6ad6c2ad82a38fd5a439a50b5a4221f224c4936514d79c611c68
animal-harvest-development,9500109,1,apex,94896.0,108067.0,-13171.0,719,complete,,7084,195,68.04357500004699,142.68402800007607,1.0359902760000015,48636,7.4162278000003425,PIZZA_SHOP>PIZZA_SHOP>SMOOTHIE_SHOP>BRUNCH_SPOT>BAKERY>SMOOTHIE_SHOP>SMOOTHIE_SHOP>SMOOTHIE_SHOP,b2eafb844808d77ffb3eff9541fe137298bc5f750dc94437338a0f5dbf1752cf
strong-source-head-to-head,9500301,0,apex,69955.0,60678.0,9277.0,719,complete,,7129,172,73.88088399966364,48.89614400235587,0.5080471320000008,21328,6.706123324001965,BRUNCH_SPOT>BAKERY>FARMERS_MARKET>PET_CAFE>SMOOTHIE_SHOP>BAKERY>ICE_CREAM_SHOP>YARN_STORE,f041d537761f739e899715c02deebc3c43a8263b56d818821f4b268faa3ddcb5
strong-source-head-to-head,9500301,1,apex,60015.0,59903.0,112.0,719,complete,,7129,79,60.78256299952045,18.243255999550456,0.3239784530000006,26368,5.914211159997649,BAKERY>BAKERY>SMOOTHIE_SHOP>YARN_STORE>BRUNCH_SPOT>ICE_CREAM_SHOP>PIZZA_SHOP>SMOOTHIE_SHOP,7a26b4b12703656aabc7cc9037e38aea3cfd86e240bdc86fdf3e1ca62f39142e
strong-source-head-to-head,9500319,0,apex,80065.0,78238.0,1827.0,719,complete,,7170,39,73.22381099947961,45.844329997635214,0.410004957,36872,6.529563992000476,YARN_STORE>YARN_STORE>BAKERY>FARMERS_MARKET>FARMERS_MARKET>PET_CAFE>SMOOTHIE_SHOP>BRUNCH_SPOT,c688d0067d6c8f94e3f5c559b6d8678d51e65a8497f63cebb1b3d829762308c9
strong-source-head-to-head,9500319,1,apex,80320.0,77761.0,2559.0,719,complete,,7170,35,57.02165099864942,17.869930001324974,0.2980137349999997,47552,6.163509581001563,YARN_STORE>YARN_STORE>BAKERY>FARMERS_MARKET>FARMERS_MARKET>PET_CAFE>SMOOTHIE_SHOP>BRUNCH_SPOT,b81acc713345606696cfbae611281a9954eadbb4e7d9ca89515182e5a73c6995
