peer,service_or_context,metric_or_measure,value,period_or_window,denominator_or_scope,measure_class,source_currency,comparison_status,comparability_notes,source_url,accessed_date
"University of Minnesota OIT","Windows Server Hosting","Typical backup retention","30 days","Current service guide","Managed Windows hosting backups","service-specific operating practice","Page modified 2026-02-12","context_only","Retention alone does not establish recovery success, RPO, or RTO","https://it.umn.edu/services-technologies/how-tos/windows-server-hosting-service-guide","2026-09-19"
"University of Michigan ITS","Storage migration","Data migrated",">5 PB","Oct 2023-Mar 2025","Migration project scope; failure/downtime denominator not reported","case-study volume","FY2025 accomplishment page","context_only","Scale evidence only; not a reliability rate and no comparable failure/downtime denominator","https://its.umich.edu/accomplishments/2025/administration/detail","2026-09-19"
"University of Michigan ITS","Storage migration","File shares migrated",">700","Oct 2023-Mar 2025","Migration project scope; failure/downtime denominator not reported","case-study volume","FY2025 accomplishment page","context_only","Scale evidence only; no success-rate denominator supplied","https://its.umich.edu/accomplishments/2025/administration/detail","2026-09-19"
"University of Michigan ITS","Database operations","MySQL/RHEL servers upgraded",">100","FY2025","Servers in described upgrade effort; downtime count not reported","case-study volume","FY2025 accomplishment page","context_only","Implementation scale, not measured reliability outcome","https://its.umich.edu/accomplishments/2025/administration/detail","2026-09-19"
"University of Michigan ITS","MiWorkspace service desk","Responses within target","89.9%","May-Jul 2015","Public page reports percentage; raw ticket denominator not stated in cited material","observed historical outcome","Historical 2015","historical_not_current_benchmark","Observed result but stale; target-clock, priority population, and raw denominator must be matched before any comparison","https://its.umich.edu/news/article/measuring-service-delivery-miworkspace-key-performance-indicators-kpis-1","2026-09-19"
"University of Michigan ITS","MiWorkspace service desk","Resolutions within target","91.3%","May-Jul 2015","Public page reports percentage; raw ticket denominator not stated in cited material","observed historical outcome","Historical 2015","historical_not_current_benchmark","Observed result but stale; resolution definition and excluded time must be normalized","https://its.umich.edu/news/article/measuring-service-delivery-miworkspace-key-performance-indicators-kpis-1","2026-09-19"
"University of Michigan ITS","MiWorkspace incidents","Median Critical incident duration","0.4 hours","May-Jul 2015","Critical-priority incidents; raw incident count not stated in cited material","observed historical outcome","Historical 2015","historical_not_current_benchmark","Priority taxonomy and sample size are required before comparison","https://its.umich.edu/news/article/measuring-service-delivery-miworkspace-key-performance-indicators-kpis-1","2026-09-19"
"University of Michigan ITS","MiWorkspace incidents","Median High incident duration","3.7 hours","May-Jul 2015","High-priority incidents; raw incident count not stated in cited material","observed historical outcome","Historical 2015","historical_not_current_benchmark","Priority taxonomy and sample size are required before comparison","https://its.umich.edu/news/article/measuring-service-delivery-miworkspace-key-performance-indicators-kpis-1","2026-09-19"
"University of Michigan ITS","MiWorkspace incidents","Median Moderate incident duration","5.7 hours","May-Jul 2015","Moderate-priority incidents; raw incident count not stated in cited material","observed historical outcome","Historical 2015","historical_not_current_benchmark","Priority taxonomy and sample size are required before comparison","https://its.umich.edu/news/article/measuring-service-delivery-miworkspace-key-performance-indicators-kpis-1","2026-09-19"
"University of Michigan ITS","MiWorkspace incidents","Median Normal incident duration","4.6 hours","May-Jul 2015","Normal-priority incidents; raw incident count not stated in cited material","observed historical outcome","Historical 2015","historical_not_current_benchmark","Priority taxonomy and sample size are required before comparison","https://its.umich.edu/news/article/measuring-service-delivery-miworkspace-key-performance-indicators-kpis-1","2026-09-19"
"Cornell University IT","CornellAD OLA","AD infrastructure unplanned downtime target","<=3-4 hours per calendar year","OLA v1.4, 2010-06-07","CornellAD infrastructure within document scope/exclusions","historical service target","Historical 2010","historical_context_only","Old service-specific target; exclusions and dependencies matter; not current Cornell enterprise performance","https://it.cornell.edu/sites/default/files/Identity%20Management/CornellADOLA_v1_4.pdf","2026-09-19"
"Cornell University IT","CornellAD OLA","Quest service unplanned downtime target","<=2 hours per calendar year","OLA v1.4, 2010-06-07","Quest service within document scope/exclusions","historical service target","Historical 2010","historical_context_only","Old service-specific target; not observed current performance","https://it.cornell.edu/sites/default/files/Identity%20Management/CornellADOLA_v1_4.pdf","2026-09-19"
"Cornell University IT","CornellAD OLA","P1 response target","<=1 hour","OLA v1.4, 2010-06-07","P1 incidents in CornellAD OLA scope","historical service target","Historical 2010","historical_context_only","Historical target; priority definition and clock must match before comparison","https://it.cornell.edu/sites/default/files/Identity%20Management/CornellADOLA_v1_4.pdf","2026-09-19"
"Cornell University IT","CornellAD OLA","P2 response target","<=1 day","OLA v1.4, 2010-06-07","P2 incidents in CornellAD OLA scope","historical service target","Historical 2010","historical_context_only","Historical target; not current enterprise benchmark","https://it.cornell.edu/sites/default/files/Identity%20Management/CornellADOLA_v1_4.pdf","2026-09-19"
"Cornell University IT","CornellAD OLA","Standard weekday maintenance window","05:00-07:00","OLA v1.4, 2010-06-07","CornellAD service","historical operating practice","Historical 2010","historical_context_only","Service-specific scheduling example only","https://it.cornell.edu/sites/default/files/Identity%20Management/CornellADOLA_v1_4.pdf","2026-09-19"
"Cornell University IT","CornellAD OLA","Standard Sunday maintenance window","06:00-12:00","OLA v1.4, 2010-06-07","CornellAD service","historical operating practice","Historical 2010","historical_context_only","Service-specific scheduling example only","https://it.cornell.edu/sites/default/files/Identity%20Management/CornellADOLA_v1_4.pdf","2026-09-19"
