"framework","version","publication_date","locator","source_concept","assessment_area","proposed_assessment_use","evidence_examples","adaptation_limit","source_url"
"CSF","2.0","2024-02-26","GV.RR","GOVERN — Roles, Responsibilities, and Authorities","security|deployment_operations","Map accountability and decision rights across central IT, ESS, RIS, IAM, and shared services.","role matrices; escalation paths; ownership records; governance charters","Formal assignment is intent evidence until corroborated in operating records and interviews.","https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf"
"CSF","2.0","2024-02-26","GV.PO","GOVERN — Policy","security|deployment_operations","Compare policy expectations with sampled implementation evidence and exception handling.","policies; standards; exception records; implementation samples","This engagement is not a compliance audit; policy-to-practice differences require contextual interpretation.","https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf"
"CSF","2.0","2024-02-26","GV.OV","GOVERN — Oversight","security|deployment_operations","Assess review cadences and feedback loops used to oversee cybersecurity risk management.","governance minutes; risk reviews; dashboard definitions; action tracking","Oversight frequency alone is not an outcome measure.","https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf"
"CSF","2.0","2024-02-26","GV.SC","GOVERN — Cybersecurity Supply Chain Risk Management","security|software_development","Explore governance of third-party software, services, and dependencies where relevant to assessed systems.","vendor/dependency inventories; review criteria; contract controls; risk records","Use for operating-practice questions only; the RFQ excludes procurement recommendations.","https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf"
"CSF","2.0","2024-02-26","ID.AM","IDENTIFY — Asset Management","security|deployment_operations","Assess whether hardware, software, services, systems, and data relevant to the services are known and lifecycle-managed.","service inventory; application catalog; data inventory; ownership metadata","Inventory completeness must be tested against defined scope; no universal asset taxonomy is imposed.","https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf"
"CSF","2.0","2024-02-26","ID.RA","IDENTIFY — Risk Assessment","security|deployment_operations","Examine identification and prioritization of vulnerabilities, threats, impacts, and risk responses.","risk assessments; vulnerability records; threat analyses; exception decisions","Raw finding counts are not comparable across groups without common scope and denominator.","https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf"
"CSF","2.0","2024-02-26","ID.IM","IDENTIFY — Improvement","security|deployment_operations","Look for lessons learned and continuous improvement from evaluations, tests, exercises, and incidents.","retrospectives; corrective-action tracking; policy/process revisions; exercise results","Presence of a backlog is not evidence that improvement actions close effectively.","https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf"
"CSF","2.0","2024-02-26","PR.AA","PROTECT — Identity Management, Authentication, and Access Control","security|deployment_operations","Structure IAM discovery around identity lifecycle, authentication, authorization, and access governance outcomes.","joiner/mover/leaver records; access reviews; MFA policy and samples; privileged-access controls","Do not infer architecture or product choices from the CSF category.","https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf"
"CSF","2.0","2024-02-26","PR.AT","PROTECT — Awareness and Training","security|software_development","Ask how role-relevant security knowledge is maintained for practitioners and service operators.","training curricula; completion records; role-specific exercises; onboarding","Completion percentage is not equivalent to behavior change or security outcome.","https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf"
"CSF","2.0","2024-02-26","PR.DS","PROTECT — Data Security","security|deployment_operations","Assess safeguards for confidentiality, integrity, and availability of data in the assessed service context.","data classifications; encryption configurations; backup controls; transfer rules","Data handling expectations must be reconciled with University policy and actual system boundaries.","https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf"
"CSF","2.0","2024-02-26","PR.PS","PROTECT — Platform Security","security|deployment_operations","Examine configuration, maintenance, software integrity, and change controls for platforms supporting services.","configuration baselines; patch records; change records; platform inventories","Applicability differs for University-managed and externally managed platforms.","https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf"
"CSF","2.0","2024-02-26","PR.IR","PROTECT — Technology Infrastructure Resilience","security|deployment_operations","Assess whether service architecture and operational safeguards support resilience objectives.","redundancy design; backup/restore evidence; capacity planning; continuity controls","Do not assert resilience from architecture diagrams alone; operating evidence is required.","https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf"
"CSF","2.0","2024-02-26","DE.CM","DETECT — Continuous Monitoring","security|deployment_operations","Assess monitoring coverage and how telemetry supports detection across relevant runtime environments.","monitoring inventory; alert rules; coverage maps; alert samples","Alert volume is not a quality metric without coverage, precision, and response context.","https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf"
"CSF","2.0","2024-02-26","DE.AE","DETECT — Adverse Event Analysis","security|deployment_operations","Examine how events are analyzed, correlated, escalated, and contextualized.","event triage records; correlation logic; escalation criteria; incident linkage","Detection capability cannot be inferred solely from tool deployment.","https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf"
"CSF","2.0","2024-02-26","RS.MA","RESPOND — Incident Management","security|deployment_operations","Assess declaration, coordination, prioritization, and closure practices for incidents.","incident procedures; severity model; incident tickets; coordination records","Incident count must not be treated as a maturity ranking; reporting culture and service scale matter.","https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf"
"CSF","2.0","2024-02-26","RS.AN","RESPOND — Incident Analysis","security|deployment_operations","Assess analysis quality, evidence preservation, root cause, and learning from incidents.","timelines; root-cause analyses; forensic records; follow-up actions","Depth of analysis should be calibrated to incident significance and available evidence.","https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf"
"CSF","2.0","2024-02-26","RS.CO","RESPOND — Incident Response Reporting and Communication","security|deployment_operations","Map internal and stakeholder communication expectations during incidents.","communication plans; notification records; role/contact maps; post-incident communications","The crosswalk does not define legal notification obligations.","https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf"
"CSF","2.0","2024-02-26","RS.MI","RESPOND — Incident Mitigation","security|deployment_operations","Assess how incidents are contained and eradicated while managing service impact.","containment procedures; remediation records; emergency changes; validation evidence","Containment speed should not be compared without incident type, severity, and service context.","https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf"
"CSF","2.0","2024-02-26","RC.RP","RECOVER — Incident Recovery Plan Execution","security|deployment_operations","Assess restoration priorities, recovery execution, validation, and transition back to normal operations.","recovery plans; restore tests; recovery timelines; validation records","A documented plan is intent evidence until exercised or demonstrated.","https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf"
"CSF","2.0","2024-02-26","RC.CO","RECOVER — Incident Recovery Communication","security|deployment_operations","Assess stakeholder coordination and status communication during recovery.","recovery communications; stakeholder lists; status updates; closure messages","Communication quality should be evaluated in context, not by message volume.","https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf"
"CSF","2.0","2024-02-26","§3.1","Organizational Profiles","software_development|security|deployment_operations|ai_readiness","Use Current/Target Profile concepts as a neutral way to organize observed and desired outcomes and gap actions.","current-state evidence; target-state decisions; gap/action register","Profiles organize outcomes; they do not create an empirical benchmark or universal maturity level.","https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf"
"CSF","2.0","2024-02-26","§3.2","CSF Tiers","security|deployment_operations","Use only as contextual vocabulary for rigor of risk governance and management if the University finds it useful.","governance characteristics; risk-management practices; stakeholder context","Do not convert Tiers into a TJLabs maturity score, percentile, certification, or cross-team ranking; NIST presents them as contextual characterization that complements risk-management methodology.","https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf"
"AI RMF","1.0","2023-01-26","GOVERN 1.5","Policies, processes, procedures, and practices are reviewed regularly and updated as needed","ai_readiness","Ask whether AI-related governance is periodically reviewed as technologies, uses, and risks change.","governance review records; policy revision history; decision logs","Apply only where AI use is actually in scope; public AI policy does not establish ESS/RIS/IAM adoption.","https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf"
"AI RMF","1.0","2023-01-26","GOVERN 1.6","Mechanisms inventory AI systems and are resourced according to organizational risk priorities","ai_readiness|security","Assess whether the organization can identify AI systems/use cases in scope and assign accountable resources.","AI use-case inventory; ownership; risk classification; lifecycle status","Inventory design is organization-specific; absence of one template is not itself a finding.","https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf"
"AI RMF","1.0","2023-01-26","GOVERN 2.1","Roles and responsibilities for AI risk management are documented and communicated","ai_readiness","Map responsibility for approving, operating, evaluating, monitoring, and retiring AI-enabled workflows.","role matrices; approval records; operating ownership; escalation paths","Formal roles are intent evidence until corroborated by operating examples.","https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf"
"AI RMF","1.0","2023-01-26","GOVERN 2.3","Executive leadership takes responsibility for decisions about risks associated with AI system development and deployment","ai_readiness","Ask where material AI risk decisions are escalated and who accepts residual risk.","governance minutes; approvals; exception/risk acceptance records","Do not infer an organizational structure; identify the actual decision forum and authority.","https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf"
"AI RMF","1.0","2023-01-26","GOVERN 3.2","Policies and procedures define roles and responsibilities for human-AI configurations and oversight","ai_readiness|software_development","Assess whether human review, override, escalation, and accountability are explicit in AI-assisted workflows.","workflow diagrams; human-review criteria; override procedures; escalation logs","Human oversight requirements depend on impact, use case, and user population; this is not a universal staffing prescription.","https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf"
"AI RMF","1.0","2023-01-26","MAP 2.3","Scientific integrity and TEVV considerations are identified and documented","ai_readiness|software_development","Examine whether evaluation design, data collection, and validation methods are fit for the intended AI use.","evaluation plans; test datasets; validation records; limitations documentation","Do not treat a single benchmark score as sufficient evidence of fitness for institutional use.","https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf"
"AI RMF","1.0","2023-01-26","MAP 3.3","Targeted application scope is specified and documented","ai_readiness","Test whether each AI-enabled use case has a bounded purpose, users, decisions, data, and operating context.","use-case statement; user groups; data boundaries; exclusions; intended decisions","Do not infer production scope from experiments, pilots, or public statements.","https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf"
"AI RMF","1.0","2023-01-26","MAP 3.5","Processes for human oversight are defined, assessed, and documented","ai_readiness|software_development","Assess whether oversight occurs at meaningful points and whether reviewers have enough information and authority to intervene.","review steps; escalation records; override evidence; user guidance","Presence of a human in the loop is not automatically effective oversight.","https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf"
"AI RMF","1.0","2023-01-26","MAP 4.1","Approaches for mapping risks of third-party software, data, and other components are documented","ai_readiness|security","Assess dependency and provenance questions for models, APIs, datasets, and other third-party AI components.","component inventory; provider documentation; data provenance; risk reviews","This supports risk assessment, not a recommendation to buy or replace a product.","https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf"
"AI RMF","1.0","2023-01-26","MEASURE 2.6","AI system is evaluated for safety","ai_readiness","Ask what safety-relevant failure modes are tested for the actual institutional use case.","scenario tests; red-team exercises where appropriate; failure analyses; acceptance criteria","Safety evidence is use-case specific and cannot be reduced to one generic score.","https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf"
"AI RMF","1.0","2023-01-26","MEASURE 2.7","AI system is evaluated for security and resilience","ai_readiness|security","Assess security/resilience evaluation appropriate to the AI workflow and its dependencies.","security tests; abuse-case analysis; resilience tests; monitoring results","Do not treat AI RMF as a security certification or substitute for system-specific threat assessment.","https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf"
"AI RMF","1.0","2023-01-26","MEASURE 2.8","Risks related to transparency and accountability are examined and documented","ai_readiness","Assess whether stakeholders can understand ownership, use, limitations, and accountability for AI-assisted decisions.","disclosures; responsibility records; user guidance; audit trails","Transparency needs vary by audience and decision impact.","https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf"
"AI RMF","1.0","2023-01-26","MEASURE 2.9","AI model explanations are explained, validated, and documented","ai_readiness","Ask how explanation or interpretability needs are defined and validated for the actual users and decisions.","explanation evaluations; user studies; decision-support guidance; limitations","Not every use case requires the same explanation technique; fitness is contextual.","https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf"
"AI RMF","1.0","2023-01-26","MEASURE 2.10","Privacy risk of the AI system is examined and documented","ai_readiness|security","Assess how privacy and institutional-data risks are identified in AI workflows.","data-flow diagrams; privacy reviews; retention rules; access controls","The RFQ assessment should surface evidence and questions, not substitute for formal privacy/legal review.","https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf"
"AI RMF","1.0","2023-01-26","MEASURE 2.11","Fairness and bias are evaluated and documented","ai_readiness","Ask whether impact-relevant fairness risks and affected groups are identified and evaluated where applicable.","evaluation plans; subgroup analyses; impact assessments; limitations","Applicability and metrics depend on use case and affected population; no universal fairness threshold is implied.","https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf"
"AI RMF","1.0","2023-01-26","MEASURE 3.1","Approaches, personnel, and documentation are in place to track identified AI risks over time","ai_readiness|deployment_operations","Assess post-deployment or ongoing monitoring of known risks and changes in context.","risk register; monitoring dashboards; review cadence; drift or performance records","Monitoring measures need defined thresholds and response paths; dashboards alone are not evidence of control effectiveness.","https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf"
"AI RMF","1.0","2023-01-26","MANAGE 1.1","Whether the AI system achieves intended purposes and whether development or deployment should proceed is determined","ai_readiness","Look for explicit go/no-go or continue/change/stop decisions tied to evidence and intended purpose.","approval gates; evaluation summaries; decision records; rollback criteria","This is a decision structure, not a NIST approval or certification of a system.","https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf"
"AI RMF","1.0","2023-01-26","MANAGE 1.3","Responses to identified and measured AI risks are prioritized and documented","ai_readiness|deployment_operations","Assess whether material AI risks have owners, treatments, timelines, and residual-risk decisions.","risk treatments; owners; mitigation tracking; exception decisions","Do not compare backlog size across teams without risk and scope context.","https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf"
"AI RMF","1.0","2023-01-26","MANAGE 2.3","Procedures are followed to respond to and recover from previously unknown risks when identified","ai_readiness|deployment_operations","Assess incident and change pathways for newly discovered AI failure modes or harms.","incident records; emergency disablement; corrective actions; monitoring changes","Avoid assuming an AI-specific incident process is necessary when existing enterprise processes are effective.","https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf"
"AI RMF","1.0","2023-01-26","MANAGE 2.4","Mechanisms are in place to supersede, disengage, or deactivate AI systems inconsistent with intended use","ai_readiness|deployment_operations","Ask how an AI feature or workflow can be disabled, rolled back, or retired when evidence no longer supports use.","feature flags; rollback plans; retirement criteria; decommission records","Mechanisms vary by architecture; focus on decision and execution capability, not one technical pattern.","https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf"
"AI RMF","1.0","2023-01-26","MANAGE 3.1","AI risks and benefits from third-party resources are regularly monitored","ai_readiness|security|deployment_operations","Assess ongoing review of external models, APIs, datasets, and provider changes after initial adoption.","provider change reviews; model/version inventory; dependency monitoring; updated risk records","This is not a vendor ranking or procurement recommendation.","https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf"
