record_id,sample_id,coa_id,jurisdiction,license_id,matrix,collection_at,custody_events,rule_pack_version,rule_pack_expires_at,requested_panel,method_version,loq,reporting_limit,accreditation_scope,final_coa_signer,result_sha256,synthetic
SC-011,SC-SAMPLE-011,SC-COA-011,CA,CA-LICENSE-11,FLOWER,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,CA-2026.1,2027-09-01T00:00:00Z,CA-CANNABINOID-SAFETY,SC-CA-001/2026.1,0.10,0.20,ISO17025-CA-CANNABINOID-SAFETY,reviewer-ca,b7b226f32298666b5045ed08fad5633bd3f0ed631943eeaac23aac59d4865d74,true
SC-012,SC-SAMPLE-012,SC-COA-012,CO,CO-LICENSE-12,CONCENTRATE,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,CO-2026.1,2027-09-01T00:00:00Z,CO-CANNABINOID-SAFETY,SC-CO-001/2026.1,0.05,0.10,ISO17025-CO-CANNABINOID-SAFETY,reviewer-co,219d40cf01a9e0cf700b051fdef73ea5479be9077b95a88beb14119cc48e5f88,true
SC-013,SC-SAMPLE-013,SC-COA-013,MI,MI-LICENSE-13,EDIBLE,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,MI-2026.1,2027-09-01T00:00:00Z,MI-CANNABINOID-SAFETY,SC-MI-001/2026.1,0.20,0.40,ISO17025-MI-CANNABINOID-SAFETY,reviewer-mi,9fbef3b0547cd3da8febd4454e312dd41580853fa24ae8b22b654e0e08d55012,true
SC-014,SC-SAMPLE-014,SC-COA-014,MD,MD-LICENSE-14,VAPE,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,MD-2026.1,2027-09-01T00:00:00Z,MD-CANNABINOID-SAFETY,SC-MD-001/2026.1,0.08,0.16,ISO17025-MD-CANNABINOID-SAFETY,reviewer-md,b4de8b9f9111e0c329207de72bb4e60a11977045a1eb011d9289d048d28911b4,true
SC-015,SC-SAMPLE-015,SC-COA-015,OR,OR-LICENSE-15,FLOWER,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,OR-2026.1,2027-09-01T00:00:00Z,OR-CANNABINOID-SAFETY,SC-OR-001/2026.1,0.12,0.24,ISO17025-OR-CANNABINOID-SAFETY,reviewer-or,5f5759c13122c81d3e6abc445bf982533e4624f25088101250d36f2283166005,true
SC-016,SC-SAMPLE-016,SC-COA-016,CA,CA-LICENSE-16,FLOWER,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,CA-2026.1,2027-09-01T00:00:00Z,CA-CANNABINOID-SAFETY,SC-CA-001/2026.1,0.10,0.20,ISO17025-CA-CANNABINOID-SAFETY,reviewer-ca,096e9a26b30382bbe2f75e0608b412cd01727eb612725602e55c95423e9fbf4b,true
SC-017,SC-SAMPLE-017,SC-COA-017,CO,CO-LICENSE-17,CONCENTRATE,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,CO-2026.1,2027-09-01T00:00:00Z,CO-CANNABINOID-SAFETY,SC-CO-001/2026.1,0.05,0.10,ISO17025-CO-CANNABINOID-SAFETY,reviewer-co,aa3b59c0af0ac08dba645078629f197538d3d619256a2c06c7fd39f9a8a709e8,true
SC-018,SC-SAMPLE-018,SC-COA-018,MI,MI-LICENSE-18,EDIBLE,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,MI-2026.1,2027-09-01T00:00:00Z,MI-CANNABINOID-SAFETY,SC-MI-001/2026.1,0.20,0.40,ISO17025-MI-CANNABINOID-SAFETY,reviewer-mi,201a2c086f965b186873e99f9ff48888fd83c99369de86a3130c1915e6be2078,true
SC-019,SC-SAMPLE-019,SC-COA-019,MD,MD-LICENSE-19,VAPE,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,MD-2026.1,2027-09-01T00:00:00Z,MD-CANNABINOID-SAFETY,SC-MD-001/2026.1,0.08,0.16,ISO17025-MD-CANNABINOID-SAFETY,reviewer-md,185bc53402050c92760a3d2bfa6441b97374615276edb4b111c055ec718bd226,true
SC-020,SC-SAMPLE-020,SC-COA-020,OR,OR-LICENSE-20,FLOWER,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,OR-2026.1,2027-09-01T00:00:00Z,OR-CANNABINOID-SAFETY,SC-OR-001/2026.1,0.12,0.24,ISO17025-OR-CANNABINOID-SAFETY,reviewer-or,1289edaf921de1d9d01247a25cb896232d3563f2649c14e2f6430eeebd0b6339,true
SC-021,SC-SAMPLE-021,SC-COA-021,CA,CA-LICENSE-21,FLOWER,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,CA-2026.1,2027-09-01T00:00:00Z,CA-CANNABINOID-SAFETY,SC-CA-001/2026.1,0.10,0.20,ISO17025-CA-CANNABINOID-SAFETY,reviewer-ca,89853d30cdbb0781df615eccfdd907b38f626c069923473e4dd24a0add9b87e2,true
SC-022,SC-SAMPLE-022,SC-COA-022,CO,CO-LICENSE-22,CONCENTRATE,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,CO-2026.1,2027-09-01T00:00:00Z,CO-CANNABINOID-SAFETY,SC-CO-001/2026.1,0.05,0.10,ISO17025-CO-CANNABINOID-SAFETY,reviewer-co,e8eb82561fda1f7e86d6afd5cd48f5c0f4520be7cf02241dc4e4365d57aa307f,true
SC-023,SC-SAMPLE-023,SC-COA-023,MI,MI-LICENSE-23,EDIBLE,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,MI-2026.1,2027-09-01T00:00:00Z,MI-CANNABINOID-SAFETY,SC-MI-001/2026.1,0.20,0.40,ISO17025-MI-CANNABINOID-SAFETY,reviewer-mi,122e4c4f13c3913b3ae67d33416329b6448279230c0e78c6de991adc01de868d,true
SC-024,SC-SAMPLE-024,SC-COA-024,MD,MD-LICENSE-24,VAPE,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,MD-2026.1,2027-09-01T00:00:00Z,MD-CANNABINOID-SAFETY,SC-MD-001/2026.1,0.08,0.16,ISO17025-MD-CANNABINOID-SAFETY,reviewer-md,b95d5072bb30482700862102f482f9b649f60ade4da96d31cf157be69a4b17e0,true
SC-025,SC-SAMPLE-025,SC-COA-025,OR,OR-LICENSE-01,FLOWER,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,OR-2026.1,2027-09-01T00:00:00Z,OR-CANNABINOID-SAFETY,SC-OR-001/2026.1,0.12,0.24,ISO17025-OR-CANNABINOID-SAFETY,reviewer-or,36f832a4cf65aa379199dd703a17ffabdf2e9c015c08e1e09769745f4f2db04c,true
SC-026,SC-SAMPLE-026,SC-COA-026,CA,CA-LICENSE-02,FLOWER,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,CA-2026.1,2027-09-01T00:00:00Z,CA-CANNABINOID-SAFETY,SC-CA-001/2026.1,0.10,0.20,ISO17025-CA-CANNABINOID-SAFETY,reviewer-ca,4cc4921343a65bbd41c04e5613e822e43a07f8f8face35e9548eee6b01a3598c,true
SC-027,SC-SAMPLE-027,SC-COA-027,CO,CO-LICENSE-03,CONCENTRATE,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,CO-2026.1,2027-09-01T00:00:00Z,CO-CANNABINOID-SAFETY,SC-CO-001/2026.1,0.05,0.10,ISO17025-CO-CANNABINOID-SAFETY,reviewer-co,d35c8ebaa8dfdb2cf84e3f6ea20ff8aa3092a84d9b2df84cace8604f7aaf0e6f,true
SC-028,SC-SAMPLE-028,SC-COA-028,MI,MI-LICENSE-04,EDIBLE,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,MI-2026.1,2027-09-01T00:00:00Z,MI-CANNABINOID-SAFETY,SC-MI-001/2026.1,0.20,0.40,ISO17025-MI-CANNABINOID-SAFETY,reviewer-mi,c00e1565cec11dd3813dc78ee0d867d8bac55bd36dcae43540ec0b5ba1383021,true
SC-029,SC-SAMPLE-029,SC-COA-029,MD,MD-LICENSE-05,VAPE,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,MD-2026.1,2027-09-01T00:00:00Z,MD-CANNABINOID-SAFETY,SC-MD-001/2026.1,0.08,0.16,ISO17025-MD-CANNABINOID-SAFETY,reviewer-md,1917a7df013122ead52aba609a961392f2228538c0dbd84e987c31eaf5042e00,true
SC-030,SC-SAMPLE-030,SC-COA-030,OR,OR-LICENSE-06,FLOWER,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,OR-2026.1,2027-09-01T00:00:00Z,OR-CANNABINOID-SAFETY,SC-OR-001/2026.1,0.12,0.24,ISO17025-OR-CANNABINOID-SAFETY,reviewer-or,5ae8b9480310c17e905e7127a05efaebab8465b5c938605ff735bccc3cb77fec,true
SC-031,SC-SAMPLE-031,SC-COA-031,CA,CA-LICENSE-07,FLOWER,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,CA-2026.1,2027-09-01T00:00:00Z,CA-CANNABINOID-SAFETY,SC-CA-001/2026.1,0.10,0.20,ISO17025-CA-CANNABINOID-SAFETY,reviewer-ca,bf8d5f5f820d920376984b7a388c804ab2fab16d310215b8cf4badb9f74221cc,true
SC-032,SC-SAMPLE-032,SC-COA-032,CO,CO-LICENSE-08,CONCENTRATE,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,CO-2026.1,2027-09-01T00:00:00Z,CO-CANNABINOID-SAFETY,SC-CO-001/2026.1,0.05,0.10,ISO17025-CO-CANNABINOID-SAFETY,reviewer-co,5b6a82a95696089b132ecd9e83c0e47adc4e4b83244b06154d3f516732772966,true
SC-033,SC-SAMPLE-033,SC-COA-033,MI,MI-LICENSE-09,EDIBLE,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,MI-2026.1,2027-09-01T00:00:00Z,MI-CANNABINOID-SAFETY,SC-MI-001/2026.1,0.20,0.40,ISO17025-MI-CANNABINOID-SAFETY,reviewer-mi,d5ddb6ee195a9e9bcc066add27b011d67381c152f5b5bec6f13a7efafaef7287,true
SC-034,SC-SAMPLE-034,SC-COA-034,MD,MD-LICENSE-10,VAPE,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,MD-2026.1,2027-09-01T00:00:00Z,MD-CANNABINOID-SAFETY,SC-MD-001/2026.1,0.08,0.16,ISO17025-MD-CANNABINOID-SAFETY,reviewer-md,e6e3338a54fbf618b19f76cd28f2fd168495e5507aa623b883d11dafd0a632e2,true
SC-035,SC-SAMPLE-035,SC-COA-035,OR,OR-LICENSE-11,FLOWER,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,OR-2026.1,2027-09-01T00:00:00Z,OR-CANNABINOID-SAFETY,SC-OR-001/2026.1,0.12,0.24,ISO17025-OR-CANNABINOID-SAFETY,reviewer-or,29da7ac30e08805a0eed661e2950e396320008a51900d8a1458857ac14d6783d,true
SC-036,SC-SAMPLE-036,SC-COA-036,CA,CA-LICENSE-12,FLOWER,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,CA-2026.1,2027-09-01T00:00:00Z,CA-CANNABINOID-SAFETY,SC-CA-001/2026.1,0.10,0.20,ISO17025-CA-CANNABINOID-SAFETY,reviewer-ca,2a4e95539c2d3618ae799ae450cb5271f1d5245c25640d8159af769f7bab2cf9,true
SC-037,SC-SAMPLE-037,SC-COA-037,CO,CO-LICENSE-13,CONCENTRATE,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,CO-2026.1,2027-09-01T00:00:00Z,CO-CANNABINOID-SAFETY,SC-CO-001/2026.1,0.05,0.10,ISO17025-CO-CANNABINOID-SAFETY,reviewer-co,32ba2a71c1cc4a48cc5d8d7511c44e8d382fbad2b7ba790a7515e0bab3bdc06a,true
SC-038,SC-SAMPLE-038,SC-COA-038,MI,MI-LICENSE-14,EDIBLE,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,MI-2026.1,2027-09-01T00:00:00Z,MI-CANNABINOID-SAFETY,SC-MI-001/2026.1,0.20,0.40,ISO17025-MI-CANNABINOID-SAFETY,reviewer-mi,69618ed15c1156b557da27932c4d793224c9ec416f740c82f82884ec0fa83e76,true
SC-039,SC-SAMPLE-039,SC-COA-039,MD,MD-LICENSE-15,VAPE,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,MD-2026.1,2027-09-01T00:00:00Z,MD-CANNABINOID-SAFETY,SC-MD-001/2026.1,0.08,0.16,ISO17025-MD-CANNABINOID-SAFETY,reviewer-md,6ffc93bde23497541c4ef3c9899a3007eb16fa5dd3a121932cfcfdc0b8466d80,true
SC-040,SC-SAMPLE-040,SC-COA-040,OR,OR-LICENSE-16,FLOWER,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,OR-2026.1,2027-09-01T00:00:00Z,OR-CANNABINOID-SAFETY,SC-OR-001/2026.1,0.12,0.24,ISO17025-OR-CANNABINOID-SAFETY,reviewer-or,226e5397e7b557bce0406354d6ae4d67e76ad72bbadae5eb638367f3f5de22ec,true
SC-041,SC-SAMPLE-041,SC-COA-041,CA,CA-LICENSE-17,FLOWER,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,CA-2026.1,2027-09-01T00:00:00Z,CA-CANNABINOID-SAFETY,SC-CA-001/2026.1,0.10,0.20,ISO17025-CA-CANNABINOID-SAFETY,reviewer-ca,35fc343a373a2151f64317b7a32119fe14b0f22a26d1c1762611c20e083b6cab,true
SC-042,SC-SAMPLE-042,SC-COA-042,CO,CO-LICENSE-18,CONCENTRATE,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,CO-2026.1,2027-09-01T00:00:00Z,CO-CANNABINOID-SAFETY,SC-CO-001/2026.1,0.05,0.10,ISO17025-CO-CANNABINOID-SAFETY,reviewer-co,3ba7e26e35bd7d285a469eabbe0a2114458f551ae8f8dbf12c7088b052814744,true
SC-043,SC-SAMPLE-043,SC-COA-043,MI,MI-LICENSE-19,EDIBLE,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,MI-2026.1,2027-09-01T00:00:00Z,MI-CANNABINOID-SAFETY,SC-MI-001/2026.1,0.20,0.40,ISO17025-MI-CANNABINOID-SAFETY,reviewer-mi,40ca2dccc692ddce5fb8a928d8f635a36da2c50d9f085fc3054e1ecffd5fe06e,true
SC-044,SC-SAMPLE-044,SC-COA-044,MD,MD-LICENSE-20,VAPE,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,MD-2026.1,2027-09-01T00:00:00Z,MD-CANNABINOID-SAFETY,SC-MD-001/2026.1,0.08,0.16,ISO17025-MD-CANNABINOID-SAFETY,reviewer-md,61918a6c73477baf0d261d32f9229da53424fa3d2f5d6011beb4782b77eac451,true
SC-045,SC-SAMPLE-045,SC-COA-045,OR,OR-LICENSE-21,FLOWER,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,OR-2026.1,2027-09-01T00:00:00Z,OR-CANNABINOID-SAFETY,SC-OR-001/2026.1,0.12,0.24,ISO17025-OR-CANNABINOID-SAFETY,reviewer-or,1edd21b67b4abae206d4d95c99c2aff4503092dca67383a43a67af0af93df55b,true
SC-046,SC-SAMPLE-046,SC-COA-046,CA,CA-LICENSE-22,FLOWER,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,CA-2026.1,2027-09-01T00:00:00Z,CA-CANNABINOID-SAFETY,SC-CA-001/2026.1,0.10,0.20,ISO17025-CA-CANNABINOID-SAFETY,reviewer-ca,8b6192a850273f40969d0c24fe2625146644e3098474f2d02c5c540aaabc08cf,true
SC-047,SC-SAMPLE-047,SC-COA-047,CO,CO-LICENSE-23,CONCENTRATE,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,CO-2026.1,2027-09-01T00:00:00Z,CO-CANNABINOID-SAFETY,SC-CO-001/2026.1,0.05,0.10,ISO17025-CO-CANNABINOID-SAFETY,reviewer-co,1f3e8bc53f1426a16c53164a401ad900206246e61af66892ba9cfa80e907317b,true
SC-048,SC-SAMPLE-048,SC-COA-048,MI,MI-LICENSE-24,EDIBLE,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,MI-2026.1,2027-09-01T00:00:00Z,MI-CANNABINOID-SAFETY,SC-MI-001/2026.1,0.20,0.40,ISO17025-MI-CANNABINOID-SAFETY,reviewer-mi,08b26257d66ba10b0ebed64e195f8e1af843c91fecd45f060304c58d67cb0cc6,true
SC-049,SC-SAMPLE-049,SC-COA-049,MD,MD-LICENSE-01,VAPE,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,MD-2026.1,2027-09-01T00:00:00Z,MD-CANNABINOID-SAFETY,SC-MD-001/2026.1,0.08,0.16,ISO17025-MD-CANNABINOID-SAFETY,reviewer-md,c530fb6f971c379e029e9592061d0cbd7a1006c58324239a489a1a79ab954ae0,true
SC-050,SC-SAMPLE-050,SC-COA-050,OR,OR-LICENSE-02,FLOWER,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,OR-2026.1,2027-09-01T00:00:00Z,OR-CANNABINOID-SAFETY,SC-OR-001/2026.1,0.12,0.24,ISO17025-OR-CANNABINOID-SAFETY,reviewer-or,97038891333631ec389834a617a944d3ab8fdd756bc9cc6e5a78c1f7447f95e9,true
SC-051,SC-SAMPLE-051,SC-COA-051,CA,CA-LICENSE-03,FLOWER,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,CA-2026.1,2027-09-01T00:00:00Z,CA-CANNABINOID-SAFETY,SC-CA-001/2026.1,0.10,0.20,ISO17025-CA-CANNABINOID-SAFETY,reviewer-ca,2efee2adf9b53e05b5e7e3b7f4d45945c76f31eb23723f7ddf56a8e9e5f57f55,true
SC-052,SC-SAMPLE-052,SC-COA-052,CO,CO-LICENSE-04,CONCENTRATE,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,CO-2026.1,2027-09-01T00:00:00Z,CO-CANNABINOID-SAFETY,SC-CO-001/2026.1,0.05,0.10,ISO17025-CO-CANNABINOID-SAFETY,reviewer-co,f6273ec92db00731a0e693a895a55001cd97433662d5264ad9e477cbc7050815,true
