"record_id","framework","version_status","source_section_or_element","source_kind","rfq_assessment_area","proposed_assessment_use","suggested_evidence","adaptation_limit","maturity_handling","source_url","accessed_date"
"SSDF-11","NIST SP 800-218 SSDF","1.1 Final","Table 1 / PW.4 Reuse Existing, Well-Secured Software When Feasible","practice","software development; security","Assess component selection, provenance, maintenance, and risk evaluation for reused software.","Dependency inventory/SBOM where available; approval criteria; vulnerability/remediation records.","SSDF does not make reuse categorically safer; context and ongoing maintenance matter.","No SSDF maturity scale is defined.","https://csrc.nist.gov/pubs/sp/800/218/final","2026-09-19"
"SSDF-12","NIST SP 800-218 SSDF","1.1 Final","Table 1 / PW.5 Create Source Code by Adhering to Secure Coding Practices","practice","software development; security","Assess whether secure coding expectations are defined, taught, reviewed, and evidenced in implementation.","Standards; training; code review evidence; static-analysis findings; defect history.","Coding standards and tooling are inputs, not proof of secure outcomes.","Do not translate tool counts or rule coverage into maturity without a separate validated method.","https://csrc.nist.gov/pubs/sp/800/218/final","2026-09-19"
"SSDF-13","NIST SP 800-218 SSDF","1.1 Final","Table 1 / PW.6 Configure the Compilation, Interpreter, and Build Processes to Improve Executable Security","practice","software development; deployment/operations; security","Assess secure build configuration and repeatability.","Build definitions; compiler/interpreter settings; build logs; artifact provenance.","Applicability varies by language/platform; not every example applies to every service.","No SSDF maturity scale is defined.","https://csrc.nist.gov/pubs/sp/800/218/final","2026-09-19"
"SSDF-14","NIST SP 800-218 SSDF","1.1 Final","Table 1 / PW.7 Review and/or Analyze Human-Readable Code to Identify Vulnerabilities and Verify Compliance with Security Requirements","practice","software development; security","Assess code review and static-analysis coverage, triage, remediation, and exception handling.","Review rules; static-analysis results; defect records; remediation SLAs/records.","Tool output requires context, validation, and disposition; raw finding counts are not maturity.","No SSDF maturity scale is defined.","https://csrc.nist.gov/pubs/sp/800/218/final","2026-09-19"
"SSDF-15","NIST SP 800-218 SSDF","1.1 Final","Table 1 / PW.8 Test Executable Code to Identify Vulnerabilities and Verify Compliance with Security Requirements","practice","software development; security","Assess security-relevant testing of executable software and handling of results.","Dynamic/security test records; test environments; findings; retest/closure evidence.","Testing depth and relevance depend on system risk and architecture.","No SSDF maturity scale is defined.","https://csrc.nist.gov/pubs/sp/800/218/final","2026-09-19"
"SSDF-16","NIST SP 800-218 SSDF","1.1 Final","Table 1 / PW.9 Configure Software to Have Secure Settings by Default","practice","software development; deployment/operations; security","Assess default configuration, deployment hardening, and documentation of security-relevant settings.","Configuration baselines; deployment templates; hardening guides; exception records.","Secure defaults are context-sensitive and do not replace operational controls.","No SSDF maturity scale is defined.","https://csrc.nist.gov/pubs/sp/800/218/final","2026-09-19"
"SSDF-17","NIST SP 800-218 SSDF","1.1 Final","Table 1 / RV.1 Identify and Confirm Vulnerabilities on an Ongoing Basis","practice","security; deployment/operations","Assess intake, validation, monitoring, and confirmation of vulnerabilities after release.","Vulnerability intake; scanner results; advisories; validation records; disclosure channels.","Finding volume alone is not a maturity or performance metric.","No SSDF maturity scale is defined.","https://csrc.nist.gov/pubs/sp/800/218/final","2026-09-19"
"SSDF-18","NIST SP 800-218 SSDF","1.1 Final","Table 1 / RV.2 Assess, Prioritize, and Remediate Vulnerabilities","practice","security; deployment/operations","Assess risk-based prioritization, remediation, verification, and exception handling.","Triage criteria; remediation records; patch/release evidence; accepted-risk records.","Elapsed time should be interpreted against severity, exposure, service constraints, and policy.","No SSDF maturity scale is defined.","https://csrc.nist.gov/pubs/sp/800/218/final","2026-09-19"
"SSDF-19","NIST SP 800-218 SSDF","1.1 Final","Table 1 / RV.3 Analyze Vulnerabilities to Identify Their Root Causes","practice","software development; security; deployment/operations","Assess whether significant vulnerabilities produce learning and preventive changes.","Root-cause reviews; recurring-defect analysis; coding/design/process changes; retrospectives.","Root-cause analysis quality requires evidence; a completed form is not proof of learning.","No SSDF maturity scale is defined.","https://csrc.nist.gov/pubs/sp/800/218/final","2026-09-19"
"CSF-01","NIST CSF","2.0 Final","Section 2 / GOVERN (GV); Appendix A GV.OC, GV.RM, GV.RR, GV.PO, GV.OV, GV.SC","cybersecurity outcome taxonomy","software development; security; deployment/operations; AI readiness","Use governance outcomes to examine mission context, risk strategy, roles, policy, oversight, and supply-chain risk around the assessed services.","Risk strategy; policy; ownership; oversight records; supplier/service governance evidence.","CSF outcomes are not a checklist and do not prescribe how outcomes must be achieved.","CSF 2.0 Tiers characterize rigor at an organizational level; do not use them as a validated service-level maturity scale.","https://csrc.nist.gov/pubs/cswp/29/the-nist-cybersecurity-framework-csf-20/final","2026-09-19"
"CSF-02","NIST CSF","2.0 Final","Appendix A / ID.AM Asset Management","cybersecurity outcome category","security; deployment/operations","Assess whether relevant data, software, services, platforms, dependencies, and suppliers are known sufficiently for risk decisions.","Asset/service inventories; dependency maps; ownership records; supplier inventories.","Inventory completeness expectations should be risk- and scope-based.","Do not infer maturity from inventory count or tool adoption.","https://csrc.nist.gov/pubs/cswp/29/the-nist-cybersecurity-framework-csf-20/final","2026-09-19"
"CSF-03","NIST CSF","2.0 Final","Appendix A / ID.RA Risk Assessment","cybersecurity outcome category","security","Assess how threats, vulnerabilities, likelihood, impact, and risk information inform priorities.","Risk assessments; threat/vulnerability inputs; decision records; accepted-risk records.","CSF provides outcomes, not a prescribed risk formula.","No validated maturity score is provided by this category.","https://csrc.nist.gov/pubs/cswp/29/the-nist-cybersecurity-framework-csf-20/final","2026-09-19"
"CSF-04","NIST CSF","2.0 Final","Appendix A / ID.IM Improvement","cybersecurity outcome category","software development; security; deployment/operations; AI readiness","Assess whether evaluations, tests, incidents, and operational feedback produce tracked improvements.","Retrospectives; corrective-action plans; assessment findings; improvement backlog; closure evidence.","Improvement activity should be tied to evidence and outcomes, not activity volume.","No validated maturity score is provided by this category.","https://csrc.nist.gov/pubs/cswp/29/the-nist-cybersecurity-framework-csf-20/final","2026-09-19"
"CSF-05","NIST CSF","2.0 Final","Appendix A / PR.AA Identity Management, Authentication, and Access Control","cybersecurity outcome category","security","Assess identity/access governance for applications, platforms, administrative paths, and supporting services.","IAM architecture; access reviews; joiner/mover/leaver evidence; privileged access records; authentication policies.","Specific technical mechanisms depend on risk and architecture.","No validated maturity score is provided by this category.","https://csrc.nist.gov/pubs/cswp/29/the-nist-cybersecurity-framework-csf-20/final","2026-09-19"
"CSF-06","NIST CSF","2.0 Final","Appendix A / PR.DS Data Security","cybersecurity outcome category","security; AI readiness","Assess protection of data consistent with confidentiality, integrity, availability, and risk requirements.","Data classifications; protection controls; key/secret handling; data lifecycle records; AI data-use controls where applicable.","Do not treat public policy statements as proof of implementation within ESS/RIS/IAM.","No validated maturity score is provided by this category.","https://csrc.nist.gov/pubs/cswp/29/the-nist-cybersecurity-framework-csf-20/final","2026-09-19"
"CSF-07","NIST CSF","2.0 Final","Appendix A / PR.PS Platform Security","cybersecurity outcome category","security; deployment/operations","Assess configuration, maintenance, software integrity, logging, and protection of platforms supporting services.","Configuration baselines; patch/change records; platform hardening; logging/monitoring evidence.","Platform outcomes do not dictate one implementation stack.","No validated maturity score is provided by this category.","https://csrc.nist.gov/pubs/cswp/29/the-nist-cybersecurity-framework-csf-20/final","2026-09-19"
"CSF-08","NIST CSF","2.0 Final","Appendix A / PR.IR Technology Infrastructure Resilience","cybersecurity outcome category","deployment/operations; security","Assess resilience expectations and protection of technology infrastructure supporting critical service delivery.","Redundancy/failover records; capacity/resilience tests; dependency diagrams; continuity evidence.","Resilience targets must be interpreted against service criticality and University requirements.","No validated maturity score is provided by this category.","https://csrc.nist.gov/pubs/cswp/29/the-nist-cybersecurity-framework-csf-20/final","2026-09-19"
"CSF-09","NIST CSF","2.0 Final","Appendix A / DE.CM Continuous Monitoring","cybersecurity outcome category","deployment/operations; security","Assess coverage and use of monitoring for assets, networks, systems, applications, personnel activity, and external service-provider activity where applicable.","Monitoring architecture; alert rules; coverage maps; telemetry retention; operational response records.","Telemetry quantity is not equivalent to monitoring effectiveness.","No validated maturity score is provided by this category.","https://csrc.nist.gov/pubs/cswp/29/the-nist-cybersecurity-framework-csf-20/final","2026-09-19"
"CSF-10","NIST CSF","2.0 Final","Appendix A / DE.AE Adverse Event Analysis","cybersecurity outcome category","deployment/operations; security","Assess whether detected events are analyzed, correlated, prioritized, and communicated for action.","Triage procedures; event records; correlation/analysis evidence; escalation decisions.","Event volume and alert closure counts need denominator/context before comparison.","No validated maturity score is provided by this category.","https://csrc.nist.gov/pubs/cswp/29/the-nist-cybersecurity-framework-csf-20/final","2026-09-19"
"CSF-11","NIST CSF","2.0 Final","Appendix A / RS.MA Incident Management","cybersecurity outcome category","deployment/operations; security","Assess incident activation, prioritization, handling, and coordination.","Incident plans; case records; severity criteria; roles; after-action records.","Incident frequency alone is not evidence of poor or strong capability.","No validated maturity score is provided by this category.","https://csrc.nist.gov/pubs/cswp/29/the-nist-cybersecurity-framework-csf-20/final","2026-09-19"
"CSF-12","NIST CSF","2.0 Final","Appendix A / RS.AN Incident Analysis","cybersecurity outcome category","deployment/operations; security","Assess analysis depth, evidence preservation, understanding of impact/root cause, and iterative response.","Investigation records; timelines; forensic/diagnostic evidence; root-cause analysis.","Depth should be risk-proportionate; not every event requires identical treatment.","No validated maturity score is provided by this category.","https://csrc.nist.gov/pubs/cswp/29/the-nist-cybersecurity-framework-csf-20/final","2026-09-19"
"CSF-13","NIST CSF","2.0 Final","Appendix A / RS.MI Incident Mitigation","cybersecurity outcome category","deployment/operations; security","Assess containment and mitigation decision-making and execution.","Containment actions; mitigation records; change approvals; validation/recovery evidence.","Specific containment techniques are architecture-dependent.","No validated maturity score is provided by this category.","https://csrc.nist.gov/pubs/cswp/29/the-nist-cybersecurity-framework-csf-20/final","2026-09-19"
"CSF-14","NIST CSF","2.0 Final","Appendix A / RC.RP Incident Recovery Plan Execution","cybersecurity outcome category","deployment/operations","Assess recovery execution, restoration priorities, validation, and return to normal operations.","Recovery plans; exercise/test results; restore logs; service validation; lessons learned.","Recovery objectives need local business/service context.","No validated maturity score is provided by this category.","https://csrc.nist.gov/pubs/cswp/29/the-nist-cybersecurity-framework-csf-20/final","2026-09-19"
"CSF-15","NIST CSF","2.0 Final","Section 3 and Appendix B / CSF Tiers","notional organizational characterization","software development; security; deployment/operations; AI readiness","Use only as optional context for conversations about organizational risk-governance rigor and consistency.","Documented governance practices; risk processes; cross-organizational consistency evidence.","Appendix B explicitly calls the Tier table a notional illustration; Tiers characterize organizational cyber risk governance and management, not the four Iowa service-area maturity levels.","Do not import Tier 1-4 as the assessment's maturity scale or as an empirical benchmark.","https://csrc.nist.gov/pubs/cswp/29/the-nist-cybersecurity-framework-csf-20/final","2026-09-19"
"AIRM-01","NIST AI RMF","1.0 Final (revision underway per NIST as of 2026-09-19)","Section 5.1 / GOVERN 1.5","AI risk-management subcategory","AI readiness","Assess whether AI risk-management processes and outcomes are periodically reviewed with defined ownership and cadence.","Review cadence; AI governance records; decisions; roles; remediation tracking.","Applies only where AI-enabled capabilities or AI use are in scope; it does not prove Iowa adoption.","AI RMF does not define a validated maturity scale.","https://www.nist.gov/itl/ai-risk-management-framework","2026-09-19"
"AIRM-02","NIST AI RMF","1.0 Final (revision underway per NIST as of 2026-09-19)","Section 5.1 / GOVERN 1.6","AI risk-management subcategory","AI readiness","Assess whether AI systems/capabilities in scope are inventoried and resourced according to risk priorities.","AI inventory; use-case register; ownership; risk classification/prioritization.","Do not infer an AI inventory exists from policy or strategy statements.","AI RMF does not define a validated maturity scale.","https://doi.org/10.6028/NIST.AI.100-1","2026-09-19"
"AIRM-03","NIST AI RMF","1.0 Final (revision underway per NIST as of 2026-09-19)","Section 5.1 / GOVERN 2.1-2.3","AI risk-management subcategories","AI readiness","Assess clarity of AI-risk roles, training, communication, and leadership responsibility for development/deployment decisions.","Role descriptions; training; approval paths; decision records; governance forums.","Responsibility evidence should be tied to actual in-scope AI use cases.","AI RMF does not define a validated maturity scale.","https://doi.org/10.6028/NIST.AI.100-1","2026-09-19"
"AIRM-04","NIST AI RMF","1.0 Final (revision underway per NIST as of 2026-09-19)","Section 5.1 / GOVERN 4.1-4.3","AI risk-management subcategories","AI readiness; software development; deployment/operations","Assess safety-first culture, risk documentation/communication, testing, incident identification, and information sharing around AI-enabled systems.","AI risk logs; testing records; incident records; development/deployment guidance; review evidence.","These are risk-management expectations, not proof that a particular AI system is trustworthy.","AI RMF does not define a validated maturity scale.","https://doi.org/10.6028/NIST.AI.100-1","2026-09-19"
"AIRM-05","NIST AI RMF","1.0 Final (revision underway per NIST as of 2026-09-19)","Section 5.2 / MAP 1.1","AI risk-management subcategory","AI readiness","Assess whether intended purpose, beneficial uses, deployment context, users, impacts, assumptions, limitations, and relevant metrics are understood/documented.","Use-case records; user/stakeholder analysis; risk/impact assessments; deployment assumptions; metrics plans.","A generic AI policy is not a substitute for use-case context.","AI RMF does not define a validated maturity scale.","https://doi.org/10.6028/NIST.AI.100-1","2026-09-19"
"AIRM-06","NIST AI RMF","1.0 Final (revision underway per NIST as of 2026-09-19)","Section 5.2 / MAP 1.6","AI risk-management subcategory","AI readiness; software development","Assess elicitation of system requirements and socio-technical implications for AI risk.","Requirements; acceptance criteria; privacy/safety/accessibility constraints; design decisions.","Requirement quality and implementation must be verified separately.","AI RMF does not define a validated maturity scale.","https://doi.org/10.6028/NIST.AI.100-1","2026-09-19"
"AIRM-07","NIST AI RMF","1.0 Final (revision underway per NIST as of 2026-09-19)","Section 5.2 / MAP 2.2-2.3","AI risk-management subcategories","AI readiness","Assess documentation of knowledge limits, human oversight, scientific integrity, data selection, and TEVV considerations.","Model/system documentation; data documentation; oversight design; TEVV plan/results.","Applicability depends on actual AI system type and lifecycle role; do not assume model development occurs inside AIS.","AI RMF does not define a validated maturity scale.","https://doi.org/10.6028/NIST.AI.100-1","2026-09-19"
"AIRM-08","NIST AI RMF","1.0 Final (revision underway per NIST as of 2026-09-19)","Section 5.2 / MAP 3.5","AI risk-management subcategory","AI readiness","Assess whether human oversight is defined, assessed, and documented in alignment with policy.","Human-in-the-loop/oversight procedures; escalation paths; override authority; training.","Do not assume human oversight is always the correct control; evaluate against use case and risk.","AI RMF does not define a validated maturity scale.","https://doi.org/10.6028/NIST.AI.100-1","2026-09-19"
"AIRM-09","NIST AI RMF","1.0 Final (revision underway per NIST as of 2026-09-19)","Section 5.2 / MAP 4","AI risk-management category","AI readiness; security","Assess risks/benefits across AI system components including third-party software and data.","Third-party/model/data inventories; contracts/terms where available; risk assessments; dependency records.","This is not procurement advice and does not establish vendor acceptability.","AI RMF does not define a validated maturity scale.","https://doi.org/10.6028/NIST.AI.100-1","2026-09-19"
"AIRM-10","NIST AI RMF","1.0 Final (revision underway per NIST as of 2026-09-19)","Section 5.3 / MEASURE 1.1-1.3","AI risk-management subcategories","AI readiness","Assess whether significant AI risks have appropriate metrics/methods, control effectiveness is reviewed, and independent/domain/user perspectives are used where appropriate.","Metric definitions; evaluation plans; assessment records; reviewer independence; stakeholder feedback.","Metrics may be unavailable for some risks; AI RMF explicitly allows documenting risks that cannot be measured.","AI RMF does not define a validated maturity scale.","https://doi.org/10.6028/NIST.AI.100-1","2026-09-19"
"AIRM-11","NIST AI RMF","1.0 Final (revision underway per NIST as of 2026-09-19)","Section 5.3 / MEASURE 2.1, 2.3, 2.4, 2.7","AI risk-management subcategories","AI readiness; deployment/operations; security","Assess documented TEVV, deployment-like evaluation, production monitoring, and security/resilience evaluation for AI-enabled capabilities.","Test sets/metrics/tools; predeployment evaluation; production monitoring; security/resilience testing.","Evaluation evidence must be interpreted for the actual use and deployment context.","AI RMF does not define a validated maturity scale.","https://doi.org/10.6028/NIST.AI.100-1","2026-09-19"
"AIRM-12","NIST AI RMF","1.0 Final (revision underway per NIST as of 2026-09-19)","Section 5.3 / MEASURE 3.1-3.3","AI risk-management subcategories","AI readiness; deployment/operations","Assess tracking of known, emergent, and hard-to-measure risks plus user/impacted-community feedback mechanisms.","Risk register history; monitoring; issue/appeal channels; feedback integration; reevaluation triggers.","Do not treat complaint volume as a quality metric without context and denominators.","AI RMF does not define a validated maturity scale.","https://doi.org/10.6028/NIST.AI.100-1","2026-09-19"
"AIRM-13","NIST AI RMF","1.0 Final (revision underway per NIST as of 2026-09-19)","Section 5.4 / MANAGE 1.1-1.4","AI risk-management subcategories","AI readiness","Assess go/no-go or continue/deploy decisions, risk prioritization, response planning, and residual-risk documentation.","Decision records; risk treatment plans; accepted residual risks; approval authority.","The framework does not prescribe a single approval threshold or risk formula.","AI RMF does not define a validated maturity scale.","https://doi.org/10.6028/NIST.AI.100-1","2026-09-19"
"AIRM-14","NIST AI RMF","1.0 Final (revision underway per NIST as of 2026-09-19)","Section 5.4 / MANAGE 2.3-2.4","AI risk-management subcategories","AI readiness; deployment/operations","Assess response/recovery from previously unknown AI risks and mechanisms to supersede, disengage, or deactivate systems inconsistent with intended use.","Fallback/deactivation procedures; incident records; kill/disable paths; change records.","Applicability depends on system criticality and architecture.","AI RMF does not define a validated maturity scale.","https://doi.org/10.6028/NIST.AI.100-1","2026-09-19"
"AIRM-15","NIST AI RMF","1.0 Final (revision underway per NIST as of 2026-09-19)","Section 5.4 / MANAGE 3.1-3.2","AI risk-management subcategories","AI readiness; security; deployment/operations","Assess monitoring and control of third-party AI resources and pre-trained models used in development.","Model/provider inventories; update monitoring; dependency/change records; risk controls.","Do not infer third-party model use or architecture without evidence.","AI RMF does not define a validated maturity scale.","https://doi.org/10.6028/NIST.AI.100-1","2026-09-19"
"AIRM-16","NIST AI RMF","1.0 Final (revision underway per NIST as of 2026-09-19)","Section 5.4 / MANAGE 4.1-4.3","AI risk-management subcategories","AI readiness; deployment/operations","Assess post-deployment monitoring, continual improvement, incident/error communication, response, recovery, and change management.","Monitoring plans; user feedback; incident records; change history; recovery actions; communications.","Monitoring design must fit the AI use case; generic operational monitoring may be insufficient or excessive.","AI RMF does not define a validated maturity scale.","https://doi.org/10.6028/NIST.AI.100-1","2026-09-19"
"AIRM-17","NIST AI RMF","1.0 Final (revision underway per NIST as of 2026-09-19)","Section 6 / AI RMF Profiles","current/target profile mechanism","AI readiness","Use Current and Target Profiles only as a structured way to describe present and desired risk-management outcomes for a specific context.","Current-state evidence; target outcomes; gap/action plan; prioritization rationale.","Profiles are contextual implementations/descriptions; they are not a universal maturity ladder or empirical benchmark.","Do not label profile gaps as NIST maturity scores.","https://doi.org/10.6028/NIST.AI.100-1","2026-09-19"
