lane,cwd_independence,from_lane_exit,from_root_exit,state_leakage,files_written_outside_lane,top_level_modules,colliding_modules
uiowa_rfq_18649_milestone_packets,PASS,0,0,PASS,none,completeness; milestone_packets; packets; resolve; schedule; schema,schema
uiowa_rfq_18649_mobilization,NO_SUITE,UNKNOWN,UNKNOWN,NO_SUITE,none,none,none
uiowa_rfq_18649_observability,PASS,0,0,PASS,none,observability,none
uiowa_rfq_18649_operator_handoff,PASS,0,0,PASS,none,command_index; render_guide; verify_kit,none
uiowa_rfq_18649_outcome_measurement,PASS,0,0,PASS,none,analyze,analyze
uiowa_rfq_18649_output_agreement,PASS,0,0,PASS,none,make_bundle; output_agreement,none
uiowa_rfq_18649_print_pagination,PASS,0,0,PASS,none,printreport,none
uiowa_rfq_18649_prioritization,PASS,0,0,PASS,none,prioritize,none
uiowa_rfq_18649_qa_refusal_contract,PASS,0,0,PASS,none,cli; index; qa; uncertainty,cli
uiowa_rfq_18649_question_cards,PASS,0,0,PASS,none,question_cards,none
uiowa_rfq_18649_rating_model,PASS,0,0,PASS,none,rating_model,none
uiowa_rfq_18649_readout_deck,PASS,0,0,PASS,none,deck_architecture,none
uiowa_rfq_18649_recovery_evidence,PASS,0,0,PASS,none,assess_recovery; recovery_evidence,none
uiowa_rfq_18649_release_provenance,PASS,0,0,PASS,none,make_fixtures; provenance,make_fixtures
uiowa_rfq_18649_release_recovery_case,PASS,0,0,PASS,none,make_fixtures; release_recovery_case,make_fixtures
uiowa_rfq_18649_report_structure,PASS,0,0,PASS,none,report_structure; scope_guard,none
uiowa_rfq_18649_report_visuals,PASS,0,0,PASS,none,alt_text; contrast; figures; model; monochrome; palette; render_report_visuals; svg,model
uiowa_rfq_18649_roadmap_coherence,PASS,0,0,PASS,none,roadmap_coherence,none
uiowa_rfq_18649_roadmap_dependencies,PASS,0,0,PASS,none,depcheck,none
uiowa_rfq_18649_run_sweep,PASS,0,0,PASS,none,run_sweep,none
uiowa_rfq_18649_scope_change,PASS,0,0,PASS,none,scope_change,none
uiowa_rfq_18649_secure_guidance,PASS,0,0,PASS,none,assess_guidance,none
uiowa_rfq_18649_security_event_review,PASS,0,0,PASS,none,assess_security_events,none
uiowa_rfq_18649_synthetic_collection,PASS,0,0,PASS,none,validate_collection,none
uiowa_rfq_18649_test_data_readiness,PASS,0,0,PASS,none,none,none
uiowa_rfq_18649_test_proof_audit,PASS,0,0,PASS,none,testproof,none
uiowa_rfq_18649_traceability,PASS,0,0,PASS,none,audit_assertions; audit_self_sealing; schema; trace_check,schema
uiowa_rfq_18649_traceability_rehearsal,NO_SUITE,UNKNOWN,UNKNOWN,NO_SUITE,none,validate_trace,none
uiowa_rfq_18649_uncertainty_lint,PASS,0,0,PASS,none,cli; lint,cli
uiowa_rfq_18649_unknown_propagation,PASS,0,0,PASS,none,scan_unknowns,none
uiowa_rfq_18649_vocabulary_crosswalk,PASS,0,0,PASS,none,join_safety; reconcile; scan_vocabulary,none
uiowa_rfq_18649_workbench,PASS,0,0,PASS,none,browser_acceptance; server,none
uiowa_rfq_18649_workshare,PASS,0,0,PASS,none,authority_test_helpers; authority_tests; authority_tests_core; authority_tests_verification; compiler; filesystem_tests; filesystem_tests_cli; filesystem_tests_io; workshare_assessment; workshare_authority; workshare_candidate; workshare_compile; workshare_constants; workshare_contract; workshare_core; workshare_engine; workshare_io; workshare_read; workshare_render; workshare_verify; workshare_write,none
