sample_id,coa_id,coa_revision,jurisdiction,license_id,matrix,collection_events,rule_pack_version,rule_pack_expires_at,requested_analyte_panel,method_version,loq,reporting_limit,accreditation_scope,signer_name,signer_scope
SC-CA-S013,SC-CA-COA-013,1,CA,SC-CA-LIC-02,FLOWER,"[{""at"":""2026-08-14T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-14T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-14T12:00:00Z"",""event"":""RECEIVED""}]",CA-RULES-2026.09,2027-09-01T00:00:00Z,CA-FLOWER-COMPLIANCE,CA-METHOD-4.2,0.5,1.0,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]",SC Reviewer CA,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]"
SC-CA-S014,SC-CA-COA-014,1,CA,SC-CA-LIC-03,FLOWER,"[{""at"":""2026-08-15T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-15T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-15T12:00:00Z"",""event"":""RECEIVED""}]",CA-RULES-2026.09,2027-09-01T00:00:00Z,CA-FLOWER-COMPLIANCE,CA-METHOD-4.2,0.5,1.0,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]",SC Reviewer CA,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]"
SC-CA-S015,SC-CA-COA-015,1,CA,SC-CA-LIC-04,FLOWER,"[{""at"":""2026-08-16T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-16T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-16T12:00:00Z"",""event"":""RECEIVED""}]",CA-RULES-2026.09,2027-09-01T00:00:00Z,CA-FLOWER-COMPLIANCE,CA-METHOD-4.2,0.5,1.0,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]",SC Reviewer CA,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]"
SC-CA-S016,SC-CA-COA-016,1,CA,SC-CA-LIC-01,FLOWER,"[{""at"":""2026-08-17T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-17T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-17T12:00:00Z"",""event"":""RECEIVED""}]",CA-RULES-2026.09,2027-09-01T00:00:00Z,CA-FLOWER-COMPLIANCE,CA-METHOD-4.2,0.5,1.0,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]",SC Reviewer CA,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]"
SC-CA-S017,SC-CA-COA-017,1,CA,SC-CA-LIC-02,FLOWER,"[{""at"":""2026-08-18T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-18T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-18T12:00:00Z"",""event"":""RECEIVED""}]",CA-RULES-2026.09,2027-09-01T00:00:00Z,CA-FLOWER-COMPLIANCE,CA-METHOD-4.2,0.5,1.0,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]",SC Reviewer CA,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]"
SC-CA-S018,SC-CA-COA-018,1,CA,SC-CA-LIC-03,FLOWER,"[{""at"":""2026-08-19T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-19T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-19T12:00:00Z"",""event"":""RECEIVED""}]",CA-RULES-2026.09,2027-09-01T00:00:00Z,CA-FLOWER-COMPLIANCE,CA-METHOD-4.2,0.5,1.0,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]",SC Reviewer CA,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]"
SC-CA-S019,SC-CA-COA-019,1,CA,SC-CA-LIC-04,FLOWER,"[{""at"":""2026-08-20T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-20T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-20T12:00:00Z"",""event"":""RECEIVED""}]",CA-RULES-2026.09,2027-09-01T00:00:00Z,CA-FLOWER-COMPLIANCE,CA-METHOD-4.2,0.5,1.0,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]",SC Reviewer CA,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]"
SC-CA-S020,SC-CA-COA-020,1,CA,SC-CA-LIC-01,FLOWER,"[{""at"":""2026-08-01T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-01T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-01T12:00:00Z"",""event"":""RECEIVED""}]",CA-RULES-2026.09,2027-09-01T00:00:00Z,CA-FLOWER-COMPLIANCE,CA-METHOD-4.2,0.5,1.0,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]",SC Reviewer CA,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]"
SC-CA-S021,SC-CA-COA-021,1,CA,SC-CA-LIC-02,FLOWER,"[{""at"":""2026-08-02T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-02T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-02T12:00:00Z"",""event"":""RECEIVED""}]",CA-RULES-2026.09,2027-09-01T00:00:00Z,CA-FLOWER-COMPLIANCE,CA-METHOD-4.2,0.5,1.0,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]",SC Reviewer CA,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]"
SC-CA-S022,SC-CA-COA-022,1,CA,SC-CA-LIC-03,FLOWER,"[{""at"":""2026-08-03T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-03T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-03T12:00:00Z"",""event"":""RECEIVED""}]",CA-RULES-2026.09,2027-09-01T00:00:00Z,CA-FLOWER-COMPLIANCE,CA-METHOD-4.2,0.5,1.0,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]",SC Reviewer CA,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]"
SC-CA-S023,SC-CA-COA-023,1,CA,SC-CA-LIC-04,FLOWER,"[{""at"":""2026-08-04T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-04T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-04T12:00:00Z"",""event"":""RECEIVED""}]",CA-RULES-2026.09,2027-09-01T00:00:00Z,CA-FLOWER-COMPLIANCE,CA-METHOD-4.2,0.5,1.0,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]",SC Reviewer CA,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]"
SC-CA-S024,SC-CA-COA-024,1,CA,SC-CA-LIC-01,FLOWER,"[{""at"":""2026-08-05T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-05T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-05T12:00:00Z"",""event"":""RECEIVED""}]",CA-RULES-2026.09,2027-09-01T00:00:00Z,CA-FLOWER-COMPLIANCE,CA-METHOD-4.2,0.5,1.0,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]",SC Reviewer CA,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]"
SC-CA-S025,SC-CA-COA-025,1,CA,SC-CA-LIC-02,FLOWER,"[{""at"":""2026-08-06T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-06T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-06T12:00:00Z"",""event"":""RECEIVED""}]",CA-RULES-2025.01,2026-01-01T00:00:00Z,CA-FLOWER-COMPLIANCE,CA-METHOD-4.2,0.5,1.0,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]",SC Reviewer CA,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]"
SC-CA-S026,SC-CA-COA-026,1,CA,SC-CA-LIC-03,FLOWER,"[{""at"":""2026-08-07T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-07T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-07T12:00:00Z"",""event"":""RECEIVED""}]",CA-RULES-2026.09,2027-09-01T00:00:00Z,OTHER-JURISDICTION-PANEL,CA-METHOD-4.2,0.5,1.0,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]",SC Reviewer CA,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]"
SC-CA-S027,SC-CA-COA-027,1,CA,SC-CA-LIC-04,FLOWER,"[{""at"":""2026-08-08T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-08T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-08T12:00:00Z"",""event"":""RECEIVED""}]",CA-RULES-2026.09,2027-09-01T00:00:00Z,CA-FLOWER-COMPLIANCE,CA-METHOD-4.2,2.0,1.0,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]",SC Reviewer CA,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]"
SC-CA-S028,SC-CA-COA-028,1,CA,SC-CA-LIC-01,FLOWER,"[{""at"":""2026-08-09T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-09T10:00:00Z"",""event"":""TRANSFERRED""}]",CA-RULES-2026.09,2027-09-01T00:00:00Z,CA-FLOWER-COMPLIANCE,CA-METHOD-4.2,0.5,1.0,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]",SC Reviewer CA,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]"
SC-CA-S001,SC-CA-COA-001,1,CA,SC-CA-LIC-02,FLOWER,"[{""at"":""2026-08-10T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-10T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-10T12:00:00Z"",""event"":""RECEIVED""}]",CA-RULES-2026.09,2027-09-01T00:00:00Z,CA-FLOWER-COMPLIANCE,CA-METHOD-4.2,0.5,1.0,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]",SC Reviewer CA,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]"
SC-CA-S030,SC-CA-COA-030,1,CA,SC-CA-LIC-03,FLOWER,"[{""at"":""2026-08-11T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-11T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-11T12:00:00Z"",""event"":""RECEIVED""}]",CA-RULES-2026.09,2027-09-01T00:00:00Z,CA-FLOWER-COMPLIANCE,CA-METHOD-4.2,0.5,1.0,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]",SC Reviewer CA,"[""OUT-OF-SCOPE""]"
SC-CO-S001,SC-CO-COA-001,1,CO,SC-CO-LIC-02,FLOWER,"[{""at"":""2026-08-12T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-12T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-12T12:00:00Z"",""event"":""RECEIVED""}]",CO-RULES-2026.09,2027-09-01T00:00:00Z,CO-REGULATED-MARIJUANA,CO-METHOD-3.8,0.5,1.0,"[""CO:FLOWER:CO-REGULATED-MARIJUANA:CO-METHOD-3.8""]",SC Reviewer CO,"[""CO:FLOWER:CO-REGULATED-MARIJUANA:CO-METHOD-3.8""]"
SC-CO-S002,SC-CO-COA-002,1,CO,SC-CO-LIC-03,FLOWER,"[{""at"":""2026-08-13T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-13T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-13T12:00:00Z"",""event"":""RECEIVED""}]",CO-RULES-2026.09,2027-09-01T00:00:00Z,CO-REGULATED-MARIJUANA,CO-METHOD-3.8,0.5,1.0,"[""CO:FLOWER:CO-REGULATED-MARIJUANA:CO-METHOD-3.8""]",SC Reviewer CO,"[""CO:FLOWER:CO-REGULATED-MARIJUANA:CO-METHOD-3.8""]"
SC-CO-S003,SC-CO-COA-003,1,CO,SC-CO-LIC-04,FLOWER,"[{""at"":""2026-08-14T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-14T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-14T12:00:00Z"",""event"":""RECEIVED""}]",CO-RULES-2026.09,2027-09-01T00:00:00Z,CO-REGULATED-MARIJUANA,CO-METHOD-3.8,0.5,1.0,"[""CO:FLOWER:CO-REGULATED-MARIJUANA:CO-METHOD-3.8""]",SC Reviewer CO,"[""CO:FLOWER:CO-REGULATED-MARIJUANA:CO-METHOD-3.8""]"
SC-CO-S004,SC-CO-COA-004,1,CO,SC-CO-LIC-01,FLOWER,"[{""at"":""2026-08-15T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-15T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-15T12:00:00Z"",""event"":""RECEIVED""}]",CO-RULES-2026.09,2027-09-01T00:00:00Z,CO-REGULATED-MARIJUANA,CO-METHOD-3.8,0.5,1.0,"[""CO:FLOWER:CO-REGULATED-MARIJUANA:CO-METHOD-3.8""]",SC Reviewer CO,"[""CO:FLOWER:CO-REGULATED-MARIJUANA:CO-METHOD-3.8""]"
SC-CO-S005,SC-CO-COA-005,1,CO,SC-CO-LIC-02,FLOWER,"[{""at"":""2026-08-16T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-16T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-16T12:00:00Z"",""event"":""RECEIVED""}]",CO-RULES-2026.09,2027-09-01T00:00:00Z,CO-REGULATED-MARIJUANA,CO-METHOD-3.8,0.5,1.0,"[""CO:FLOWER:CO-REGULATED-MARIJUANA:CO-METHOD-3.8""]",SC Reviewer CO,"[""CO:FLOWER:CO-REGULATED-MARIJUANA:CO-METHOD-3.8""]"
SC-CO-S006,SC-CO-COA-006,1,CO,SC-CO-LIC-03,FLOWER,"[{""at"":""2026-08-17T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-17T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-17T12:00:00Z"",""event"":""RECEIVED""}]",CO-RULES-2026.09,2027-09-01T00:00:00Z,CO-REGULATED-MARIJUANA,CO-METHOD-3.8,0.5,1.0,"[""CO:FLOWER:CO-REGULATED-MARIJUANA:CO-METHOD-3.8""]",SC Reviewer CO,"[""CO:FLOWER:CO-REGULATED-MARIJUANA:CO-METHOD-3.8""]"
SC-CO-S007,SC-CO-COA-007,1,CO,SC-CO-LIC-04,FLOWER,"[{""at"":""2026-08-18T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-18T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-18T12:00:00Z"",""event"":""RECEIVED""}]",CO-RULES-2026.09,2027-09-01T00:00:00Z,CO-REGULATED-MARIJUANA,CO-METHOD-3.8,0.5,1.0,"[""CO:FLOWER:CO-REGULATED-MARIJUANA:CO-METHOD-3.8""]",SC Reviewer CO,"[""CO:FLOWER:CO-REGULATED-MARIJUANA:CO-METHOD-3.8""]"
SC-CO-S008,SC-CO-COA-008,1,CO,SC-CO-LIC-01,FLOWER,"[{""at"":""2026-08-19T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-19T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-19T12:00:00Z"",""event"":""RECEIVED""}]",CO-RULES-2026.09,2027-09-01T00:00:00Z,CO-REGULATED-MARIJUANA,CO-METHOD-3.8,0.5,1.0,"[""CO:FLOWER:CO-REGULATED-MARIJUANA:CO-METHOD-3.8""]",SC Reviewer CO,"[""CO:FLOWER:CO-REGULATED-MARIJUANA:CO-METHOD-3.8""]"
SC-CO-S009,SC-CO-COA-009,1,CO,SC-CO-LIC-02,FLOWER,"[{""at"":""2026-08-20T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-20T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-20T12:00:00Z"",""event"":""RECEIVED""}]",CO-RULES-2026.09,2027-09-01T00:00:00Z,CO-REGULATED-MARIJUANA,CO-METHOD-3.8,0.5,1.0,"[""CO:FLOWER:CO-REGULATED-MARIJUANA:CO-METHOD-3.8""]",SC Reviewer CO,"[""CO:FLOWER:CO-REGULATED-MARIJUANA:CO-METHOD-3.8""]"
SC-CO-S010,SC-CO-COA-010,1,CO,SC-CO-LIC-03,FLOWER,"[{""at"":""2026-08-01T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-01T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-01T12:00:00Z"",""event"":""RECEIVED""}]",CO-RULES-2026.09,2027-09-01T00:00:00Z,CO-REGULATED-MARIJUANA,CO-METHOD-3.8,0.5,1.0,"[""CO:FLOWER:CO-REGULATED-MARIJUANA:CO-METHOD-3.8""]",SC Reviewer CO,"[""CO:FLOWER:CO-REGULATED-MARIJUANA:CO-METHOD-3.8""]"
SC-CO-S011,SC-CO-COA-011,1,CO,SC-CO-LIC-04,FLOWER,"[{""at"":""2026-08-02T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-02T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-02T12:00:00Z"",""event"":""RECEIVED""}]",CO-RULES-2026.09,2027-09-01T00:00:00Z,CO-REGULATED-MARIJUANA,CO-METHOD-3.8,0.5,1.0,"[""CO:FLOWER:CO-REGULATED-MARIJUANA:CO-METHOD-3.8""]",SC Reviewer CO,"[""CO:FLOWER:CO-REGULATED-MARIJUANA:CO-METHOD-3.8""]"
SC-CO-S012,SC-CO-COA-012,1,CO,SC-CO-LIC-01,FLOWER,"[{""at"":""2026-08-03T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-03T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-03T12:00:00Z"",""event"":""RECEIVED""}]",CO-RULES-2026.09,2027-09-01T00:00:00Z,CO-REGULATED-MARIJUANA,CO-METHOD-3.8,0.5,1.0,"[""CO:FLOWER:CO-REGULATED-MARIJUANA:CO-METHOD-3.8""]",SC Reviewer CO,"[""CO:FLOWER:CO-REGULATED-MARIJUANA:CO-METHOD-3.8""]"
SC-CO-S013,SC-CO-COA-013,1,CO,SC-CO-LIC-02,FLOWER,"[{""at"":""2026-08-04T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-04T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-04T12:00:00Z"",""event"":""RECEIVED""}]",CO-RULES-2026.09,2027-09-01T00:00:00Z,CO-REGULATED-MARIJUANA,CO-METHOD-3.8,0.5,1.0,"[""CO:FLOWER:CO-REGULATED-MARIJUANA:CO-METHOD-3.8""]",SC Reviewer CO,"[""CO:FLOWER:CO-REGULATED-MARIJUANA:CO-METHOD-3.8""]"
