profile,opponent,seed,seat,mode,score_0,score_1,margin,steps,native_completed,unit_projection_checks,actions_sha256,observations_sha256,terminal_sha256
orchard,native,101,0,normal,37267.0,126107.0,-88840.0,719,719,4206,eda3a4a6cbc917c08565e9f1fed7c5fed09634ba4a60424f6ae0c5b0a9704508,d7adb146dbfef4038e9e6a66562d686697b14f670712efed2af8f00833e0eb91,c2d68f521958ec37b160c6e228a16dcf75cf8b9487091038a0f2ba1a9449e885
orchard,native,101,1,normal,126107.0,37267.0,-88840.0,719,719,4206,c4d4986a3be0e3290d824e80265015f48c33cf05e4b84cb49bdd642b09a357a4,b998cd07c60cf716143df62cd639318a5025fa694a70e8047bbb6aee0d3334be,516929f604f82755338fabce2783b40f171ee231fde309db0c341bdb1fd3fb2c
orchard,native,2027,0,normal,45083.0,117188.0,-72105.0,719,719,4204,cfcbf5b3ed35dc212f091b12dab0f5aff05a200255fa6917b8614bd7caf7a1b8,901f9e6454c5ee3d26af769047ab72c561ef14b1fc2dc2cb4585d79abea21c6b,d9f4f1ff96a66138385f6e281e587dfb6ee5ac35b0a16dff5a78c805c9c65b62
orchard,native,2027,1,normal,117188.0,45083.0,-72105.0,719,719,4204,053f4fce9a81e8014dca74acbc8c0611879848b230b4339a886d7d3bcdfd5ffe,d43397b0c8aa27dd36d4861e078ae3a945e3b1ce7cdbf6b9eae792e98abb7d49,aa93f56bd96f8a1733a031a176bc2c296541aa80a6cecea68c7da94c25c82bcd
fiber,native,101,0,normal,10098.0,147476.0,-137378.0,719,719,4416,00cf2a27acc9b184dd76ba85aa0cb0cb8029a7b1f9c15f7e36835903bc6dff3d,985796c87b05c69f6c3703d7594e30252539a8b191bca345652370bdc409ddbe,64ac0919b785d2121408e8ed3bb76d5cf15deabceb408a3673db7bdd574d9823
fiber,native,101,1,normal,147476.0,10098.0,-137378.0,719,719,4416,5eef3ec0193c24f6bc321ee902d562cbb0a8b53a075c0fdb54de879740647ac0,742867d8a532206a7965a67cb1587eea20489360fd68a6addf4d406c95edccaf,80a5ed5e6f01c8262956e09810daa8ee21930c9af1bc3e74e27b9ca438944bfe
fiber,native,2027,0,normal,653.0,138949.0,-138296.0,719,719,4416,01a8ed5b7bc966b01ebce49527169810440296ed3c3ab099ed234c2f370c8301,fd1045c9bf1fe4af2def5376aef34deec292da801c1dbb5b4d0cb406ff8dd180,efcccc4b7993052f22e4d76566ba31335fcbbd15f8c4448e78136c7ba0d3ac28
fiber,native,2027,1,normal,138949.0,653.0,-138296.0,719,719,4416,7bcca498f273ca7dedb6884f3c237b5e8394b996cd4357bfef06d3fb1250f1be,3661c2fcf6256516bc96bbb5031c9067b003708d43cdf532f570703ed4af45e7,f5a0c7c0f0acea54d2d30b8efb714a82edc2f376a370304382c15a4b1df74ae7
poultry,native,101,0,normal,29175.0,134829.0,-105654.0,719,719,5077,3f50d04a1b4c1acb501465d3458baf581a382078ae67168786be5236337d8933,a6658bcf810260797fdefa53758f0daee5ca4c231df344e45375551ac7b09f80,493d3a49ec56502914cc5723571e494986071f153a5e8046b1eedf44ee6e888f
poultry,native,101,1,normal,134829.0,29175.0,-105654.0,719,719,5077,e844973d09156787a6c349e44ab534801c871d84f2f45f032fcb677747b9fdd9,92537538f6be84ea96dd8c8e4b4565aeee30c9f28ee051dd6ddb1874e00734ac,2a4289d542e312a67ae8c126c6fac13b1d4d1de5d334e03835a669386f017577
poultry,native,2027,0,normal,29283.0,184884.0,-155601.0,719,719,5082,c6795f8ed33d4754bd5a3bfc09c03b224129277a55be2da757c240899e57c0b7,bd6fcfe9bd14f865c0f33701ad3bb2431a1ea5f88fd7a84833633be68a36a181,75fc4ef05c933943f6a2b4a5ee615105d047e50a2c154ba1d9d7b7f1b556da63
poultry,native,2027,1,normal,184884.0,29283.0,-155601.0,719,719,5082,71220139ac533d3985afbf8b92614ae79a405650e22c36e891b62ff1c9067917,9a319e2ecaf7ffa09be91790d0bffdfadbcecc33024a49d78aa1f08d57ab163e,80a997e53e1278657de05acf5f52974aea5015c3b3b1f9bf220ebd68b79dc999
dairy,native,101,0,normal,495.0,94538.0,-94043.0,719,719,4895,646d0d7ac0cde6256bd52f09504e28b04596a7440a98cba60a5cd66f17ce8444,e98fdd8e3dc1c0ca4072f2847caaef79917b77b4398a530df33b92de47860f12,28f65b247179c80fae2222a5e4e0639a96d89f47ff41be0a2de6e351ea4e7628
dairy,native,101,1,normal,94538.0,495.0,-94043.0,719,719,4895,754ec62f1ce1e0ed407545abb95a01d57853ee2b3576137e3fbad9b77087576f,4769c2b7c71f6d92aeba6803e8536d287aadb00d35a242490ff04d79bc93a2e7,c4e1227903420fb32762171da9b0805794f5719080b294b536946fa0c2557e12
dairy,native,2027,0,normal,1161.0,113141.0,-111980.0,719,719,4876,c8acc8586a69caf145ca3ce8d3380e218ca2de4eb467dabd059d4ab0351f7fbc,7598d65f800de97c8308ed9bf2125e1f58f5ec2fff49385f9f28a817ef45aec8,8755f67f82d51917bde76b47d51fa29656a2a34b158096c4c66a94352afe3b3e
dairy,native,2027,1,normal,113141.0,1161.0,-111980.0,719,719,4876,dd5ef4109d8c28c11a7c0c8c56533767ac770e8cf644d92384ec9764fd0d1039,2eb34ba96d60c23320b5e47ad6398f251b190583560e5908a3d8b9259956e5c5,879fafa94fd66752e46ad49684cd9cb988615f02a1afa5712732477dd451c039
roots,native,101,0,normal,14563.0,154486.0,-139923.0,719,719,2718,8b889ab8686f7e17da93fa2caf5b098bda589b343e9c9afc48f03a0c1ec80c96,217d5fbde4987886be512a0d4d4531322e94864b41295744be7c9a90372c5fb1,1552d466499d8606b37a419883fa44a769433f860f3c814ddcd46cd078b73e3f
roots,native,101,1,normal,154486.0,14563.0,-139923.0,719,719,2718,140a084777273ee0926c73e77125eed1055077f84291b7efe99f59f3c95bbf8b,9f45c52e2479c72097571b165dc57e704d6044115e46242d646e072742c43ba5,27941d82d8b0ccb2d93998f1fb5b245d854b985a82f82c89665d214aabec22de
roots,native,2027,0,normal,19426.0,158236.0,-138810.0,719,719,2810,e6dcba414c5300bb886b2a4347422b0b3f1bc722dd0754af5e0db63352616b47,fa931e6ac79a91a1a9d6ec29bc874673254ac983ee09141bd05c9fa422e5c1bb,50edd841c1ab71b33aab07108a912c13e427cbcdd3bd9097c0c62f49507ba80f
roots,native,2027,1,normal,158236.0,19426.0,-138810.0,719,719,2810,2d350e7300da5bbae6fb3bc53cfd5f54541575f7cc2830cd6043d4f4d35bea33,24ae5db0f1b600c8f218f3b37742e2b161a4be456a3a7a5073ec10e19b3c4b24,e3fb051ec767dd67eafa23ba279ed082dbc376df01eaf2878584c54ff3a1dbcc
orchard,native,17,0,optimized,40995.0,109295.0,-68300.0,719,719,4271,f11a6f19f9e9667d50188eeb870446e51ecd775325cd36e8f22899e3eda7657c,413cec07927012add9551381df59af46dc49f6aee4268f299d2f1fff27854c1e,229d06a4598a189fd915fe3cb81b8f0a5e34f486a4f8c6d4fb464bba5ff19944
orchard,native,17,1,optimized,109295.0,40995.0,-68300.0,719,719,4271,e361481873746a49e87cd72b489de3e11d97b9c5590afe328e87dcb020d53117,cb30ac5a21dbe363a32165c4135fd4a724df6667feaf88c9e1e2814d168e7352,32f607954573e83814552af93142e24bee093b40d4b7cd67430bff9d8b48e204
dairy,starter,17,0,normal,11605.0,3284.0,8321.0,719,0,4851,b55a8076f4d19aaf21cfd893426592afd48dd776df28b63e47b260820149a2d3,6e6708c0e7b1555dfa4c14042e097c50b8637a8b0d0daaf72e822cc8175c33db,de55cbe698d1062b77d63ed862889095905dc497df0669ed66627be8a2a243ad
dairy,starter,17,1,normal,3375.0,18474.0,15099.0,719,0,4852,a532acf4f26fafe2b5011c99f489839bb9291524b8f89040028043a9e6bf0144,165b3166641b13a60e2638757dd12fc1de4ff59fb1ff178b4c140fe893b794c3,40d31d686055b79cde322c2a6a345ea6b93d2dadec39910af53d5212e31e8941
dairy,starter,101,0,normal,22424.0,3806.0,18618.0,719,0,4874,41eecc0b82dae47e06582a8c02ed9a8aedcf3167b0da44116fdd5ebd3d51f75b,a646fa3dda6771c6674b201d9ab8de8cee6dea28bad2f5d40217c611ba5095ee,2c5ebffd3e196c9cc48085b03bc78c883f84faac0c0af6ab73f6a254deaac463
dairy,starter,101,1,normal,3685.0,20675.0,16990.0,719,0,4852,e24750b09548983b76d7aeb50e784908921a964c2f3db7ac07473eaf61feb69b,7cbccff3f96022efa5ecb7b3a675757e2ab4a87174d8869e4f4d6d6821b56a8d,8def9d7319cd4e997cf9dc75568f02620abecbec7cfe7dfd2af7fb38ed950d90
poultry,starter,17,0,normal,37674.0,3431.0,34243.0,719,0,5173,0ceacc87ce5b7ac2eaba1d684bd23ef02ad96feb289c7ce6906e7e631937e06d,399ed4019c1563b706bd410691a5363a0e9b41619001a19ea25a74c0ceeb0035,0fc9247ff1f17c8460ad25607d5309454c31be752591aa76ecdefe97028e2c72
poultry,starter,17,1,normal,3561.0,37118.0,33557.0,719,0,5174,e770b26fa1fc4da07872f861eb0ea83f4c95de45f88521aeda4d634516a183b0,b5ea7609169b140d7c19e85e2ac577ec2182b38a08a85a95329bd4cc5f736198,b715561eaa5b88e0d2ff32911c83b81306b5927a86c090b3545f9c3570fe0bc0
poultry,starter,101,0,normal,36206.0,3560.0,32646.0,719,0,5174,87e21f5b95078237ccc7db6ed7cf5d2696dd6bf9bb2814b51e3171bf32e4d165,9ab69f23bfc135641ff0f309711df643e0c5aaba429788195dfcbf66484ac82d,e3ef96b2b3cd14538c4ead7cf5acf7b4230d6b7c377e303324e68f2027491375
poultry,starter,101,1,normal,3482.0,36962.0,33480.0,719,0,5174,de9f703d73d8787982ff27db1160c8a4a99569adb02bef86a3b1075e975ccf57,7dd2120be017ee2ae2d85f1e6768c2c489c836d7c1455b5424accc4bba26a296,a8c0dade9e1316c636140515402481f905f315cdf638bc502b5b1c64cbeeff77
fiber,starter,17,0,normal,61624.0,3476.0,58148.0,719,0,4416,ccc832aed5858ae500c50c81ad3f5ecedc8a4ba32fff56401fdccda3c3acfaee,9e0dad6000045033cb8b34c43d1868442f9e0d987b6498e02a1466d700e3a7c4,27d7998890ee89ba010f99f20fa173a0706fd82435b5d0ebbf578ec3b4f8120b
fiber,starter,17,1,normal,3293.0,98845.0,95552.0,719,0,4416,50ef24099684182f1ca1ff20c4a7349f7c302fa61a737342d63293ecafac594b,c14d8c89d6863ce982b49e86ecd3623b13a16697742309a9f4262bd9c170c640,d7cf31db935d30f3beac8434b7d1d712b963964a6b1e53568f9d3f4620ee384f
fiber,starter,101,0,normal,105117.0,3523.0,101594.0,719,0,4416,6e95b873fa449dba898e16f28c2d2552422b1b7f5bb12174d0a8c29085d6c1d8,17f9ab7a0aeb11569a1241477563c452160978ee8ea72a1a9f4972ba6ff629b5,cd7d031100aff5d472b150c93b2514ee8833f411dd1291edf6d997ca6d5be802
fiber,starter,101,1,normal,3390.0,103412.0,100022.0,719,0,4416,bed8ccdfccae801a5255ff1424c4e998659bbc9c4016cae542b80171e8799dea,c60d3f9905b78ece8d87fccafaa43ac3bf89681d26d5d94ef9af13c0293dbac4,0e7b461f90a985828d0cb5fc290573b77ae3ad3b32da14db5da7d783f2dfbf3c
roots,starter,17,0,normal,19081.0,3516.0,15565.0,719,0,2764,82fccbe1539f35d1ea5896ce9d31f4446a280799311e2f31c9572b1a50de6ec5,bf375b49b368e2b92b6422678428cd1436003dd4ae96b8c05b7a7c0607e4e00e,b752dd99df85bf2df12acad7ce8a2eec79c81a79b905bd4296616b4971d142a3
roots,starter,17,1,normal,3516.0,19081.0,15565.0,719,0,2764,c746dfae4b8be49657b4ec70facd33900a96c0d77510d2a022349d1f0f9f03c0,fc9d90e62313bbf798550e8387ab9479f21bd00d961f05d5f234f559fc9db580,daa642db5475613ad36ab30c817b61976aa405313d649e57eeef71c818034b82
roots,starter,101,0,normal,18541.0,3330.0,15211.0,719,0,2718,46319498a7426f38730f6fd2057790af83dafdf2be6c4bcdf8bbdc8110a8467f,7dd2ef482a0c800962cb08e082509fb4279980de3ee4f33abd719b445d75ec8c,5d82a8e7ed6585d49f36eb2363351623c694e761c194100edd9c2cd416c6d3fb
roots,starter,101,1,normal,3330.0,18736.0,15406.0,719,0,2718,fa4341f08b7b0519f872893d393a9c682117ac970ea30b07084abae4c5bc613f,9e3ac6295dcfcaf8c9ec72036bf20a915c08fa03417333a36f608c9ddc5cda2d,67d2c968f33f6335afc3f198591b6d88c39a8258ebb6ed567407cdea88dfb4a6
orchard,starter,17,0,normal,75891.0,3506.0,72385.0,719,0,4269,61f703f4d136e8008aef0cbaf6188d9e41c41d009ee5af095969a7ce096bb386,87311f5a05a56cbe3b49d43025860ca9166f7b21965d4ebea794ce9200f6ce2a,40a843cb9096301a81cd547410fc2450dbc7a5756a9fceaae5970958b1ed3fe0
orchard,starter,17,1,normal,3482.0,82137.0,78655.0,719,0,4271,2eb501be9d0cac66f1599a6910eab4f8837e6527ab02b7cd56aecb6008470314,6cacd1deefdca4a74f3e16ac74a4e6600f0bd9d2f0da9fdebea10e4bd933bf37,07533d52f55c8c72acd973fc8f929ace03ce5730934d06e512ed85df706a4502
orchard,starter,101,0,normal,85271.0,3584.0,81687.0,719,0,4272,783fa4a67d0316f6db09344a25675883b4e7ebad391af8599d1a2a3a2e2fb1c5,8d0569ee5df6fd60c7941514f0af34b2907d80a2f0745852608a7541ba552acb,65af84ffe3715889e4c92c7e71b48e337cbc2aa8765a838c36da0731bd77976b
orchard,starter,101,1,normal,3431.0,84911.0,81480.0,719,0,4268,1100daba9d15a3f8f9a5d0cab10b58907acc7f49068181e9e2ffe476aa932365,8957cfa0d08ec9905c0471f6cc79303cdc57b7dc719e4b7b94e4456fcfcfbc06,e342fe18c31b209b5e8e014db58a0618363d04014ff8b962f1e38c3852e9ae05
