rule,rule_name,classification,context,file,line,match,clause
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,prose,uiowa_rfq_18649_acceptance_map/output/sample_packet/uiowa_rfq_18649_workshare__ACCEPTANCE_EXHIBIT.md,105,conformance,"These criteria define artifact conformance, review, and cure."
CG-01,CERTIFICATION_CLAIM,REFUSAL,prose,uiowa_rfq_18649_acceptance_map/output/sample_packet/uiowa_rfq_18649_workshare__ACCEPTANCE_EXHIBIT.md,121,certification,"draft findings and roadmap inputs remain within the technical workshare and do not claim bidder submission, contract, legal/compliance certification, award, final University-facing recommendation authority, or authority "
CG-01,CERTIFICATION_CLAIM,REFUSAL,prose,uiowa_rfq_18649_acceptance_map/output/sample_packet/uiowa_rfq_18649_workshare__ACCEPTANCE_EXHIBIT.md,128,conformance,that conformance review does not convert the existing draft delivery payment trigger into an acceptance trigger.
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,prose,uiowa_rfq_18649_acceptance_map/output/sample_packet/uiowa_rfq_18649_workshare__ACCEPTANCE_EXHIBIT.md,166,certification,"- procurement/vendor selection, recommendations or endorsements for specific commercial products/vendors, legal, audit, certification, insurance, or regulatory opinions;"
CG-01,CERTIFICATION_CLAIM,ASSERTION,prose,uiowa_rfq_18649_acceptance_map/output/sample_packet/uiowa_rfq_18649_workshare__ACCEPTANCE_EXHIBIT.md,208,conformance,"This conformance/cure protocol is distinct from the proposed payment schedule: kickoff remains triggered by written authorization, draft remains triggered by delivery, and only the final base-workshare milestone is accep"
CG-02,MATURITY_LEVEL,AMBIGUOUS,test,uiowa_rfq_18649_acceptance_map/test_acceptance_map.py,439,maturity score,"for banned in (""maturity score"", ""percentile"", ""peer rank"", ""overall score"","
CG-03,PEER_COMPARISON,AMBIGUOUS,test,uiowa_rfq_18649_acceptance_map/test_acceptance_map.py,439,percentile,"for banned in (""maturity score"", ""percentile"", ""peer rank"", ""overall score"","
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,test,uiowa_rfq_18649_acceptance_map/test_acceptance_map.py,440,certified,"""certified compliant"", ""conformance percentage""):"
CG-01,CERTIFICATION_CLAIM,REFUSAL,prose,uiowa_rfq_18649_adoption_readiness/README.md,26,certification,"No composite score, maturity level, peer percentile, or certification claim exists anywhere in the output."
CG-02,MATURITY_LEVEL,REFUSAL,prose,uiowa_rfq_18649_adoption_readiness/README.md,26,maturity level,"No composite score, maturity level, peer percentile, or certification claim exists anywhere in the output."
CG-03,PEER_COMPARISON,REFUSAL,prose,uiowa_rfq_18649_adoption_readiness/README.md,26,percentile,"No composite score, maturity level, peer percentile, or certification claim exists anywhere in the output."
CG-01,CERTIFICATION_CLAIM,REFUSAL,prose,uiowa_rfq_18649_adoption_readiness/README.md,200,certification,"No composite score, maturity level, peer percentile, benchmark position, certification or compliance claim."
CG-02,MATURITY_LEVEL,REFUSAL,prose,uiowa_rfq_18649_adoption_readiness/README.md,200,maturity level,"No composite score, maturity level, peer percentile, benchmark position, certification or compliance claim."
CG-03,PEER_COMPARISON,REFUSAL,prose,uiowa_rfq_18649_adoption_readiness/README.md,200,percentile,"No composite score, maturity level, peer percentile, benchmark position, certification or compliance claim."
CG-01,CERTIFICATION_CLAIM,REFUSAL,data,uiowa_rfq_18649_adoption_readiness/out/readiness_assessment.json,25,certification,"It does not produce a composite score, a maturity level, a peer percentile, a certification or compliance claim, or any assessment of an individual employee."","
CG-02,MATURITY_LEVEL,REFUSAL,data,uiowa_rfq_18649_adoption_readiness/out/readiness_assessment.json,25,maturity level,"It does not produce a composite score, a maturity level, a peer percentile, a certification or compliance claim, or any assessment of an individual employee."","
CG-03,PEER_COMPARISON,REFUSAL,data,uiowa_rfq_18649_adoption_readiness/out/readiness_assessment.json,25,percentile,"It does not produce a composite score, a maturity level, a peer percentile, a certification or compliance claim, or any assessment of an individual employee."","
CG-01,CERTIFICATION_CLAIM,REFUSAL,prose,uiowa_rfq_18649_adoption_readiness/out/readiness_report.md,10,certification,"It does not produce a composite score, a maturity level, a peer percentile, a certification or compliance claim, or any assessment of an individual employee."
CG-02,MATURITY_LEVEL,REFUSAL,prose,uiowa_rfq_18649_adoption_readiness/out/readiness_report.md,10,maturity level,"It does not produce a composite score, a maturity level, a peer percentile, a certification or compliance claim, or any assessment of an individual employee."
CG-03,PEER_COMPARISON,REFUSAL,prose,uiowa_rfq_18649_adoption_readiness/out/readiness_report.md,10,percentile,"It does not produce a composite score, a maturity level, a peer percentile, a certification or compliance claim, or any assessment of an individual employee."
CG-02,MATURITY_LEVEL,REFUSAL,code,uiowa_rfq_18649_adoption_readiness/readiness.py,14,maturity level,"ABSENT, never to zero, never to a maturity level."
CG-02,MATURITY_LEVEL,REFUSAL,code,uiowa_rfq_18649_adoption_readiness/readiness.py,16,maturity rating,"There is no composite score, no maturity rating, no peer"
CG-01,CERTIFICATION_CLAIM,REFUSAL,code,uiowa_rfq_18649_adoption_readiness/readiness.py,17,certification,percentile and no certification claim anywhere in the output.
CG-03,PEER_COMPARISON,AMBIGUOUS,code,uiowa_rfq_18649_adoption_readiness/readiness.py,17,percentile,percentile and no certification claim anywhere in the output.
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,code,uiowa_rfq_18649_adoption_readiness/readiness.py,79,certification,"""percentile"", ""peerpercentile"", ""grade"", ""rank"", ""certification"","
CG-03,PEER_COMPARISON,AMBIGUOUS,code,uiowa_rfq_18649_adoption_readiness/readiness.py,79,percentile,"""percentile"", ""peerpercentile"", ""grade"", ""rank"", ""certification"","
CG-02,MATURITY_LEVEL,AMBIGUOUS,code,uiowa_rfq_18649_adoption_readiness/readiness.py,679,maturity level,"""produce a composite score, a maturity level, a peer percentile, a """
CG-03,PEER_COMPARISON,AMBIGUOUS,code,uiowa_rfq_18649_adoption_readiness/readiness.py,679,percentile,"""produce a composite score, a maturity level, a peer percentile, a """
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,code,uiowa_rfq_18649_adoption_readiness/readiness.py,680,certification,"""certification or compliance claim, or any assessment of an """
CG-02,MATURITY_LEVEL,AMBIGUOUS,test,uiowa_rfq_18649_adoption_readiness/test_readiness.py,416,maturity level,"for phrase in (""composite score"", ""maturity level"", ""peer percentile"","
CG-03,PEER_COMPARISON,AMBIGUOUS,test,uiowa_rfq_18649_adoption_readiness/test_readiness.py,416,percentile,"for phrase in (""composite score"", ""maturity level"", ""peer percentile"","
CG-01,CERTIFICATION_CLAIM,REFUSAL,prose,uiowa_rfq_18649_ai_decision_case/README.md,165,certification,"It produces no maturity score, no certification or compliance claim, no peer percentile, and no individual performance scoring: the unit of analysis is a document and a workflow, never a person."
CG-02,MATURITY_LEVEL,REFUSAL,prose,uiowa_rfq_18649_ai_decision_case/README.md,165,maturity score,"It produces no maturity score, no certification or compliance claim, no peer percentile, and no individual performance scoring: the unit of analysis is a document and a workflow, never a person."
CG-03,PEER_COMPARISON,REFUSAL,prose,uiowa_rfq_18649_ai_decision_case/README.md,165,percentile,"It produces no maturity score, no certification or compliance claim, no peer percentile, and no individual performance scoring: the unit of analysis is a document and a workflow, never a person."
CG-01,CERTIFICATION_CLAIM,REFUSAL,prose,uiowa_rfq_18649_ai_eval_kit/README.md,127,certification,"No certification,"
CG-04,INDIVIDUAL_SCORING,REFUSAL,prose,uiowa_rfq_18649_ai_eval_kit/README.md,127,rate individuals,It does not rate individuals. The unit of measurement is a workflow.
CG-03,PEER_COMPARISON,AMBIGUOUS,prose,uiowa_rfq_18649_ai_eval_kit/README.md,128,percentile,"compliance, maturity or peer-percentile claim appears anywhere."
CG-01,CERTIFICATION_CLAIM,REFUSAL,prose,uiowa_rfq_18649_ai_eval_kit/README.md,203,certification,"No certification, compliance, maturity or peer-percentile claims."
CG-03,PEER_COMPARISON,REFUSAL,prose,uiowa_rfq_18649_ai_eval_kit/README.md,203,percentile,"No certification, compliance, maturity or peer-percentile claims."
CG-01,CERTIFICATION_CLAIM,REFUSAL,code,uiowa_rfq_18649_ai_eval_kit/eval_kit.py,523,certified,"w(""- It does not say either workflow is approved, certified or compliant.\n"")"
CG-02,MATURITY_LEVEL,AMBIGUOUS,code,uiowa_rfq_18649_ai_eval_kit/eval_kit.py,528,maturity rating,"""a pass, or a maturity rating.\n\n"")"
CG-01,CERTIFICATION_CLAIM,REFUSAL,prose,uiowa_rfq_18649_ai_eval_kit/examples/report.md,132,certified,"- It does not say either workflow is approved, certified or compliant."
CG-02,MATURITY_LEVEL,REFUSAL,prose,uiowa_rfq_18649_ai_eval_kit/examples/report.md,135,maturity rating,"No absent value was read as a zero, a pass, or a maturity rating."
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,prose,uiowa_rfq_18649_ai_integration/README.md,208,conformance,"- The port, both fictional adapters, conformance checking, and all three degraded paths."
CG-01,CERTIFICATION_CLAIM,REFUSAL,prose,uiowa_rfq_18649_ai_integration/README.md,263,certification,"No certification, compliance, maturity-score, or peer-percentile claims."
CG-03,PEER_COMPARISON,REFUSAL,prose,uiowa_rfq_18649_ai_integration/README.md,263,percentile,"No certification, compliance, maturity-score, or peer-percentile claims."
CG-01,CERTIFICATION_CLAIM,REFUSAL,prose,uiowa_rfq_18649_ai_integration/README.md,272,conformance,"patterns.py three reference patterns + capability vocabulary + neutrality guard portability.py swap blast-radius scoring + static independence scanner worksheet.py question set, fit rules, evaluation, Markdown/CSV render"
CG-01,CERTIFICATION_CLAIM,ASSERTION,code,uiowa_rfq_18649_ai_integration/demo_swap.py,38,conformance,"conformance = checkconformance(port, POLICY) if failmode is None else \"
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,code,uiowa_rfq_18649_ai_integration/demo_swap.py,46,conformance,"""conformance"": conformance,"
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,code,uiowa_rfq_18649_ai_integration/demo_swap.py,134,conformance,"print(f"" conformance : {run['conformance']['conformant']}"")"
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,data,uiowa_rfq_18649_ai_integration/out/swap_receipt.json,46,conformance,"""conformance"": {"
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,data,uiowa_rfq_18649_ai_integration/out/swap_receipt.json,104,conformance,"""conformance"": {"
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,data,uiowa_rfq_18649_ai_integration/out/swap_receipt.json,162,conformance,"""conformance"": {"
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,data,uiowa_rfq_18649_ai_integration/out/swap_receipt.json,220,conformance,"""conformance"": {"
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,data,uiowa_rfq_18649_ai_integration/out/swap_receipt.json,278,conformance,"""conformance"": {"
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,code,uiowa_rfq_18649_ai_integration/portlib/port.py,108,conformance,# ------------------------------------------------- contract conformance check
CG-01,CERTIFICATION_CLAIM,REFUSAL,code,uiowa_rfq_18649_ai_integration/portlib/port.py,119,conformance,"probe = probe or Document(docid=""probe-0"", text=""card declined on my deposit"", source=""conformance"")"
CG-01,CERTIFICATION_CLAIM,REFUSAL,code,uiowa_rfq_18649_ai_integration/portlib/port.py,135,conformance,"f""not acceptable during conformance): {type(exc).name}""]}"
CG-02,MATURITY_LEVEL,REFUSAL,code,uiowa_rfq_18649_ai_integration/unknowns.py,4,maturity score,"stays UNKNOWN -- it never becomes a zero, a pass, or a maturity score."
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,prose,uiowa_rfq_18649_ai_opportunity_portfolio/README.md,95,certification,OPP-RIS-02 effort-certification reminders
CG-01,CERTIFICATION_CLAIM,REFUSAL,prose,uiowa_rfq_18649_ai_opportunity_portfolio/README.md,163,certification,"No certification claim, no compliance claim, no peer-percentile claim, and no individual performance scoring appears anywhere in this lane."
CG-03,PEER_COMPARISON,REFUSAL,prose,uiowa_rfq_18649_ai_opportunity_portfolio/README.md,163,percentile,"No certification claim, no compliance claim, no peer-percentile claim, and no individual performance scoring appears anywhere in this lane."
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,data,uiowa_rfq_18649_ai_opportunity_portfolio/candidates.json,154,certification,"""title"": ""Generate effort-certification reminder narratives"","
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,data,uiowa_rfq_18649_ai_opportunity_portfolio/candidates.json,155,certification,"""usecase"": ""Certifiers receive a reminder naming the periods and projects awaiting certification."
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,data,uiowa_rfq_18649_ai_opportunity_portfolio/candidates.json,186,certification,"""numerator"": ""certifications on time"", ""denominator"": ""certifications due"", ""cadence"": ""per certification period"","
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,data,uiowa_rfq_18649_ai_opportunity_portfolio/candidates.json,241,certify,"""usecase"": ""Application owners certify entitlements each quarter."
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,data,uiowa_rfq_18649_ai_opportunity_portfolio/candidates.json,241,certification,A drafted summary of what changed since the last review would shorten the certification.
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,data,uiowa_rfq_18649_ai_opportunity_portfolio/candidates.json,268,certified,"{""name"": ""Access reviews certified by the quarter deadline"","
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,data,uiowa_rfq_18649_ai_opportunity_portfolio/candidates.json,269,certified,"""numerator"": ""reviews certified on time"", ""denominator"": ""reviews due"", ""cadence"": ""quarterly"","
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,data,uiowa_rfq_18649_ai_opportunity_portfolio/candidates.json,275,certify,"""How many application owners certify each quarter, and how long does a certification take today?"""
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,data,uiowa_rfq_18649_ai_opportunity_portfolio/sample_output/portfolio.json,221,certify,"""How many application owners certify each quarter, and how long does a certification take today?"""
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,data,uiowa_rfq_18649_ai_opportunity_portfolio/sample_output/portfolio.json,235,certified,"""name"": ""Access reviews certified by the quarter deadline"","
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,data,uiowa_rfq_18649_ai_opportunity_portfolio/sample_output/portfolio.json,236,certified,"""numerator"": ""reviews certified on time"""
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,data,uiowa_rfq_18649_ai_opportunity_portfolio/sample_output/portfolio.json,265,certify,"""usecase"": ""Application owners certify entitlements each quarter."
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,data,uiowa_rfq_18649_ai_opportunity_portfolio/sample_output/portfolio.json,265,certification,A drafted summary of what changed since the last review would shorten the certification.
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,data,uiowa_rfq_18649_ai_opportunity_portfolio/sample_output/portfolio.json,365,certification,"""cadence"": ""per certification period"","
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,data,uiowa_rfq_18649_ai_opportunity_portfolio/sample_output/portfolio.json,393,certification,"""title"": ""Generate effort-certification reminder narratives"","
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,data,uiowa_rfq_18649_ai_opportunity_portfolio/sample_output/portfolio.json,395,certification,"""usecase"": ""Certifiers receive a reminder naming the periods and projects awaiting certification."
CG-01,CERTIFICATION_CLAIM,ASSERTION,data,uiowa_rfq_18649_ai_opportunity_portfolio/sample_output/portfolio_ranking.csv,7,certification,"UNKNOWN,UNRANKED - DO-NOT-PURSUE,OPP-RIS-02,RIS,Generate effort-certification reminder narratives,DO-NOT-PURSUE,-346.0,-122.2,-11.0,40.0,70.0,120.0,0.02,0.04,0.08,UNKNOWN,LOW,HIGH,HIGH,none,none,""task suitability is LOW:"
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,prose,uiowa_rfq_18649_ai_opportunity_portfolio/sample_output/portfolio_report.md,86,certify,Application owners certify entitlements each quarter.
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,prose,uiowa_rfq_18649_ai_opportunity_portfolio/sample_output/portfolio_report.md,86,certification,A drafted summary of what changed since the last review would shorten the certification.
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,prose,uiowa_rfq_18649_ai_opportunity_portfolio/sample_output/portfolio_report.md,93,certified,"- Access reviews certified by the quarter deadline: reviews certified on time / reviews due, quarterly, baseline required - not yet measurable, and not recorded as 0"
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,prose,uiowa_rfq_18649_ai_opportunity_portfolio/sample_output/portfolio_report.md,96,certify,"- How many application owners certify each quarter, and how long does a certification take today?"
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,prose,uiowa_rfq_18649_ai_opportunity_portfolio/sample_output/portfolio_report.md,98,certification,### OPP-RIS-02 - Generate effort-certification reminder narratives (RIS)
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,prose,uiowa_rfq_18649_ai_opportunity_portfolio/sample_output/portfolio_report.md,100,certification,Certifiers receive a reminder naming the periods and projects awaiting certification.
CG-01,CERTIFICATION_CLAIM,ASSERTION,prose,uiowa_rfq_18649_ai_opportunity_portfolio/sample_output/portfolio_report.md,107,certification,"- Certifications completed by the period deadline: certifications on time / certifications due, per certification period, baseline 0.88"
CG-05,REAL_UNIVERSITY_FINDING,REFUSAL,prose,uiowa_rfq_18649_ai_policy_to_workflow/README.md,10,the University of Iowa,"Nothing in this > lane describes the University of Iowa or any real institution, policy, > system, or person."
CG-05,REAL_UNIVERSITY_FINDING,REFUSAL,prose,uiowa_rfq_18649_ai_policy_to_workflow/README.md,28,the University of Iowa,"No record here describes the University of Iowa or any real institution, policy, system, or person."
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,prose,uiowa_rfq_18649_ai_policy_to_workflow/README.md,113,conformance,A conformance-shaped tool marks this red.
CG-02,MATURITY_LEVEL,REFUSAL,prose,uiowa_rfq_18649_ai_policy_to_workflow/README.md,130,maturity level,"- No maturity level, readiness level, or tier. score() raises"
CG-01,CERTIFICATION_CLAIM,REFUSAL,prose,uiowa_rfq_18649_ai_policy_to_workflow/README.md,142,certification,"- No certification, compliance opinion, peer comparison, percentile, or"
CG-03,PEER_COMPARISON,REFUSAL,prose,uiowa_rfq_18649_ai_policy_to_workflow/README.md,142,percentile,"- No certification, compliance opinion, peer comparison, percentile, or"
CG-01,CERTIFICATION_CLAIM,REFUSAL,prose,uiowa_rfq_18649_ai_policy_to_workflow/README.md,148,certified,"Referenced, not certified against: <https://www.nist.gov/itl/ai-risk-management-framework>"
CG-01,CERTIFICATION_CLAIM,REFUSAL,prose,uiowa_rfq_18649_ai_policy_to_workflow/SOURCE_NOTES.md,7,certification,"Used here as a reference for organizing leadership discussion, not as a certification checklist. Concretely, that means:"
CG-01,CERTIFICATION_CLAIM,REFUSAL,prose,uiowa_rfq_18649_ai_policy_to_workflow/SOURCE_NOTES.md,19,conformance,"There is nothing to be a percentage of, and such a figure reads as a conformance claim."
CG-01,CERTIFICATION_CLAIM,REFUSAL,prose,uiowa_rfq_18649_ai_policy_to_workflow/SOURCE_NOTES.md,20,compliant with,"Any statement that the organization is or is not ""aligned to"", ""compliant with"", or ""conformant to"" the AI RMF"
CG-01,CERTIFICATION_CLAIM,REFUSAL,prose,uiowa_rfq_18649_ai_policy_to_workflow/SOURCE_NOTES.md,20,certification,The AI RMF is not a certifiable standard and this is not a certification body.
CG-02,MATURITY_LEVEL,AMBIGUOUS,prose,uiowa_rfq_18649_ai_policy_to_workflow/SOURCE_NOTES.md,21,maturity tier,Any maturity tier or readiness level
CG-05,REAL_UNIVERSITY_FINDING,REFUSAL,prose,uiowa_rfq_18649_ai_policy_to_workflow/SOURCE_NOTES.md,41,the University of Iowa,"No record here describes the University of Iowa, its policies, its systems, its staff, or its practices."
