lane,module,line,kind,call,classification,target,why
uiowa_rfq_18649_ai_opportunity_portfolio,uiowa_rfq_18649_ai_opportunity_portfolio/opportunity_portfolio.py,858,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,path,writes to a caller-supplied path; target is the function parameter 'path' -- the caller chooses what gets removed. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_ai_opportunity_portfolio,uiowa_rfq_18649_ai_opportunity_portfolio/opportunity_portfolio.py,885,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,jpath,writes to a caller-supplied path; 'jpath' is assigned from external input. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_ai_opportunity_portfolio,uiowa_rfq_18649_ai_opportunity_portfolio/test_opportunity_portfolio.py,327,DESTRUCTIVE,os.unlink,TEST_CONTEXT,path,in a test module; 'path' has an assignment that could not be traced
uiowa_rfq_18649_ai_opportunity_portfolio,uiowa_rfq_18649_ai_opportunity_portfolio/test_opportunity_portfolio.py,337,DESTRUCTIVE,os.unlink,TEST_CONTEXT,path,in a test module; 'path' has an assignment that could not be traced
uiowa_rfq_18649_ai_opportunity_portfolio,uiowa_rfq_18649_ai_opportunity_portfolio/test_opportunity_portfolio.py,351,DESTRUCTIVE,os.unlink,TEST_CONTEXT,path,in a test module; 'path' has an assignment that could not be traced
uiowa_rfq_18649_ai_opportunity_portfolio,uiowa_rfq_18649_ai_opportunity_portfolio/test_opportunity_portfolio.py,362,DESTRUCTIVE,os.unlink,TEST_CONTEXT,path,in a test module; 'path' has an assignment that could not be traced
uiowa_rfq_18649_ai_opportunity_portfolio,uiowa_rfq_18649_ai_opportunity_portfolio/test_opportunity_portfolio.py,372,DESTRUCTIVE,os.unlink,TEST_CONTEXT,path,in a test module; 'path' has an assignment that could not be traced
uiowa_rfq_18649_ai_opportunity_portfolio,uiowa_rfq_18649_ai_opportunity_portfolio/test_opportunity_portfolio.py,389,DESTRUCTIVE,os.unlink,TEST_CONTEXT,path,in a test module; 'path' has an assignment that could not be traced
uiowa_rfq_18649_ai_policy_to_workflow,uiowa_rfq_18649_ai_policy_to_workflow/policy_matrix.py,524,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,path,writes to a caller-supplied path; target is the function parameter 'path' -- the caller chooses what gets removed. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_ai_policy_to_workflow,uiowa_rfq_18649_ai_policy_to_workflow/policy_matrix.py,534,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,path,writes to a caller-supplied path; target is the function parameter 'path' -- the caller chooses what gets removed. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_ai_policy_to_workflow,uiowa_rfq_18649_ai_policy_to_workflow/policy_matrix.py,652,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,path,writes to a caller-supplied path; target is the function parameter 'path' -- the caller chooses what gets removed. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_ai_policy_to_workflow,uiowa_rfq_18649_ai_policy_to_workflow/policy_matrix.py,663,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,path,writes to a caller-supplied path; target is the function parameter 'path' -- the caller chooses what gets removed. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_ai_policy_to_workflow,uiowa_rfq_18649_ai_policy_to_workflow/test_policy_matrix.py,52,DESTRUCTIVE,shutil.rmtree,TEST_CONTEXT,self.dir,in a test module; self.dir is assigned from values this module created
uiowa_rfq_18649_ai_policy_to_workflow,uiowa_rfq_18649_ai_policy_to_workflow/test_policy_matrix.py,56,WRITE,open(mode='w'),TEST_CONTEXT,"os.path.join(dirname, name)",in a test module; writes to a caller-supplied path; path is joined from externally controlled parts. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_ai_policy_to_workflow,uiowa_rfq_18649_ai_policy_to_workflow/test_policy_matrix.py,365,DESTRUCTIVE,os.remove,TEST_CONTEXT,"os.path.join(d, 'questions.json')",in a test module; path is joined from a part that could not be traced
uiowa_rfq_18649_ai_policy_to_workflow,uiowa_rfq_18649_ai_policy_to_workflow/test_policy_matrix.py,435,DESTRUCTIVE,shutil.rmtree,TEST_CONTEXT,out,in a test module; 'out' is assigned from module-local values
uiowa_rfq_18649_ai_policy_to_workflow,uiowa_rfq_18649_ai_policy_to_workflow/test_policy_matrix.py,448,DESTRUCTIVE,shutil.rmtree,TEST_CONTEXT,out,in a test module; 'out' is assigned from module-local values
uiowa_rfq_18649_ai_policy_to_workflow,uiowa_rfq_18649_ai_policy_to_workflow/test_policy_matrix.py,456,DESTRUCTIVE,shutil.rmtree,TEST_CONTEXT,out,in a test module; 'out' is assigned from module-local values
uiowa_rfq_18649_ai_policy_to_workflow,uiowa_rfq_18649_ai_policy_to_workflow/test_policy_matrix.py,460,DESTRUCTIVE,os.remove,TEST_CONTEXT,"os.path.join(d, 'tasks.json')",in a test module; path is joined from a part that could not be traced
uiowa_rfq_18649_ai_policy_to_workflow,uiowa_rfq_18649_ai_policy_to_workflow/test_policy_matrix.py,372,WRITE,open(mode='w'),TEST_CONTEXT,"os.path.join(d, 'policies.json')",in a test module; path is joined from a part that could not be traced
uiowa_rfq_18649_ai_policy_to_workflow,uiowa_rfq_18649_ai_policy_to_workflow/test_policy_matrix.py,466,DESTRUCTIVE,shutil.rmtree,TEST_CONTEXT,out,in a test module; 'out' is assigned from module-local values
uiowa_rfq_18649_ai_use_inventory,uiowa_rfq_18649_ai_use_inventory/inventory.py,428,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,path,writes to a caller-supplied path; target is the function parameter 'path' -- the caller chooses what gets removed. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_ai_use_inventory,uiowa_rfq_18649_ai_use_inventory/inventory.py,437,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,path,writes to a caller-supplied path; target is the function parameter 'path' -- the caller chooses what gets removed. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_ai_use_inventory,uiowa_rfq_18649_ai_use_inventory/inventory.py,568,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,"os.path.join(args.outdir, 'ai_use_inventory.json')",writes to a caller-supplied path; path is joined from externally controlled parts. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_ai_use_inventory,uiowa_rfq_18649_ai_use_inventory/inventory.py,570,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,"os.path.join(args.outdir, 'ai_use_inventory.md')",writes to a caller-supplied path; path is joined from externally controlled parts. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_ai_use_inventory,uiowa_rfq_18649_ai_use_inventory/test_inventory.py,331,OPAQUE_SUBPROCESS,subprocess.run,TEST_CONTEXT,"[sys.executable, os.path.join(HERE, 'inventory.py'), '--input', os.path.join(HERE, 'nope.json')]",shells out; what runs inside is not visible to this screen
uiowa_rfq_18649_ai_use_inventory,uiowa_rfq_18649_ai_use_inventory/test_inventory.py,257,DESTRUCTIVE,os.unlink,TEST_CONTEXT,path,in a test module; 'path' has an assignment that could not be traced
uiowa_rfq_18649_ai_use_inventory,uiowa_rfq_18649_ai_use_inventory/test_inventory.py,319,OPAQUE_SUBPROCESS,subprocess.run,TEST_CONTEXT,"[sys.executable, os.path.join(HERE, 'inventory.py'), '--input', CLEAN, '--outdir', tmp]",shells out; what runs inside is not visible to this screen
uiowa_rfq_18649_bid_pack,uiowa_rfq_18649_bid_pack/bid_pack.py,507,WRITE,open(mode='wb'),WRITE_TO_CALLER_PATH,"os.path.join(out_dir, 'proposal.pdf')",writes to a caller-supplied path; path is joined from externally controlled parts. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_bid_pack,uiowa_rfq_18649_bid_pack/bid_pack.py,512,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,"os.path.join(out_dir, 'attachment_index.csv')",writes to a caller-supplied path; path is joined from externally controlled parts. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_bid_pack,uiowa_rfq_18649_bid_pack/bid_pack.py,527,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,"os.path.join(out_dir, 'bid_pack.json')",writes to a caller-supplied path; path is joined from externally controlled parts. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_bid_pack,uiowa_rfq_18649_bid_pack/bid_pack.py,531,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,"os.path.join(out_dir, '00-INDEX.md')",writes to a caller-supplied path; path is joined from externally controlled parts. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_bid_pack,uiowa_rfq_18649_bid_pack/bid_pack.py,482,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,dest,writes to a caller-supplied path; 'dest' is assigned from external input. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_bid_pack,uiowa_rfq_18649_bid_pack/bid_pack.py,487,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,dest,writes to a caller-supplied path; 'dest' is assigned from external input. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_bid_pack,uiowa_rfq_18649_bid_pack/bid_pack.py,498,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,ph,writes to a caller-supplied path; 'ph' is assigned from external input. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_bid_pack,uiowa_rfq_18649_bid_pack/test_bid_pack.py,315,WRITE,open(mode='w'),TEST_CONTEXT,mpath,in a test module; 'mpath' has an assignment that could not be traced
uiowa_rfq_18649_bid_pack,uiowa_rfq_18649_bid_pack/test_bid_pack.py,385,WRITE,open(mode='w'),TEST_CONTEXT,src,in a test module; 'src' has an assignment that could not be traced
uiowa_rfq_18649_bid_pack,uiowa_rfq_18649_bid_pack/test_bid_pack.py,328,WRITE,open(mode='w'),TEST_CONTEXT,empty,in a test module; 'empty' has an assignment that could not be traced
uiowa_rfq_18649_capability_appendix,uiowa_rfq_18649_capability_appendix/capability_appendix.py,445,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,path,writes to a caller-supplied path; target is the function parameter 'path' -- the caller chooses what gets removed. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_capability_appendix,uiowa_rfq_18649_capability_appendix/capability_appendix.py,499,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,args.observations,"writes to a caller-supplied path; target comes from args.observations, a command-line option. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep"
uiowa_rfq_18649_capability_appendix,uiowa_rfq_18649_capability_appendix/capability_appendix.py,537,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,md_path,writes to a caller-supplied path; 'md_path' is assigned from external input. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_capability_appendix,uiowa_rfq_18649_capability_appendix/capability_appendix.py,541,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,idx_path,writes to a caller-supplied path; 'idx_path' is assigned from external input. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_capability_appendix,uiowa_rfq_18649_capability_appendix/capability_appendix.py,547,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,json_path,writes to a caller-supplied path; 'json_path' is assigned from external input. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_capability_appendix,uiowa_rfq_18649_capability_appendix/capability_appendix.py,177,OPAQUE_SUBPROCESS,subprocess.run,UNDETERMINED,command.split(),shells out; what runs inside is not visible to this screen
uiowa_rfq_18649_capability_appendix,uiowa_rfq_18649_capability_appendix/test_capability_appendix.py,240,DESTRUCTIVE,shutil.rmtree,TEST_CONTEXT,self.tmp,in a test module; self.tmp is assigned from values this module created
uiowa_rfq_18649_capability_appendix,uiowa_rfq_18649_capability_appendix/test_capability_appendix.py,347,DESTRUCTIVE,shutil.rmtree,TEST_CONTEXT,self.tmp,in a test module; self.tmp is assigned from values this module created
uiowa_rfq_18649_capability_appendix,uiowa_rfq_18649_capability_appendix/test_capability_appendix.py,372,DESTRUCTIVE,os.unlink,TEST_CONTEXT,self.script,in a test module; self.script is assigned from values this module created
uiowa_rfq_18649_capability_appendix,uiowa_rfq_18649_capability_appendix/test_capability_appendix.py,257,WRITE,open(mode='w'),TEST_CONTEXT,"os.path.join(self.tmp, 'marker.py')",in a test module; path is joined from module-local parts
uiowa_rfq_18649_capability_appendix,uiowa_rfq_18649_capability_appendix/test_capability_appendix.py,260,WRITE,open(mode='w'),TEST_CONTEXT,reg_path,in a test module; 'reg_path' is assigned from module-local values
uiowa_rfq_18649_capability_appendix,uiowa_rfq_18649_capability_appendix/test_capability_appendix.py,263,WRITE,open(mode='w'),TEST_CONTEXT,obs_path,in a test module; 'obs_path' is assigned from module-local values
uiowa_rfq_18649_capability_appendix,uiowa_rfq_18649_capability_appendix/test_capability_appendix.py,284,WRITE,open(mode='w'),TEST_CONTEXT,bad,in a test module; 'bad' is assigned from module-local values
uiowa_rfq_18649_capability_appendix,uiowa_rfq_18649_capability_appendix/test_capability_appendix.py,328,WRITE,open(mode='w'),TEST_CONTEXT,self.script,in a test module; self.script is assigned from values this module created
uiowa_rfq_18649_capability_appendix,uiowa_rfq_18649_capability_appendix/test_capability_appendix.py,342,WRITE,open(mode='w'),TEST_CONTEXT,self.reg_path,in a test module; self.reg_path is assigned from values this module created
uiowa_rfq_18649_capability_appendix,uiowa_rfq_18649_capability_appendix/test_capability_appendix.py,362,WRITE,open(mode='a'),TEST_CONTEXT,self.script,in a test module; self.script is assigned from values this module created
uiowa_rfq_18649_capability_appendix,uiowa_rfq_18649_capability_appendix/test_capability_appendix.py,378,WRITE,open(mode='w'),TEST_CONTEXT,self.script,in a test module; self.script is assigned from values this module created
uiowa_rfq_18649_capacity_benchmark,uiowa_rfq_18649_capacity_benchmark/generate_collection.py,112,DESTRUCTIVE,shutil.rmtree,REVIEW_REQUIRED,root,target is the function parameter 'root' -- the caller chooses what gets removed
uiowa_rfq_18649_capacity_benchmark,uiowa_rfq_18649_capacity_benchmark/test_capacity_benchmark.py,318,DESTRUCTIVE,unlink,TEST_CONTEXT,<no argument>,in a test module; could not trace the target expression
uiowa_rfq_18649_capacity_benchmark,uiowa_rfq_18649_capacity_benchmark/test_capacity_benchmark.py,326,DESTRUCTIVE,unlink,TEST_CONTEXT,<no argument>,in a test module; could not trace the target expression
uiowa_rfq_18649_capacity_feasibility,uiowa_rfq_18649_capacity_feasibility/capacity_roadmap.py,764,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,path,writes to a caller-supplied path; target is the function parameter 'path' -- the caller chooses what gets removed. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_capacity_feasibility,uiowa_rfq_18649_capacity_feasibility/capacity_roadmap.py,782,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,path,writes to a caller-supplied path; target is the function parameter 'path' -- the caller chooses what gets removed. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_capacity_feasibility,uiowa_rfq_18649_capacity_feasibility/capacity_roadmap.py,843,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,"os.path.join(outdir, 'roadmap-ascii.txt')",writes to a caller-supplied path; path is joined from externally controlled parts. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_capacity_feasibility,uiowa_rfq_18649_capacity_feasibility/capacity_roadmap.py,845,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,"os.path.join(outdir, 'feasibility-report.md')",writes to a caller-supplied path; path is joined from externally controlled parts. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_capacity_feasibility,uiowa_rfq_18649_capacity_feasibility/test_capacity_roadmap.py,382,DESTRUCTIVE,shutil.rmtree,TEST_CONTEXT,self.tmp,in a test module; self.tmp is assigned from values this module created
uiowa_rfq_18649_capacity_feasibility,uiowa_rfq_18649_capacity_feasibility/test_capacity_roadmap.py,333,DESTRUCTIVE,shutil.rmtree,TEST_CONTEXT,tmp,in a test module; 'tmp' is assigned from module-local values
uiowa_rfq_18649_capacity_feasibility,uiowa_rfq_18649_capacity_feasibility/test_capacity_roadmap.py,347,DESTRUCTIVE,shutil.rmtree,TEST_CONTEXT,tmp,in a test module; 'tmp' is assigned from module-local values
uiowa_rfq_18649_capacity_feasibility,uiowa_rfq_18649_capacity_feasibility/test_capacity_roadmap.py,360,DESTRUCTIVE,shutil.rmtree,TEST_CONTEXT,tmp,in a test module; 'tmp' is assigned from module-local values
uiowa_rfq_18649_capacity_feasibility,uiowa_rfq_18649_capacity_feasibility/test_capacity_roadmap.py,374,DESTRUCTIVE,shutil.rmtree,TEST_CONTEXT,tmp,in a test module; 'tmp' is assigned from module-local values
uiowa_rfq_18649_capacity_feasibility,uiowa_rfq_18649_capacity_feasibility/test_capacity_roadmap.py,386,WRITE,open(mode='w'),TEST_CONTEXT,p,in a test module; writes to a caller-supplied path; 'p' is assigned from external input. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_capacity_feasibility,uiowa_rfq_18649_capacity_feasibility/test_capacity_roadmap.py,478,DESTRUCTIVE,shutil.rmtree,TEST_CONTEXT,tmp,in a test module; 'tmp' is assigned from module-local values
uiowa_rfq_18649_capacity_feasibility,uiowa_rfq_18649_capacity_feasibility/test_capacity_roadmap.py,493,DESTRUCTIVE,shutil.rmtree,TEST_CONTEXT,tmp,in a test module; 'tmp' is assigned from module-local values
uiowa_rfq_18649_capacity_feasibility,uiowa_rfq_18649_capacity_feasibility/test_capacity_roadmap.py,513,DESTRUCTIVE,shutil.rmtree,TEST_CONTEXT,tmp,in a test module; 'tmp' is assigned from module-local values
uiowa_rfq_18649_capacity_feasibility,uiowa_rfq_18649_capacity_feasibility/test_capacity_roadmap.py,327,WRITE,open(mode='w'),TEST_CONTEXT,p,in a test module; 'p' is assigned from module-local values
uiowa_rfq_18649_capacity_feasibility,uiowa_rfq_18649_capacity_feasibility/test_capacity_roadmap.py,341,WRITE,open(mode='w'),TEST_CONTEXT,p,in a test module; 'p' is assigned from module-local values
uiowa_rfq_18649_capacity_feasibility,uiowa_rfq_18649_capacity_feasibility/test_capacity_roadmap.py,355,WRITE,open(mode='w'),TEST_CONTEXT,p,in a test module; 'p' is assigned from module-local values
uiowa_rfq_18649_capacity_feasibility,uiowa_rfq_18649_capacity_feasibility/test_capacity_roadmap.py,509,WRITE,open(mode='w'),TEST_CONTEXT,p,in a test module; 'p' is assigned from module-local values
uiowa_rfq_18649_contractor_transition,uiowa_rfq_18649_contractor_transition/test_transition.py,246,OPAQUE_SUBPROCESS,subprocess.run,TEST_CONTEXT,"[sys.executable, os.path.join(HERE, 'transition.py')] + list(args)",shells out; what runs inside is not visible to this screen
