panel,seed,seat,arm,opponent,own_cash,rival_cash,margin,outcome,selected_plans,changed_actions_vs_sell,paired_margin_delta
v2-development,9840019,1,sell,arlene,70960.0,70346.0,614.0,W,0,,
v2-development,9840037,0,sell,arlene,101631.0,99806.0,1825.0,W,0,,
v2-development,9840037,1,sell,arlene,101631.0,99806.0,1825.0,W,0,,
v2-stress-development,9840001,0,arlene,apex:crop_demand,61990.0,29638.0,32352.0,W,0,,
v2-stress-development,9840001,1,arlene,apex:crop_demand,61990.0,29638.0,32352.0,W,0,,
v2-stress-development,9840019,0,arlene,apex:crop_demand,80804.0,46622.0,34182.0,W,0,,
v2-stress-development,9840019,1,arlene,apex:crop_demand,80804.0,46622.0,34182.0,W,0,,
v2-stress-development,9840037,0,arlene,apex:crop_demand,122114.0,100906.0,21208.0,W,0,,
v2-stress-development,9840037,1,arlene,apex:crop_demand,122114.0,100906.0,21208.0,W,0,,
v2-stress-development,9840001,0,arlene,arlene:labor_cadence,171190.0,0.0,171190.0,W,0,,
v2-stress-development,9840001,1,arlene,arlene:labor_cadence,171190.0,0.0,171190.0,W,0,,
v2-stress-development,9840019,0,arlene,arlene:labor_cadence,170181.0,0.0,170181.0,W,0,,
v2-stress-development,9840019,1,arlene,arlene:labor_cadence,170181.0,0.0,170181.0,W,0,,
v2-stress-development,9840037,0,arlene,arlene:labor_cadence,165526.0,0.0,165526.0,W,0,,
v2-stress-development,9840037,1,arlene,arlene:labor_cadence,193535.0,0.0,193535.0,W,0,,
v2-stress-development,9840001,0,arlene,arlene:sale_cadence,164977.0,25872.0,139105.0,W,0,,
v2-stress-development,9840001,1,arlene,arlene:sale_cadence,164977.0,25872.0,139105.0,W,0,,
v2-stress-development,9840019,0,arlene,arlene:sale_cadence,167039.0,28334.0,138705.0,W,0,,
v2-stress-development,9840019,1,arlene,arlene:sale_cadence,167039.0,28334.0,138705.0,W,0,,
v2-stress-development,9840037,0,arlene,arlene:sale_cadence,164442.0,22020.0,142422.0,W,0,,
v2-stress-development,9840037,1,arlene,arlene:sale_cadence,164442.0,22020.0,142422.0,W,0,,
v2-stress-development,9840001,0,response,apex:crop_demand,62317.0,29309.0,33008.0,W,0,0,0.0
v2-stress-development,9840001,1,response,apex:crop_demand,62317.0,29309.0,33008.0,W,0,0,0.0
v2-stress-development,9840019,0,response,apex:crop_demand,81313.0,46271.0,35042.0,W,1,0,0.0
v2-stress-development,9840019,1,response,apex:crop_demand,81313.0,46271.0,35042.0,W,1,0,0.0
v2-stress-development,9840037,0,response,apex:crop_demand,123216.0,101810.0,21406.0,W,0,0,0.0
v2-stress-development,9840037,1,response,apex:crop_demand,123216.0,101810.0,21406.0,W,0,0,0.0
v2-stress-development,9840001,0,response,arlene:labor_cadence,173749.0,0.0,173749.0,W,0,0,0.0
v2-stress-development,9840001,1,response,arlene:labor_cadence,173749.0,0.0,173749.0,W,0,0,0.0
v2-stress-development,9840019,0,response,arlene:labor_cadence,172694.0,0.0,172694.0,W,0,0,0.0
v2-stress-development,9840019,1,response,arlene:labor_cadence,172694.0,0.0,172694.0,W,0,0,0.0
v2-stress-development,9840037,0,response,arlene:labor_cadence,169909.0,0.0,169909.0,W,0,0,0.0
v2-stress-development,9840037,1,response,arlene:labor_cadence,196275.0,0.0,196275.0,W,0,0,0.0
v2-stress-development,9840001,0,response,arlene:sale_cadence,168487.0,26322.0,142165.0,W,0,0,0.0
v2-stress-development,9840001,1,response,arlene:sale_cadence,168487.0,26322.0,142165.0,W,0,0,0.0
v2-stress-development,9840019,0,response,arlene:sale_cadence,170428.0,28600.0,141828.0,W,0,0,0.0
v2-stress-development,9840019,1,response,arlene:sale_cadence,170428.0,28600.0,141828.0,W,0,0,0.0
v2-stress-development,9840037,0,response,arlene:sale_cadence,167267.0,21846.0,145421.0,W,0,0,0.0
v2-stress-development,9840037,1,response,arlene:sale_cadence,167267.0,21846.0,145421.0,W,0,0,0.0
v2-stress-development,9840001,0,sell,apex:crop_demand,62317.0,29309.0,33008.0,W,0,,
v2-stress-development,9840001,1,sell,apex:crop_demand,62317.0,29309.0,33008.0,W,0,,
v2-stress-development,9840019,0,sell,apex:crop_demand,81313.0,46271.0,35042.0,W,0,,
v2-stress-development,9840019,1,sell,apex:crop_demand,81313.0,46271.0,35042.0,W,0,,
v2-stress-development,9840037,0,sell,apex:crop_demand,123216.0,101810.0,21406.0,W,0,,
v2-stress-development,9840037,1,sell,apex:crop_demand,123216.0,101810.0,21406.0,W,0,,
v2-stress-development,9840001,0,sell,arlene:labor_cadence,173749.0,0.0,173749.0,W,0,,
v2-stress-development,9840001,1,sell,arlene:labor_cadence,173749.0,0.0,173749.0,W,0,,
v2-stress-development,9840019,0,sell,arlene:labor_cadence,172694.0,0.0,172694.0,W,0,,
v2-stress-development,9840019,1,sell,arlene:labor_cadence,172694.0,0.0,172694.0,W,0,,
v2-stress-development,9840037,0,sell,arlene:labor_cadence,169909.0,0.0,169909.0,W,0,,
v2-stress-development,9840037,1,sell,arlene:labor_cadence,196275.0,0.0,196275.0,W,0,,
v2-stress-development,9840001,0,sell,arlene:sale_cadence,168487.0,26322.0,142165.0,W,0,,
v2-stress-development,9840001,1,sell,arlene:sale_cadence,168487.0,26322.0,142165.0,W,0,,
v2-stress-development,9840019,0,sell,arlene:sale_cadence,170428.0,28600.0,141828.0,W,0,,
v2-stress-development,9840019,1,sell,arlene:sale_cadence,170428.0,28600.0,141828.0,W,0,,
v2-stress-development,9840037,0,sell,arlene:sale_cadence,167267.0,21846.0,145421.0,W,0,,
v2-stress-development,9840037,1,sell,arlene:sale_cadence,167267.0,21846.0,145421.0,W,0,,
v2-held,9840101,0,arlene,apex,100915.0,92019.0,8896.0,W,0,,
v2-held,9840101,1,arlene,apex,100915.0,92019.0,8896.0,W,0,,
v2-held,9840119,0,arlene,apex,94318.0,85317.0,9001.0,W,0,,
v2-held,9840119,1,arlene,apex,94318.0,85317.0,9001.0,W,0,,
v2-held,9840101,0,arlene,apex:crop_demand,103410.0,90110.0,13300.0,W,0,,
v2-held,9840101,1,arlene,apex:crop_demand,103410.0,90110.0,13300.0,W,0,,
v2-held,9840119,0,arlene,apex:crop_demand,102532.0,66851.0,35681.0,W,0,,
v2-held,9840119,1,arlene,apex:crop_demand,102532.0,66851.0,35681.0,W,0,,
v2-held,9840101,0,arlene,arlene,101008.0,101008.0,0.0,T,0,,
v2-held,9840101,1,arlene,arlene,101008.0,101008.0,0.0,T,0,,
v2-held,9840119,0,arlene,arlene,93350.0,93350.0,0.0,T,0,,
v2-held,9840119,1,arlene,arlene,93350.0,93350.0,0.0,T,0,,
v2-held,9840101,0,arlene,arlene:labor_cadence,153009.0,0.0,153009.0,W,0,,
v2-held,9840101,1,arlene,arlene:labor_cadence,153009.0,0.0,153009.0,W,0,,
v2-held,9840119,0,arlene,arlene:labor_cadence,151330.0,0.0,151330.0,W,0,,
v2-held,9840119,1,arlene,arlene:labor_cadence,160062.0,0.0,160062.0,W,0,,
v2-held,9840101,0,arlene,arlene:sale_cadence,157767.0,28923.0,128844.0,W,0,,
v2-held,9840101,1,arlene,arlene:sale_cadence,157767.0,28923.0,128844.0,W,0,,
v2-held,9840119,0,arlene,arlene:sale_cadence,144487.0,30894.0,113593.0,W,0,,
v2-held,9840119,1,arlene,arlene:sale_cadence,144487.0,30894.0,113593.0,W,0,,
v2-held,9840101,0,response,apex,101133.0,92691.0,8442.0,W,0,0,0.0
v2-held,9840101,1,response,apex,101133.0,92691.0,8442.0,W,0,0,0.0
v2-held,9840119,0,response,apex,94089.0,85647.0,8442.0,W,0,0,0.0
v2-held,9840119,1,response,apex,94089.0,85647.0,8442.0,W,0,0,0.0
v2-held,9840101,0,response,apex:crop_demand,103628.0,90782.0,12846.0,W,0,0,0.0
v2-held,9840101,1,response,apex:crop_demand,103628.0,90782.0,12846.0,W,0,0,0.0
v2-held,9840119,0,response,apex:crop_demand,103583.0,66633.0,36950.0,W,0,0,0.0
v2-held,9840119,1,response,apex:crop_demand,103583.0,66633.0,36950.0,W,0,0,0.0
v2-held,9840101,0,response,arlene,101513.0,101338.0,175.0,W,0,0,0.0
v2-held,9840101,1,response,arlene,101513.0,101338.0,175.0,W,0,0,0.0
v2-held,9840119,0,response,arlene,93283.0,93156.0,127.0,W,0,0,0.0
v2-held,9840119,1,response,arlene,93283.0,93156.0,127.0,W,0,0,0.0
v2-held,9840101,0,response,arlene:labor_cadence,160722.0,0.0,160722.0,W,0,0,0.0
v2-held,9840101,1,response,arlene:labor_cadence,160722.0,0.0,160722.0,W,0,0,0.0
v2-held,9840119,0,response,arlene:labor_cadence,155931.0,0.0,155931.0,W,0,0,0.0
v2-held,9840119,1,response,arlene:labor_cadence,164484.0,0.0,164484.0,W,0,0,0.0
v2-held,9840101,0,response,arlene:sale_cadence,160711.0,29391.0,131320.0,W,0,0,0.0
v2-held,9840101,1,response,arlene:sale_cadence,160711.0,29391.0,131320.0,W,0,0,0.0
v2-held,9840119,0,response,arlene:sale_cadence,147005.0,31244.0,115761.0,W,0,0,0.0
v2-held,9840119,1,response,arlene:sale_cadence,147005.0,31244.0,115761.0,W,0,0,0.0
v2-held,9840101,0,sell,apex,101133.0,92691.0,8442.0,W,0,,
v2-held,9840101,1,sell,apex,101133.0,92691.0,8442.0,W,0,,
v2-held,9840119,0,sell,apex,94089.0,85647.0,8442.0,W,0,,
v2-held,9840119,1,sell,apex,94089.0,85647.0,8442.0,W,0,,
v2-held,9840101,0,sell,apex:crop_demand,103628.0,90782.0,12846.0,W,0,,
v2-held,9840101,1,sell,apex:crop_demand,103628.0,90782.0,12846.0,W,0,,
v2-held,9840119,0,sell,apex:crop_demand,103583.0,66633.0,36950.0,W,0,,
v2-held,9840119,1,sell,apex:crop_demand,103583.0,66633.0,36950.0,W,0,,
v2-held,9840101,0,sell,arlene,101513.0,101338.0,175.0,W,0,,
v2-held,9840101,1,sell,arlene,101513.0,101338.0,175.0,W,0,,
v2-held,9840119,0,sell,arlene,93283.0,93156.0,127.0,W,0,,
v2-held,9840119,1,sell,arlene,93283.0,93156.0,127.0,W,0,,
v2-held,9840101,0,sell,arlene:labor_cadence,160722.0,0.0,160722.0,W,0,,
v2-held,9840101,1,sell,arlene:labor_cadence,160722.0,0.0,160722.0,W,0,,
v2-held,9840119,0,sell,arlene:labor_cadence,155931.0,0.0,155931.0,W,0,,
v2-held,9840119,1,sell,arlene:labor_cadence,164484.0,0.0,164484.0,W,0,,
v2-held,9840101,0,sell,arlene:sale_cadence,160711.0,29391.0,131320.0,W,0,,
v2-held,9840101,1,sell,arlene:sale_cadence,160711.0,29391.0,131320.0,W,0,,
v2-held,9840119,0,sell,arlene:sale_cadence,147005.0,31244.0,115761.0,W,0,,
v2-held,9840119,1,sell,arlene:sale_cadence,147005.0,31244.0,115761.0,W,0,,
