panel,seed,opponent,seat,own_cash,rival_cash,margin,status,failure,trace_sha256,own_max_call_seconds
dev_sell,9850037,apex,0,61229,51908,9321,complete,,634f85124281edfe4d011fa41facfabc23177931177395cb2a81c9ce7a32cb17,0.076172
dev_sell,9850037,apex,1,61229,51908,9321,complete,,d6f742e1f24fa2ebcddcd501ac4689b3be19fd727ee97600000355d96c8d1b4f,0.066303
dev_sell,9850001,frozen,0,74534,74935,-401,complete,,eeca201361cb1eca4c0c764fbcd819ab377ab7b579988bbf3bfcc8aaa37c99e4,0.064552
dev_sell,9850001,frozen,1,74935,74534,401,complete,,eeca201361cb1eca4c0c764fbcd819ab377ab7b579988bbf3bfcc8aaa37c99e4,0.063668
dev_sell,9850019,frozen,0,116776,116776,0,complete,,2ed73536961a261d2fb7a789cf5349ab12ded225a695f348f477592d39169740,0.074813
dev_sell,9850019,frozen,1,116776,116776,0,complete,,2ed73536961a261d2fb7a789cf5349ab12ded225a695f348f477592d39169740,0.070073
dev_sell,9850037,frozen,0,61094,61094,0,complete,,2aa3427b1dd409e440ea7c512e67434e03783d6a7de645e7fe0223b5a5e0dea5,0.051806
dev_sell,9850037,frozen,1,61094,61094,0,complete,,2aa3427b1dd409e440ea7c512e67434e03783d6a7de645e7fe0223b5a5e0dea5,0.057459
dev_weed,9850001,arlene,0,63795,63531,264,complete,,ee4a2a59ec6d6be281ae22655af70f1054dc99bb214aa9c56d4b0eabd99677d4,0.127122
dev_weed,9850001,arlene,1,75512,74337,1175,complete,,efefe0291e75fb0367569f84f5a2ebcc1f1022cb0fa543b1742fcd50953c4a10,0.078462
dev_weed,9850001,apex,0,62580,52894,9686,complete,,3ee39b1cb6e961e5a18b50b51743c24fe33412fbab933cf90e4c634fb2477508,0.059426
dev_weed,9850001,apex,1,63061,52828,10433,complete,,e3c5d4d59e053e3ea668420ddfafe7fb25f75bc1fcd3d7b249e49823852a61f4,0.050132
dev_weed,9850019,arlene,0,116638,116057,581,complete,,445758a4aef8611bb4f939953450979009396e6da8e656de4cc1779ab1654bea,0.179666
dev_weed,9850019,arlene,1,116638,116057,581,complete,,92c375998e671d52b27b07978784b58e324c1f6cb203d11576a14c4f388717cc,0.095061
dev_weed,9850019,apex,0,106381,104588,1793,complete,,6012b0d67e0f1a2547c64566c3897a79e40115901b64f0ad7ae515feb6f8c39a,0.062576
dev_weed,9850019,apex,1,106381,104588,1793,complete,,3ce7ff6d694363b7f7182aa45fd45b39d3ad347bc3f8f33604757c8687441895,0.075337
dev_weed,9850037,arlene,0,60805,60741,64,complete,,1e998228fe3595c73695bcb61139d010c776ee47b7da22398ddc9da121ee2e42,0.064007
dev_weed,9850037,arlene,1,60805,60741,64,complete,,e3e97fdcdd543511aec21b53d59097b55a867cf42c6429880050105e3da4fd86,0.059002
dev_weed,9850037,apex,0,61229,51908,9321,complete,,634f85124281edfe4d011fa41facfabc23177931177395cb2a81c9ce7a32cb17,0.076952
dev_weed,9850037,apex,1,61229,51908,9321,complete,,d6f742e1f24fa2ebcddcd501ac4689b3be19fd727ee97600000355d96c8d1b4f,0.069004
dev_weed,9850001,frozen,0,63609,63696,-87,complete,,c4ea3e8c862b097d235b21c83c3df6b4e9b14fa4ad964b284fc4a61e009036c8,0.058038
dev_weed,9850001,frozen,1,74935,74534,401,complete,,eeca201361cb1eca4c0c764fbcd819ab377ab7b579988bbf3bfcc8aaa37c99e4,0.056386
dev_weed,9850019,frozen,0,116776,116776,0,complete,,2ed73536961a261d2fb7a789cf5349ab12ded225a695f348f477592d39169740,0.060748
dev_weed,9850019,frozen,1,116776,116776,0,complete,,2ed73536961a261d2fb7a789cf5349ab12ded225a695f348f477592d39169740,0.081784
dev_weed,9850037,frozen,0,61094,61094,0,complete,,2aa3427b1dd409e440ea7c512e67434e03783d6a7de645e7fe0223b5a5e0dea5,0.067618
dev_weed,9850037,frozen,1,61094,61094,0,complete,,2aa3427b1dd409e440ea7c512e67434e03783d6a7de645e7fe0223b5a5e0dea5,0.055643
dev_seed,9850001,arlene,0,75451,74738,713,complete,,7f06f302f1757ecb3d05b4a39afcb92daab664a7cb5fe8fc5ee5f21f2099eac4,0.056398
dev_seed,9850001,arlene,1,75752,74337,1415,complete,,68e17fc1ba8aa9434f558d5c126b09080c8b26d16f09652bb575aa26c1729016,0.056359
dev_seed,9850001,apex,0,69613,71055,-1442,complete,,0b8e8442a8305c90d20f20534bd59a92fd923f538632bf978c5d88b186432e69,0.073436
dev_seed,9850001,apex,1,63301,52828,10473,complete,,46b5b1befddb8c00b29f523af768629f408befad4aeb5414e2261d4777d6f5ba,0.055674
dev_seed,9850001,frozen,0,74874,74935,-61,complete,,217b9100a0fe5a2908ee4c14030440e68d57a1ff6467fd059fb4634d210340a7,0.065171
dev_seed,9850001,frozen,1,75175,74534,641,complete,,b93604965bb9cb8cec771f88e5025cbf8263e4dcd492578dd976d37babf4d759,0.057953
dev_seed,9850019,arlene,0,116878,116057,821,complete,,ecec01314aee4b8c8cdfebaff16c9beb273447fab7776cff7fe2e453b1ec5366,0.059673
dev_seed,9850019,arlene,1,116878,116057,821,complete,,01a1cededccead2147024e2f01992edd0760e33ca9765fd2ff6569ef368b9386,0.074122
dev_seed,9850019,apex,0,106621,104588,2033,complete,,1404bee39ed99ae419b48ff29871705639debba53cb89454f96ec703e1e10745,0.067954
dev_seed,9850019,apex,1,106621,104588,2033,complete,,906a1e34e4cc7ce584e8b40c21537bdf6577889ba1a2f69d818d833c2aa9176f,0.127505
dev_seed,9850019,frozen,0,117016,116776,240,complete,,e5c12d68e5a3b5637c87ba1a50576cd0a81cd4d7f71f4e7a91c8149675a445d5,0.147553
dev_seed,9850019,frozen,1,117016,116776,240,complete,,bd67d4d78e53146fc79864178c7640b7d3a8a0b2d18bdb13eba36f2972675079,0.066288
dev_seed,9850037,arlene,0,61045,60741,304,complete,,4a0cd36b435bfe0b43989c97bb1256b1563b2984a50bc1c97705eff646c96329,0.056136
dev_seed,9850037,arlene,1,61045,60741,304,complete,,504be60a618c3eea9133a031993cdbd45486816a25a9a7d37ee1df6d4da56b27,0.053219
dev_seed,9850037,apex,0,61469,51908,9561,complete,,fed6cd3445ac9ca7ea4b51ca543363676b8a8803d0ae0b66cf452bcc6362b57b,0.163607
dev_seed,9850037,apex,1,61469,51908,9561,complete,,45a68aec33b88bb546f86931fdd998e3f2d81fc09abc2eb0a9c3a0807358d0b3,0.092998
dev_seed,9850037,frozen,0,61334,61094,240,complete,,616403d8c6873c0e314cd75217507227048b00939085f9e11bf2c58d26d8f46e,0.180056
dev_seed,9850037,frozen,1,61334,61094,240,complete,,797fb35cf919b0c1ec46ed146e8f3abe96e2f3b3838c7c471d6982923bdfe553,0.056211
held_arlene,9850101,arlene,0,90099,90099,0,complete,,af6073b5a91e705e402f8ecea98e087771920c74b8933a5fda2dc1d38d57dc0f,0.03548
held_arlene,9850101,arlene,1,90099,90099,0,complete,,af6073b5a91e705e402f8ecea98e087771920c74b8933a5fda2dc1d38d57dc0f,0.032202
held_arlene,9850101,apex,0,91131,80225,10906,complete,,e0003349442528084cc39b8df2753748f84cb0330ff8c2e7fb81cca4684fcaf1,0.055073
held_arlene,9850101,apex,1,91131,80225,10906,complete,,706cabbfc02cd49f396dbe47d7628f2714ce2c966d27060ebe6a7d2f31e06809,0.046795
held_arlene,9850101,frozen,0,90195,90865,-670,complete,,cbf51c8d559939e940579489695c662ccb9812296891098eb3ed911ab2b59442,0.045934
held_arlene,9850101,frozen,1,90195,90865,-670,complete,,a9ed9eef762814fe9b418e99f521a0ea91a3af1c7f679e946ba8f3e7d1b06cd7,0.0182
held_arlene,9850119,arlene,0,76703,76703,0,complete,,f979cf6808e32be3368cc36e53d247ec2383021b73082aee4fa7d8a963aa388c,0.027559
held_arlene,9850119,arlene,1,76703,76703,0,complete,,f979cf6808e32be3368cc36e53d247ec2383021b73082aee4fa7d8a963aa388c,0.021467
held_arlene,9850119,apex,0,77163,73677,3486,complete,,0368b4c01962d2b49c286d0b31b06e660554460902fc7cd83f67be92fd8499e8,0.033101
held_arlene,9850119,apex,1,77163,73677,3486,complete,,56a4a4991c554a7850c6bb55081f97d102423875e8f90af1f862a2aa8d6f4d5e,0.036386
held_arlene,9850119,frozen,0,76119,76844,-725,complete,,1326689133cf0648cf89d6043504ca51631d243d0da07ad35aff1a0053b64361,0.021383
held_arlene,9850119,frozen,1,76119,76844,-725,complete,,7840a09cd9c999e9346b3e9e5efba28b84e8fa6e050379ccb6d4320aef42eb31,0.020482
held_sell,9850101,arlene,0,90865,90195,670,complete,,a9ed9eef762814fe9b418e99f521a0ea91a3af1c7f679e946ba8f3e7d1b06cd7,0.117587
held_sell,9850101,arlene,1,90865,90195,670,complete,,cbf51c8d559939e940579489695c662ccb9812296891098eb3ed911ab2b59442,0.106821
held_sell,9850101,apex,0,92095,79997,12098,complete,,f17436c90dc4ad0c8b6a843156d2e0cd714b48d78ef6c8494aed68fc1187cd7f,0.146681
held_sell,9850101,apex,1,92095,79997,12098,complete,,149dfdb6cc091ec2aa845d4f711a35d5bc6bec95af0199698ed5425ba755a5e7,0.089802
held_sell,9850101,frozen,0,90832,90832,0,complete,,bb089343fa230e2be72d1ffa563575506e5f6ba27463a9ef3f9de99a67ca9890,0.209915
held_sell,9850101,frozen,1,90832,90832,0,complete,,bb089343fa230e2be72d1ffa563575506e5f6ba27463a9ef3f9de99a67ca9890,0.083564
held_sell,9850119,arlene,0,76844,76119,725,complete,,7840a09cd9c999e9346b3e9e5efba28b84e8fa6e050379ccb6d4320aef42eb31,0.144742
held_sell,9850119,arlene,1,76844,76119,725,complete,,1326689133cf0648cf89d6043504ca51631d243d0da07ad35aff1a0053b64361,0.239941
held_sell,9850119,apex,0,76441,73587,2854,complete,,77970506e649b960c77e5e3b0e2879f25c472ef3a15a61f23ddf160fdb12213f,0.093442
held_sell,9850119,apex,1,76441,73587,2854,complete,,b873ea5561576c024fabe905fe68fd939718189c1134044a38c3c3452d79ff5c,0.068187
held_sell,9850119,frozen,0,76472,76472,0,complete,,f9d78b28e3e94d7740413c767965e3e0739eda65fa1839ae6a0b1e2ea802e6ba,0.138321
held_sell,9850119,frozen,1,76472,76472,0,complete,,f9d78b28e3e94d7740413c767965e3e0739eda65fa1839ae6a0b1e2ea802e6ba,0.111975
held_seed,9850101,arlene,0,91105,90195,910,complete,,6b2ab99336cb19d50d610e91bd838e144651dad87c5fde595b4ddd8eb2f61e87,0.09646
held_seed,9850101,arlene,1,91105,90195,910,complete,,18e3d91d5cc8f5e9b80bd9b79e538c6910e13883732123f4cd6f90afd41b98f7,0.127927
held_seed,9850101,apex,0,92335,79997,12338,complete,,dfe6471b7e06675792978ec7c782be777e3796dea65e7b74379067e21d1644f9,0.060153
held_seed,9850101,apex,1,92335,79997,12338,complete,,08fa9280d88b0fef0fe0c94da3a030cac5a50176f04bf4226d526768024e7adc,0.116221
held_seed,9850101,frozen,0,91072,90832,240,complete,,2ce7732c8d8be46e127d3aef839d0cba77c598475e737f249884fd897971bcde,0.077263
held_seed,9850101,frozen,1,91072,90832,240,complete,,0b501d58dc649f04ba8df34a871168069e3c9c7d6ef6408687cc5ec8b13a16e6,0.067435
held_seed,9850119,arlene,0,76844,76119,725,complete,,7840a09cd9c999e9346b3e9e5efba28b84e8fa6e050379ccb6d4320aef42eb31,0.102637
held_seed,9850119,arlene,1,76844,76119,725,complete,,1326689133cf0648cf89d6043504ca51631d243d0da07ad35aff1a0053b64361,0.084165
held_seed,9850119,apex,0,76441,73587,2854,complete,,77970506e649b960c77e5e3b0e2879f25c472ef3a15a61f23ddf160fdb12213f,0.096591
held_seed,9850119,apex,1,76441,73587,2854,complete,,b873ea5561576c024fabe905fe68fd939718189c1134044a38c3c3452d79ff5c,0.275361
held_seed,9850119,frozen,0,76472,76472,0,complete,,f9d78b28e3e94d7740413c767965e3e0739eda65fa1839ae6a0b1e2ea802e6ba,0.088127
held_seed,9850119,frozen,1,76472,76472,0,complete,,f9d78b28e3e94d7740413c767965e3e0739eda65fa1839ae6a0b1e2ea802e6ba,0.072922
