# PROVENANCE: SYNTHETIC. FICTION. Northgate State University does not exist. Every item, estimate and prerequisite below is invented to exercise the dependency and capacity engine. Nothing here is a University of Iowa finding, recommendation, or plan.
scenario,view,role,phase,capacity,demand_known,unknown_items,verdict,shortfall,headroom
constrained,feasible,infra_operations,90-180,48.0,0.0,RM-06,UNKNOWN,,
constrained,feasible,infra_operations,180+,36.0,0.0,,FEASIBLE,,36.0
constrained,feasible,monitoring_owner,0-90,30.0,28.0,,FEASIBLE,,2.0
constrained,feasible,monitoring_owner,90-180,30.0,20.0,,FEASIBLE,,10.0
constrained,feasible,monitoring_owner,180+,18.0,0.0,,FEASIBLE,,18.0
constrained,feasible,pipeline_engineer,0-90,105.0,80.0,,FEASIBLE,,25.0
constrained,feasible,pipeline_engineer,90-180,105.0,104.0,,FEASIBLE,,1.0
constrained,feasible,pipeline_engineer,180+,75.0,72.0,,FEASIBLE,,3.0
constrained,feasible,ris_service_owner,0-90,45.0,40.0,,FEASIBLE,,5.0
constrained,feasible,ris_service_owner,90-180,45.0,40.0,,FEASIBLE,,5.0
constrained,feasible,ris_service_owner,180+,30.0,20.0,,FEASIBLE,,10.0
expected,proposed,change_management_lead,0-90,40.0,0.0,,FEASIBLE,,40.0
expected,proposed,change_management_lead,90-180,60.0,0.0,,FEASIBLE,,60.0
expected,proposed,change_management_lead,180+,160.0,84.0,,FEASIBLE,,76.0
expected,proposed,iam_service_owner,0-90,90.0,56.0,,FEASIBLE,,34.0
expected,proposed,iam_service_owner,90-180,90.0,0.0,,FEASIBLE,,90.0
expected,proposed,iam_service_owner,180+,60.0,0.0,,FEASIBLE,,60.0
expected,proposed,infra_operations,0-90,48.0,16.0,,FEASIBLE,,32.0
expected,proposed,infra_operations,90-180,64.0,0.0,RM-06,UNKNOWN,,
expected,proposed,infra_operations,180+,48.0,0.0,,FEASIBLE,,48.0
expected,proposed,monitoring_owner,0-90,40.0,16.0,,FEASIBLE,,24.0
expected,proposed,monitoring_owner,90-180,40.0,12.0,,FEASIBLE,,28.0
expected,proposed,monitoring_owner,180+,24.0,0.0,,FEASIBLE,,24.0
expected,proposed,pipeline_engineer,0-90,140.0,144.0,,INFEASIBLE,4.0,
expected,proposed,pipeline_engineer,90-180,140.0,0.0,,FEASIBLE,,140.0
expected,proposed,pipeline_engineer,180+,100.0,40.0,,FEASIBLE,,60.0
expected,proposed,ris_service_owner,0-90,60.0,24.0,,FEASIBLE,,36.0
expected,proposed,ris_service_owner,90-180,60.0,36.0,,FEASIBLE,,24.0
expected,proposed,ris_service_owner,180+,40.0,0.0,,FEASIBLE,,40.0
expected,feasible,change_management_lead,0-90,40.0,0.0,,FEASIBLE,,40.0
expected,feasible,change_management_lead,90-180,60.0,0.0,,FEASIBLE,,60.0
expected,feasible,change_management_lead,180+,160.0,84.0,,FEASIBLE,,76.0
expected,feasible,iam_service_owner,0-90,90.0,40.0,,FEASIBLE,,50.0
expected,feasible,iam_service_owner,90-180,90.0,16.0,,FEASIBLE,,74.0
expected,feasible,iam_service_owner,180+,60.0,0.0,,FEASIBLE,,60.0
expected,feasible,infra_operations,0-90,48.0,16.0,,FEASIBLE,,32.0
expected,feasible,infra_operations,90-180,64.0,0.0,RM-06,UNKNOWN,,
expected,feasible,infra_operations,180+,48.0,0.0,,FEASIBLE,,48.0
expected,feasible,monitoring_owner,0-90,40.0,16.0,,FEASIBLE,,24.0
expected,feasible,monitoring_owner,90-180,40.0,12.0,,FEASIBLE,,28.0
expected,feasible,monitoring_owner,180+,24.0,0.0,,FEASIBLE,,24.0
expected,feasible,pipeline_engineer,0-90,140.0,48.0,,FEASIBLE,,92.0
expected,feasible,pipeline_engineer,90-180,140.0,96.0,,FEASIBLE,,44.0
expected,feasible,pipeline_engineer,180+,100.0,40.0,,FEASIBLE,,60.0
expected,feasible,ris_service_owner,0-90,60.0,24.0,,FEASIBLE,,36.0
expected,feasible,ris_service_owner,90-180,60.0,36.0,,FEASIBLE,,24.0
expected,feasible,ris_service_owner,180+,40.0,0.0,,FEASIBLE,,40.0
invested,proposed,change_management_lead,0-90,56.0,0.0,,FEASIBLE,,56.0
invested,proposed,change_management_lead,90-180,84.0,0.0,,FEASIBLE,,84.0
invested,proposed,change_management_lead,180+,224.0,52.0,,FEASIBLE,,172.0
invested,proposed,iam_service_owner,0-90,126.0,32.0,,FEASIBLE,,94.0
invested,proposed,iam_service_owner,90-180,126.0,0.0,,FEASIBLE,,126.0
invested,proposed,iam_service_owner,180+,84.0,0.0,,FEASIBLE,,84.0
invested,proposed,infra_operations,0-90,67.2,8.0,,FEASIBLE,,59.2
invested,proposed,infra_operations,90-180,89.6,0.0,RM-06,UNKNOWN,,
invested,proposed,infra_operations,180+,67.2,0.0,,FEASIBLE,,67.2
invested,proposed,monitoring_owner,0-90,56.0,12.0,,FEASIBLE,,44.0
invested,proposed,monitoring_owner,90-180,56.0,8.0,,FEASIBLE,,48.0
invested,proposed,monitoring_owner,180+,33.6,0.0,,FEASIBLE,,33.6
invested,proposed,pipeline_engineer,0-90,196.0,88.0,,FEASIBLE,,108.0
invested,proposed,pipeline_engineer,90-180,196.0,0.0,,FEASIBLE,,196.0
invested,proposed,pipeline_engineer,180+,140.0,24.0,,FEASIBLE,,116.0
invested,proposed,ris_service_owner,0-90,84.0,16.0,,FEASIBLE,,68.0
invested,proposed,ris_service_owner,90-180,84.0,24.0,,FEASIBLE,,60.0
invested,proposed,ris_service_owner,180+,56.0,0.0,,FEASIBLE,,56.0
invested,feasible,change_management_lead,0-90,56.0,0.0,,FEASIBLE,,56.0
invested,feasible,change_management_lead,90-180,84.0,0.0,,FEASIBLE,,84.0
invested,feasible,change_management_lead,180+,224.0,52.0,,FEASIBLE,,172.0
invested,feasible,iam_service_owner,0-90,126.0,32.0,,FEASIBLE,,94.0
invested,feasible,iam_service_owner,90-180,126.0,0.0,,FEASIBLE,,126.0
invested,feasible,iam_service_owner,180+,84.0,0.0,,FEASIBLE,,84.0
invested,feasible,infra_operations,0-90,67.2,8.0,,FEASIBLE,,59.2
invested,feasible,infra_operations,90-180,89.6,0.0,RM-06,UNKNOWN,,
invested,feasible,infra_operations,180+,67.2,0.0,,FEASIBLE,,67.2
invested,feasible,monitoring_owner,0-90,56.0,12.0,,FEASIBLE,,44.0
invested,feasible,monitoring_owner,90-180,56.0,8.0,,FEASIBLE,,48.0
invested,feasible,monitoring_owner,180+,33.6,0.0,,FEASIBLE,,33.6
invested,feasible,pipeline_engineer,0-90,196.0,88.0,,FEASIBLE,,108.0
invested,feasible,pipeline_engineer,90-180,196.0,0.0,,FEASIBLE,,196.0
invested,feasible,pipeline_engineer,180+,140.0,24.0,,FEASIBLE,,116.0
invested,feasible,ris_service_owner,0-90,84.0,16.0,,FEASIBLE,,68.0
invested,feasible,ris_service_owner,90-180,84.0,24.0,,FEASIBLE,,60.0
invested,feasible,ris_service_owner,180+,56.0,0.0,,FEASIBLE,,56.0
