requirement_id,domain,required,short_requirement,primary_posture
48,REPORTING,Y,Transaction-history search,SPECIALIST_WORKSHARE_DEMO
49,REPORTING,Y,Scheduled reports,OEM_PRIME_EVIDENCE
50,REPORTING,Y,PDF/Excel/HTML output,JOINT_PRIME_PLUS_SPECIALIST_ACCEPTANCE
51,REPORTING,Y,Variance trend reporting,SPECIALIST_WORKSHARE_DEMO
52,REPORTING,Y,Configurable workflows,JOINT_PRIME_PLUS_SPECIALIST_ACCEPTANCE
53,REPORTING,Y,ICL reports across institutions,JOINT_PRIME_PLUS_SPECIALIST_ACCEPTANCE
54,REPORTING,Y,Batch-to-transaction drilldown,SPECIALIST_WORKSHARE_DEMO
55,REPORTING,Y,Detailed batch reports,SPECIALIST_WORKSHARE_DEMO
56,DOCUMENTS,Y,Store documents with transactions,OEM_PRIME_EVIDENCE
57,DOCUMENTS,Y,View documents,OEM_PRIME_EVIDENCE
58,DOCUMENTS,N,In-solution training/help,OPTIONAL_PRIME_FEATURE
59,DOCUMENTS,Y,Selective data/image purge,OEM_PRIME_EVIDENCE
60,FUNCTIONAL,Y,Multiple tender/payment types,OEM_PRIME_EVIDENCE
61,FUNCTIONAL,Y,Split payments,JOINT_PRIME_PLUS_SPECIALIST_ACCEPTANCE
62,FUNCTIONAL,Y,Automated receipt delivery,OEM_PRIME_EVIDENCE
63,FUNCTIONAL,Y,Receipt reprint,OEM_PRIME_EVIDENCE
64,FUNCTIONAL,Y,Cash-drawer open/close/balance/reconciliation,SPECIALIST_WORKSHARE_DEMO
65,FUNCTIONAL,Y,Modify starting cash,JOINT_PRIME_PLUS_SPECIALIST_ACCEPTANCE
66,FUNCTIONAL,Y,Refund/void/reversal/adjustment lineage,SPECIALIST_WORKSHARE_DEMO
67,FUNCTIONAL,Y,Fee/tax/discount/rules engine,JOINT_PRIME_PLUS_SPECIALIST_ACCEPTANCE
68,FUNCTIONAL,Y,Audited configurable rounding,SPECIALIST_WORKSHARE_DEMO
69,FUNCTIONAL,Y,Multi-location/BU/department fields,JOINT_PRIME_PLUS_SPECIALIST_ACCEPTANCE
70,FUNCTIONAL,Y,ERP customer/invoice lookup,SPECIALIST_WORKSHARE_DEMO
71,FUNCTIONAL,Y,Invoiced + non-invoiced payments,JOINT_PRIME_PLUS_SPECIALIST_ACCEPTANCE
72,FUNCTIONAL,Y,Offline intake + resync,OEM_PRIME_EVIDENCE
73,FUNCTIONAL,Y,Minimal-click high-volume cashier UI,OEM_PRIME_EVIDENCE
74,FUNCTIONAL,Y,Cashiering hardware compatibility,OEM_PRIME_EVIDENCE
75,FUNCTIONAL,N,Barcode scanner compatibility,OPTIONAL_PRIME_FEATURE
76,FUNCTIONAL,N,Kiosk/self-service station compatibility,OPTIONAL_PRIME_FEATURE
77,FUNCTIONAL,N,Online self-service portal,OPTIONAL_PRIME_FEATURE
78,FUNCTIONAL,Y,Check21/RDC electronic check draft,OEM_PRIME_EVIDENCE
79,FUNCTIONAL,Y,Manual check fallback on scanner failure,OEM_PRIME_EVIDENCE
80,FUNCTIONAL,Y,Invoice scan auto-population,OEM_PRIME_EVIDENCE
81,FUNCTIONAL,Y,Location-specific branded receipts,JOINT_PRIME_PLUS_SPECIALIST_ACCEPTANCE
82,FUNCTIONAL,N,Interactive tutorials/help,OPTIONAL_PRIME_FEATURE
83,FUNCTIONAL,Y,Effective-dated configuration,SPECIALIST_WORKSHARE_DEMO
84,FUNCTIONAL,Y,Payment-form restrictions by product/accounting rule,SPECIALIST_WORKSHARE_DEMO
85,FUNCTIONAL,Y,Correct cashier/accounting errors,SPECIALIST_WORKSHARE_DEMO
86,FUNCTIONAL,Y,Archive/retrieve history + attachments,SPECIALIST_WORKSHARE_DEMO
87,FUNCTIONAL,Y,Period close,SPECIALIST_WORKSHARE_DEMO
88,FUNCTIONAL,Y,Returned/dishonored check flags,JOINT_PRIME_PLUS_SPECIALIST_ACCEPTANCE
89,FUNCTIONAL,Y,Auto-close batches,JOINT_PRIME_PLUS_SPECIALIST_ACCEPTANCE
90,FUNCTIONAL,Y,In-app messaging/alerts,OEM_PRIME_EVIDENCE
91,FUNCTIONAL,Y,Copy/edit configuration,JOINT_PRIME_PLUS_SPECIALIST_ACCEPTANCE
92,FUNCTIONAL,Y,Batches visible for inactive cashiers,SPECIALIST_WORKSHARE_DEMO
93,FUNCTIONAL,Y,Maintenance/release/customer-notification process,OEM_PRIME_EVIDENCE
94,FUNCTIONAL,Y,Payment-form configuration by program/accounting,SPECIALIST_WORKSHARE_DEMO
95,FUNCTIONAL,Y,Allocation items with distributions/revenue classification,SPECIALIST_WORKSHARE_DEMO
96,FUNCTIONAL,Y,Allowed transaction-date ranges,SPECIALIST_WORKSHARE_DEMO
97,FUNCTIONAL,Y,Create/consolidate deposits from batches,SPECIALIST_WORKSHARE_DEMO
98,FUNCTIONAL,Y,Separate deposits by configurable criteria,SPECIALIST_WORKSHARE_DEMO
99,FUNCTIONAL,Y,Batch numbering/naming/open/close/approval rules,SPECIALIST_WORKSHARE_DEMO
100,FUNCTIONAL,Y,Manual/automatic batch opening,JOINT_PRIME_PLUS_SPECIALIST_ACCEPTANCE
101,FUNCTIONAL,Y,Authorized batch reopen + reason/audit,SPECIALIST_WORKSHARE_DEMO
102,FUNCTIONAL,Y,Finalized-batch modification guard,SPECIALIST_WORKSHARE_DEMO
103,FUNCTIONAL,Y,Transfer open-batch responsibility,JOINT_PRIME_PLUS_SPECIALIST_ACCEPTANCE
104,FUNCTIONAL,Y,Batch expected/actual/variance view,SPECIALIST_WORKSHARE_DEMO
105,FUNCTIONAL,Y,Historical batch search across locations,JOINT_PRIME_PLUS_SPECIALIST_ACCEPTANCE
106,FUNCTIONAL,Y,Cashier over/short,SPECIALIST_WORKSHARE_DEMO
107,FUNCTIONAL,Y,Variance reason threshold,SPECIALIST_WORKSHARE_DEMO
108,FUNCTIONAL,Y,Variance-based approvals,SPECIALIST_WORKSHARE_DEMO
109,FUNCTIONAL,Y,Drawer-vs-deposit variance,SPECIALIST_WORKSHARE_DEMO
110,FUNCTIONAL,Y,Tender totals reconcile to batch,SPECIALIST_WORKSHARE_DEMO
111,ACCOUNTING,Y,Configurable accounting distributions + split allocation,SPECIALIST_WORKSHARE_DEMO
112,ACCOUNTING,Y,Restrict accounting-distribution combinations,SPECIALIST_WORKSHARE_DEMO
113,ACCOUNTING,Y,Authorized reallocation under period/status controls,SPECIALIST_WORKSHARE_DEMO
114,FINANCIAL_ACCOUNTING,Y,Post transactions to State ERP AR,SPECIALIST_WORKSHARE_DEMO
115,FINANCIAL_ACCOUNTING,Y,Daily + real-time accounting-distribution sync,SPECIALIST_WORKSHARE_DEMO
116,FINANCIAL_ACCOUNTING,Y,Daily reconciliation summaries,SPECIALIST_WORKSHARE_DEMO
117,FINANCIAL_ACCOUNTING,Y,Bank reconciliation/export,SPECIALIST_WORKSHARE_DEMO
118,FINANCIAL_ACCOUNTING,Y,Audit transactions/adjustments/user actions,SPECIALIST_WORKSHARE_DEMO
119,FINANCIAL_ACCOUNTING,Y,Financial/cash-handling compliance,OEM_PRIME_EVIDENCE
120,FINANCIAL_ACCOUNTING,Y,ICL reports,JOINT_PRIME_PLUS_SPECIALIST_ACCEPTANCE
